gamma sackin colless beta blum crown_age tree_height pigot_rho number_of_lineages nltt_base phylogenetic_div avg_ladder max_ladder cherries il_number pitchforks stairs laplace_spectrum_a laplace_spectrum_p laplace_spectrum_e laplace_spectrum_g imbalance_steps j_one b1 b2 area_per_pair average_leaf_depth i_stat ew_colless max_del_width max_depth max_width rogers stairs2 tot_coph var_depth symmetry_nodes mpd psv vpd mntd j_stat rquartet wiener max_betweenness max_closeness diameter eigenvector mean_branch_length var_branch_length mean_branch_length_int mean_branch_length_ext var_branch_length_int var_branch_length_ext
gamma 1 0.258823011459638 -0.244825218304933 0.0881695449334257 0.287460662653368 0.328319513202751 0.562464453930938 0.800995955324053 -0.705747241909754 0.626860699402462 -0.267933974906684 0.0658415285498031 -0.254278601468639 -0.414489579631695 0.414489579631696 0.570225187717972 -0.173391001353759 0.591076756350614 0.573509400928173 -0.490508488128688 -0.581127078312778 0.605260949693071 0.547035708673967 -0.407961356258087 0.0624515758404761 -0.661694989754262 -0.732725086345652 0.0711812285922134 0.364749287186077 -0.568293940085448 -0.578558535198883 -0.649822783946378 0.394431576264467 0.110647822320514 0.00252986462818994 -0.464759683397907 0.332775612789764 0.168579032593528 0.168579032593534 0.678344225158569 -0.533868666031414 0.673044197652831 0.734954072706686 0.729446118799293 0.763837984044278 0.506479764672471 -0.187368001091752 -0.436817710685954 -0.102816381379517 0.469312551611335 0.571433411949615 -0.533873064051456 0.60533480901831 0.205476807123411
sackin 0.258823011459638 1 0.827929779236246 0.240222319973094 -0.329127147236787 -0.227551818186638 -0.00762715573723381 -0.109372710655688 0.999430826553184 0.191724502620596 -0.0124228007027291 -0.107886099139022 -0.228469623662799 0.508381756800046 -0.508381756800045 -0.124851975208297 -0.348440645336183 0.346552108455088 0.376931637807189 -0.524140877098214 -0.515235980503154 0.438727555725284 0.34838375438735 0.506961597481129 -0.599928467919862 -0.440713874520244 -0.292765051736171 -0.408608275863231 0.102310272230609 0.327269904435803 -0.395554816801464 0.347451437160526 -0.57024818115389 0.38342936892283 0.685567684181334 -0.352718420366979 -0.541818563756147 -0.305833818173038 -0.305833818173037 0.283171041635548 -0.598954012663977 0.47506686192756 -0.402656576493001 -0.253125701097997 0.00845531063165913 0.461138401413692 -0.478338295135354 -0.224028801137985 -0.291548826223319 0.123576853741854 0.366897849682778 -0.598954077708582 0.425002720686733 -0.115373444263848
colless -0.244825218304933 0.827929779236246 1 0.0859850846852056 -0.277166310737163 -0.305902977824173 -0.23905492860161 -0.456072574677421 0.998082113723128 0.0910270285201569 -0.0369163369019333 -0.103075431905114 -0.0873099393291497 0.728707080035405 -0.728707080035405 -0.598360929429306 -0.334755591191554 0.194247134342177 0.0111226994760909 -0.102872869548502 -0.349838086803402 -0.078992896298609 -0.128984779297204 0.643006282567427 -0.786626514334056 0.0960882250159571 0.272262367165295 -0.438354913335639 -0.227653872737768 0.638115799857053 0.133801207380481 0.637089479675321 -0.771637683844811 0.340853983987796 0.50288180186175 0.134791160067676 -0.727414924045756 -0.457129694923137 -0.457129694923138 0.0139638550342906 -0.379210307564503 0.0438123490593258 -0.823522097334713 -0.744894434724466 -0.541560628344556 0.0797297449297672 -0.16598421637877 0.0205821170988323 -0.327637717779597 -0.0984226913143921 0.00130563424315092 -0.379209560043255 0.083018734085112 -0.121730931448525
beta 0.0881695449334257 0.240222319973094 0.0859850846852056 1 -0.321717597157244 -0.0988120791467866 0.249130181596281 0.0491367215569422 0.0467992966658094 -0.144353565357981 0.10170264959528 -0.80124924414466 -0.651541763122403 0.262381930792217 -0.262381930792217 0.162307007630656 -0.659418059154404 -0.208870894314005 -0.164159316195144 -0.30798112074513 0.109213691013553 0.261161045009822 0.522009533734495 0.289638859041937 0.205386060516211 -0.432681314055605 -0.380405101933098 -0.83828499255595 -0.373252494739076 0.0589273319272545 -0.384303921317982 0.0505142217991944 -0.216971462809091 0.774414514462041 0.224189994215651 -0.41750511978148 -0.24807252861893 -0.0876017001048711 -0.0876017001048738 -0.129606781028086 -0.0696693076230089 0.162330506494797 0.0135751458875896 0.0789543670032082 0.158078503514115 0.616940477490728 -0.548369716122844 -0.75609289798727 0.0954482275232578 -0.115781474164635 0.255541596586176 -0.0696680309847301 0.0531213937682847 -0.18926215999645
blum 0.287460662653368 -0.329127147236787 -0.277166310737163 -0.321717597157244 1 -0.116835491684655 -0.130358095073291 0.3699920482552 0.999489484612273 0.534545500130327 -0.903223813361555 0.414541467829696 0.429358986706596 -0.680647323781131 0.680647323781131 0.00912609339991016 0.226470599493339 0.247824374265375 -0.041054476724573 0.0144730877994549 -0.269374745062698 -0.409939024708348 -0.226998340447025 -0.857532617308138 -0.288547473216347 0.460920337680644 0.174286154585673 0.389897186779015 0.12431853425805 -0.584404139712243 0.46210945724135 -0.759179936204734 0.68374677964023 -0.351384878041456 -0.872768389090021 0.380517779084385 0.656277146335626 -0.371069402321418 -0.371069402321414 0.0167259142397244 -0.434887141086695 -0.176886866541607 0.38503712609344 0.0422654385575211 -0.133424387962186 -0.0434900783139042 0.86182097828235 0.16001123859684 -0.561949663332134 -0.244816919157084 -0.326707384664261 -0.434889910995419 -0.145171637423134 -0.0650757802583729
crown_age 0.328319513202751 -0.227551818186638 -0.305902977824173 -0.0988120791467866 -0.116835491684655 1 0.905798617836723 0.591898837963559 -0.182680351923333 0.421697373934202 0.373827495882652 -0.345918351063608 -0.627704556187971 0.140039341602801 -0.1400393416028 0.0151994682418221 -0.424896730052348 0.416713195450357 0.168863786117989 0.576910687269844 -0.092050864611602 0.0680926949730347 -0.106593285775026 0.112034616268414 0.422142356421774 -0.174532251872781 -0.0192899972646689 -0.0765949293663693 -0.349164722592112 0.0185565916350117 -0.0130057407043028 -0.0171015686836847 -0.0850324312087394 0.32460274311179 -0.0273290756478645 0.198937893947816 -0.173010981188599 0.798612528013778 0.798612528013779 0.763683027889066 0.423049658228747 0.31511175016319 0.283234036132887 0.341099587954717 0.267182489592331 -0.420112751761546 -0.192988026585339 -0.287349140643763 0.702551663481124 0.862016823571535 0.561768172175009 0.423044712437226 0.439654613333108 0.723046720349152
tree_height 0.562464453930938 -0.00762715573723381 -0.23905492860161 0.249130181596281 -0.130358095073291 0.905798617836723 1 0.701395925067951 -0.31485968029721 0.521178717070091 0.276942611404449 -0.527635275482369 -0.816517288376212 0.148560722640181 -0.14856072264018 0.14771564818857 -0.65422957932317 0.492303710581323 0.228416704314394 0.280088772052022 -0.256012820874148 0.274824875835253 0.184442648765115 0.120393601845437 0.375658943744234 -0.437292299151965 -0.293042955273098 -0.344128668907176 -0.359281202604981 -0.0556195767121572 -0.256929292890667 -0.126261139595904 -0.0948641912599003 0.577770791273781 0.0680973803508801 -0.0491813741933556 -0.1975579008785 0.658085030397143 0.658085030397144 0.790754773431989 0.167122420651101 0.480810754197916 0.388881944155477 0.460400149414512 0.4382708549175 -0.0263717083614579 -0.380907349746079 -0.613682813778587 0.565855847929108 0.811319439321642 0.694389863459137 0.167117330045605 0.547699673223771 0.612016092242097
pigot_rho 0.800995955324053 -0.109372710655688 -0.456072574677421 0.0491367215569422 0.3699920482552 0.591898837963559 0.701395925067951 1 -0.508418481963863 0.500658310363248 -0.213900607081099 -0.0837605583807773 -0.325197688887171 -0.471829262037863 0.471829262037864 0.569818559354407 -0.165308981262848 0.289738334929203 0.267477334713729 -0.0636102652642779 -0.188682955002945 0.266177491353811 0.242236468481368 -0.490014853153875 0.327624629238602 -0.421448659321794 -0.453131973436192 0.135858994261672 0.104075134683896 -0.708106578724325 -0.266357942097877 -0.691656082554554 0.517028013291461 0.0822445139205126 -0.260419063300197 -0.131797146974829 0.449803376223725 0.429776243600944 0.429776243600949 0.743980664391521 -0.0744055213109807 0.447000495404308 0.7541104894228 0.681275620345774 0.621298775392104 0.146994588313616 -0.0221605735295219 -0.242076245289008 0.244538974794208 0.620322645105165 0.489758317286912 -0.0744120204383713 0.382349805891039 0.594965063400963
number_of_lineages -0.0166414848599936 12.794910266184 7.18916920374224 0.000400250902042991 1.30964288239271 -0.0265048927766673 -0.0795207506000901 -0.00164720627992805 1 0.000461325750854355 25.1154477406582 -0.00157072599746127 0.00503660237158899 0.319442813787936 0.361114372424127 0.163913363838166 -0.00017689146356858 -0.0102640675914807 0.00553119541120245 0.0113445928993342 -0.0289539573586914 0.936186145210815 -0.000512551283543629 0.509320673451338 0.00783355461791393 0.0475157142748272 0.028790552619847 -0.000378077767261247 -0.000633807292521972 0.0360207935145702 0.0611131205545648 0.186758860922148 0.637802761148203 0.000162000432021063 401.356266786264 0.0459688617807897 0.641198984690853 0.152072648924633 0.0760363244623167 -13.5933542482944 -0.0476616989121106 -0.0298403338191309 776184.508059421 79720.5899764481 324.34110606342 -0.00000237637035881351 0.103987915281957 0.000190156332042692 -0.0289848897693008 -0.916111013731424 -0.034339485449681 -0.0238311500123094 -1.42478500965516 -0.344249753130179
nltt_base 0.626860699402462 0.191724502620596 0.0910270285201569 -0.144353565357981 0.534545500130327 0.421697373934202 0.521178717070091 0.500658310363248 0.355931501528231 1 -0.471452449998994 0.0626805548817667 -0.237096406046682 -0.0464739694785922 0.046473969478593 -0.242016309262583 -0.443918205198925 0.897016306681005 0.228490241253761 0.0948923271713151 -0.845207815584774 -0.0687588243256124 -0.0977594459654787 -0.249553648793662 -0.435786856789689 0.0336265208439892 0.00204734999559796 -0.103720041826238 -0.204898284084779 -0.0708610799467007 0.158196273580196 -0.344714359786245 0.0394034633741646 0.25486463958156 -0.30405563493865 0.28155714409106 -0.048198704645719 -0.10635438918788 -0.106354389187876 0.585455053565385 -0.550205751190985 0.248229173232986 0.230920128692063 0.0948999372348035 0.0479777407168762 0.078868805341443 0.301044786857223 -0.390607731016437 -0.331600541413173 0.312640576794791 0.221927677661064 -0.550211074198011 0.382490356313387 0.25029914749637
