gamma sackin colless beta blum crown_age tree_height pigot_rho number_of_lineages nltt_base phylogenetic_div avg_ladder max_ladder cherries il_number pitchforks stairs laplace_spectrum_a laplace_spectrum_p laplace_spectrum_e laplace_spectrum_g imbalance_steps j_one b1 b2 area_per_pair average_leaf_depth i_stat ew_colless max_del_width max_depth max_width rogers stairs2 tot_coph var_depth symmetry_nodes mpd psv vpd mntd j_stat rquartet wiener max_betweenness max_closeness diameter eigenvector mean_branch_length var_branch_length mean_branch_length_int mean_branch_length_ext var_branch_length_int var_branch_length_ext
gamma 1 0.126517107053891 0.128098193701064 -0.000329282607379211 0.247651866855655 0.401358131023603 0.401358131023603 0.694784145672228 -0.189829783932769 0.609938287571246 -0.183092875281801 -0.037704832076293 -0.0331332213871862 -0.0863678351591983 0.0863678351591981 -0.0444919320033198 -0.0361131858932312 0.652631429542028 0.162805213076239 0.165128914774667 0.0700327565630601 0.0251593585436988 -0.137348322927249 -0.150739810196774 -0.251309128403794 -0.0939805793405196 0.0640769889002809 0.0784951733908885 0.0200795440422156 -0.122122450952494 0.0150294302401501 -0.121199355016165 0.105843705203742 -0.0363510049988484 0.0240695131515593 0.114831581003766 0.0886661605365927 -0.113766197745209 -0.113766197745209 0.274894066740564 -0.297340774321564 -0.0624123404226847 0.0579346940481481 0.154780646955271 0.0906692236506569 0.159463092231209 -0.112168326692714 -0.0832000595003295 -0.211148977645852 0.0732384658935217 -0.0425435526098073 -0.297340774349945 0.0774214535780799 0.123653625492965
sackin 0.126517107053891 1 0.978507567739253 0.0270392991320744 0.556219641021764 0.0660783460805252 0.0660783460805252 0.239020832079226 0.984635596824704 -0.116883863583482 -0.151461448812159 -0.101232424301493 -0.191311811246549 0.140293023104289 -0.140293023104289 -0.276016316875298 -0.145652216546379 0.266400434709955 -0.562142407401995 -0.305263906233457 -0.337853209267639 -0.0702218547908119 -0.195727741798071 0.00116858841485245 -0.635610454843429 -0.494818538037741 0.00912503932140039 0.0466573136240342 0.0348674985440671 -0.379151048220912 -0.010152424629754 -0.53463149945088 -0.304698813416392 0.0358949580998496 0.912573566129084 0.286885256859402 -0.249588721828327 -0.0965727055012339 -0.0965727055012343 0.0371336449443945 0.117473224661602 0.305987034416244 0.547616552016128 0.337878529626993 0.677795607928906 0.292807623812492 -0.325654810479806 -0.0593232212614978 0.12888871145868 0.114034907404157 0.123165251304789 0.11747322484915 0.0867039826620921 0.106036978340086
colless 0.128098193701064 0.978507567739253 1 -0.0187853981814607 0.617463566249509 0.0990477650043572 0.0990477650043572 0.241565514677189 0.960538230450141 -0.0331202784449725 -0.130274811314593 -0.0695106323956012 -0.135507623427148 0.108524992948016 -0.108524992948015 -0.234896054665591 -0.0936165612468717 0.306794768925622 -0.579113699380107 -0.191812447354572 -0.414339962581678 -0.247272619272548 -0.311833473518578 -0.0387934912123106 -0.602325426016896 -0.340637519448335 0.174444314994207 0.104642795742999 0.0612347774368238 -0.410294785464499 0.167007868587571 -0.592272727937235 -0.251714830832509 -0.0338299017673428 0.84447461157324 0.443221181006484 -0.213180467906395 -0.0956411515656404 -0.0956411515656408 0.0473187699774175 0.0939797067067553 0.221321233522907 0.401818106688167 0.217958905332678 0.531798698774823 0.210246611859686 -0.168255540648704 -0.0354317815142107 0.0951959148065869 0.099496619768074 0.0803282842437073 0.0939797068702864 0.0717686317054492 0.0974280065466526
beta -0.000329282607379211 0.0270392991320744 -0.0187853981814607 1 -0.263621599934188 -0.118750458977595 -0.118750458977595 -0.111794163501496 -0.171701887760736 -0.171293496419144 -0.0361631512445339 -0.282686237465474 -0.267003136940622 0.158597461031673 -0.158597461031673 0.0585172634337921 -0.3548382695439 -0.216549401153171 0.0977939827791155 -0.258227351527311 0.0783256016673092 0.323426489817635 0.598006896108001 0.245037272083665 0.235936362703432 -0.225657237677763 -0.375882406599334 -0.707183227883606 -0.437447517611606 0.109412678476837 -0.368232432442192 0.111764384146595 -0.161500275543311 0.628946738246988 0.0701514197763371 -0.264913887001038 -0.15421185840808 0.00121269631700144 0.00121269631700123 -0.0421509615399994 -0.121890056800346 0.0932882521691362 0.0928738553177106 0.105828216466231 0.138209977213877 0.177038790337267 -0.255093007862186 -0.23577059272183 -0.036910790205488 -0.091034847850067 0.107088080420909 -0.12189005678966 0.0062396706868835 -0.160364445765722
blum 0.247651866855655 0.556219641021764 0.617463566249509 -0.263621599934188 1 0.145064420457652 0.145064420457652 0.271481558013776 0.998881219429963 0.146856478577886 -0.0812140074276036 0.112080426892442 0.120924975232396 -0.408171339930946 0.408171339930946 -0.160168558571351 0.20304423203612 0.346363222509047 -0.37901961188401 0.0341334170826117 -0.134653035899431 -0.37387508753095 -0.58633578270461 -0.661399665024868 -0.51021369061588 0.0884004523850434 0.446324368178005 0.471863332180819 0.346426106771092 -0.46363516628532 0.436119637679804 -0.562071205582132 0.256559693862002 -0.452076332931655 0.325954032890446 0.623868389377405 0.286840317281335 -0.0967532479461362 -0.0967532479461366 0.0786959332408524 0.0347442599948769 0.00333597428247282 0.170609269673017 0.106745242243797 0.190762763651227 0.0823688220571267 0.221763028509258 0.0417243852788959 -0.0201856855374486 0.0559101397470168 -0.104581921622209 0.0347442601205192 -0.0145530168060793 0.0963357860596563
crown_age 0.401358131023603 0.0660783460805252 0.0990477650043572 -0.118750458977595 0.145064420457652 1 1 0.30202352097382 0.172557891437329 0.363658078471346 0.532148408899602 0.060561337707771 0.0660482120452363 0.00282250769889203 -0.00282250769889192 0.041857585315322 0.0739180979852714 0.502786279136262 0.150824086152891 0.741579181252586 -0.11062120722085 -0.16374648554049 -0.205725699275289 -0.0173379735197913 -0.203720632624798 0.119179348597339 0.240756653231005 -0.0218467131936087 -0.0363050440813149 -0.0382787832912465 0.137438319125735 0.0995308821364936 0.0444182743346215 -0.051454813714962 0.0401281230858345 0.0666854420560233 0.028498371038367 0.668581554445054 0.668581554445055 0.802515882028956 0.4884780045875 0.284381824813064 -0.0710727838517623 0.123231763284708 -0.0809415297913934 -0.384220199725759 0.0420419846967604 0.0884519038012086 0.547575191749902 0.675572043197477 0.56691838644405 0.488478004419433 0.530790993662051 0.711536053681972
tree_height 0.401358131023603 0.0660783460805252 0.0990477650043572 -0.118750458977595 0.145064420457652 1 1 0.30202352097382 0.172557891437329 0.363658078471346 0.532148408899602 0.060561337707771 0.0660482120452363 0.00282250769889203 -0.00282250769889192 0.041857585315322 0.0739180979852714 0.502786279136262 0.150824086152891 0.741579181252586 -0.11062120722085 -0.16374648554049 -0.205725699275289 -0.0173379735197913 -0.203720632624798 0.119179348597339 0.240756653231005 -0.0218467131936087 -0.0363050440813149 -0.0382787832912465 0.137438319125735 0.0995308821364936 0.0444182743346215 -0.051454813714962 0.0401281230858345 0.0666854420560233 0.028498371038367 0.668581554445054 0.668581554445055 0.802515882028956 0.4884780045875 0.284381824813064 -0.0710727838517623 0.123231763284708 -0.0809415297913934 -0.384220199725759 0.0420419846967604 0.0884519038012086 0.547575191749902 0.675572043197477 0.56691838644405 0.488478004419433 0.530790993662051 0.711536053681972
pigot_rho 0.694784145672228 0.239020832079226 0.241565514677189 -0.111794163501496 0.271481558013776 0.30202352097382 0.30202352097382 1 0.0807253540469694 0.72772680291139 -0.247801558994286 -0.00866056215373798 -0.0100610559637489 0.0342883586531139 -0.0342883586531139 -0.167091691296111 -0.0141459927685884 0.767363485201071 0.0948127486942408 0.128300058115881 -0.0644150899422573 -0.0206836693381998 -0.286881234411034 -0.0618086871765242 -0.434597040718239 -0.104652116600116 0.15798070319535 0.166967443752642 0.0275445922944575 -0.200904132330398 0.0505032675952295 -0.0900856338417647 -0.0116811609337988 -0.10313685599298 0.160059308246563 0.103452077551099 -0.0139745084941002 -0.280679113559461 -0.280679113559461 0.172890226308478 -0.414253034147218 -0.222445781252635 0.124034532880765 0.0810031387519464 0.126767896216724 0.240694198722557 -0.12269883572315 0.0303150934492611 -0.357864017345654 -0.0827027107327375 -0.209700807845396 -0.414253034163993 -0.038255268222325 -0.0274949798422846
number_of_lineages -0.00498431042422245 14.5721410195563 8.7513228912042 -0.0051614521467603 1.27738463839816 0.0552428537908975 0.0552428537908975 0.000649421331573327 1 0.000936426558666322 6.09550980585735 0.00268050704103149 0.00928885724601541 0.331755074918468 0.336489850163065 0.149612122996347 0.000094628819510195 0.000956765247313555 0.0078929174542317 0.0127181322569394 0.0817788193360078 0.941648067558037 -0.000780676971402687 0.524940944937737 0.00336920394332823 0.0421885253617642 0.0320648044215284 0.000126352264254987 -0.000141569857455394 0.0491400743934512 0.0592034456892462 0.199528633181305 0.612599793401592 -0.000107630272744405 813.343029705196 0.0524262453390638 0.621762991565737 0.023843598558281 0.0119217992791404 -0.23925620070489 -0.0235469666573942 -0.00906907555096513 1494107.61224622 23449.4089490479 420.053848553742 -0.0000112074204768162 0.0911737816882102 -0.0000342241538331168 -0.0101535116996528 -0.0755625099325363 -0.00780742698890078 -0.0117734833356134 -0.0328319667546702 -0.0891176138927194
nltt_base 0.609938287571246 -0.116883863583482 -0.0331202784449725 -0.171293496419144 0.146856478577886 0.363658078471346 0.363658078471346 0.72772680291139 0.553038585166149 1 -0.0763852252588174 0.139855168009101 0.247695556762724 -0.0266968909123314 0.0266968909123317 -0.017735689614763 0.0955797297906603 0.682021214805831 0.32036373704362 0.573916923913875 -0.147192099653111 -0.393856108589037 -0.454478897217373 -0.073421747478969 -0.0998509705150032 0.457319562756921 0.55094090212161 0.192313817288616 -0.0377597829334213 0.0414371313449825 0.439445136370659 0.142709534187487 0.0812576056460834 -0.196824446923153 -0.167482064965403 0.245852980383983 0.0637115973296644 -0.180024061833363 -0.180024061833364 0.217231123454964 -0.507320190104803 -0.582171521034296 -0.248551273899326 -0.248284243161768 -0.351544922598084 -0.24700941723638 0.363978140838166 -0.0485702065054867 -0.458576969017914 -0.132279352511117 -0.294963800843649 -0.507320190251745 -0.070319825529689 -0.0615519322634236
