gamma sackin colless beta blum crown_age tree_height pigot_rho number_of_lineages nltt_base phylogenetic_div avg_ladder max_ladder cherries il_number pitchforks stairs laplace_spectrum_a laplace_spectrum_p laplace_spectrum_e laplace_spectrum_g imbalance_steps j_one b1 b2 area_per_pair average_leaf_depth i_stat ew_colless max_del_width max_depth max_width rogers stairs2 tot_coph var_depth symmetry_nodes mpd psv vpd mntd j_stat rquartet wiener max_betweenness max_closeness diameter eigenvector mean_branch_length var_branch_length mean_branch_length_int mean_branch_length_ext var_branch_length_int var_branch_length_ext
gamma 1 0.373556871221076 0.358115923667844 0.0917042692075704 0.113254327206552 0.311092160332544 0.311092160332544 0.526935995292598 -0.351075433143478 0.398205439934444 -0.0545942804640198 -0.242254202290499 -0.196629356504788 0.0685892370582207 -0.0685892370582227 -0.127537711835002 -0.066477329751038 0.431217249743837 0.216547032226806 -0.00694484161900021 -0.0614986053702391 0.128525968411623 -0.0322134160793959 -0.00562764223593104 -0.294999172396272 -0.268733782523004 -0.154522081132891 -0.0964117179118272 -0.0875590927810567 -0.0908799006198639 -0.0979913602016406 -0.0715947547394533 0.0163848943418528 0.120358708455815 0.26047034510753 0.0292313775848108 -0.00523100659139119 0.185400612241423 0.185400612241423 0.424264084625484 0.0159573470367831 0.3468372884003 0.228006611558458 0.26486123672071 0.222132337847457 0.0422445606157113 -0.16123240723925 0.130218096322215 0.177192091804335 0.386642621689265 0.331468500295337 0.0159573470367998 0.401877417288542 0.338272247945103
sackin 0.373556871221076 1 0.95172260172376 0.16860839027861 0.400747418571779 0.0480924124552809 0.0480924124552809 0.202574319862733 0.995967124519525 -0.393379554551579 -0.0662290872744379 -0.241062833992129 -0.0369105191541705 -0.0584578083697734 0.058457808369768 -0.365373376021285 -0.209736992002316 0.251032423481507 -0.314328856217349 -0.57814760066615 -0.534010498814247 0.244488872600053 0.0414395405050434 -0.197330405947604 -0.807710947725309 -0.612367096579043 -0.453771480628073 -0.0232386256750188 0.00270358406762567 -0.577711758234437 -0.260623908137052 -0.34793704468297 0.060491273804056 0.0902796227888307 0.675482438464401 0.0159392582507954 0.0695624105426037 -0.0174013791346566 -0.0174013791346564 0.17845054506668 0.231604447140474 0.512558611510375 0.598708674981304 0.697740148798286 0.631473187665258 0.490876129009101 -0.312350758608574 -0.141061523354152 0.276208728639262 0.244106429894886 0.276190881487286 0.231604447140764 0.247347915467272 0.206812276426389
colless 0.358115923667844 0.95172260172376 1 0.0864714707801404 0.625112110110933 0.0570213814145193 0.0570213814145193 0.172782058273049 0.989174302646484 -0.279875782080225 -0.087880732047633 -0.154899068491267 0.160618231898937 -0.277136354025878 0.277136354025873 -0.331043847461345 -0.104665060640087 0.192361547734207 -0.306977049521115 -0.409845797273017 -0.446399918750482 -0.0274910632120015 -0.137710830069129 -0.421779703945742 -0.750651712104131 -0.364120350646376 -0.201936594887067 0.0941154148745318 0.0931890152460223 -0.619557059923075 0.0181032259401287 -0.500677397666125 0.26697583913463 -0.0430064855020539 0.464378645621383 0.2842189431077 0.282110874942432 0.00756762703655936 0.00756762703655941 0.176987168889044 0.196602861656094 0.39027679879064 0.392414075651716 0.489828765215821 0.390516009947591 0.372992475981226 -0.0392758335113839 -0.105919233720566 0.215855960551966 0.207647472614257 0.198674350628469 0.196602861656327 0.196930307484078 0.183370837615033
beta 0.0917042692075704 0.16860839027861 0.0864714707801404 1 -0.153091963182321 0.0604866771571381 0.0604866771571381 0.0744957194299945 -0.154044421193283 -0.100614196869927 -0.0355691507308294 -0.311290384376425 -0.279860809222551 0.170421101693414 -0.170421101693415 -0.0214317338953544 -0.499370605306751 -0.0984445233566282 -0.0270205088952843 -0.199719871993702 -0.120804690935896 0.392217344151993 0.660501777423467 0.170442549611876 0.0783297228497622 -0.300275016442001 -0.438582474869903 -0.671376071077536 -0.523489173763985 -0.0320490074363911 -0.407895337815576 0.108665783225942 -0.207268691809279 0.652085323818483 0.183394248803306 -0.350719693806846 -0.179236952383633 0.107181826728131 0.107181826728131 0.156241698220543 0.0416870862582249 0.402424833673702 0.167859467729678 0.196489962002006 0.20506558475428 0.00907897177510314 -0.295859879804896 -0.227494240976896 0.178884984958411 0.105631010028643 0.310297623991224 0.0416870862584064 0.256360764647501 0.00828717609979708
blum 0.113254327206552 0.400747418571779 0.625112110110933 -0.153091963182321 1 0.0337665285460728 0.0337665285460728 0.0345958552286042 0.998205228996824 0.0830615929034157 0.00792474609130617 0.172745454121742 0.671089581694493 -0.866907489320017 0.866907489320015 -0.0558288667021565 0.258341023215791 -0.0683243072662605 -0.0366883932998648 0.143984182918243 -0.182538451803067 -0.663322755185934 -0.439687404527392 -0.945179909018145 -0.297002544120013 0.41138021772849 0.442784283349394 0.397089017496076 0.355305648288525 -0.337639553882931 0.678455471878073 -0.512011154069664 0.826498863587509 -0.410286689486146 -0.220318783213363 0.771563591542089 0.837920316805421 0.0538078935521175 0.0538078935521175 0.0619621946426622 0.0497397149350866 -0.0654063260550558 -0.32455302570381 -0.24418143487659 -0.353727559507972 -0.0357404948966637 0.688650275773086 0.0309120849364895 -0.0225269917752608 0.0362265053222797 -0.0996110515039507 0.0497397149350557 -0.0311559091661748 0.0732572617948922
crown_age 0.311092160332544 0.0480924124552809 0.0570213814145193 0.0604866771571381 0.0337665285460728 1 1 0.36864929641966 0.288976772037225 0.404164293463703 0.605429349441251 0.0464070184484036 0.00230697907711351 0.000679385637930314 -0.000679385637930434 -0.0755238092747282 0.0513637113691156 0.243334699151783 0.105357990911476 0.589149873897986 -0.148604859157913 -0.0772604570163668 -0.0730671511154456 -0.0102846022451512 -0.056891798166062 -0.033367310024312 0.0276429931047464 0.0352290786443557 0.0184811713180642 -0.0609332800290312 0.0336775233530403 -0.0582644996209282 -0.00686193354471284 -0.0406867932364182 -0.0238789784854339 0.053828072253246 -0.0126481815894504 0.91033548965768 0.91033548965768 0.825447572271471 0.734988843880197 0.535488134003468 -0.0393015007374278 -0.00379764690397621 -0.0155786949285657 -0.449854308265225 -0.0207354412651661 -0.0639934307417327 0.821133228143466 0.728172020135253 0.800279177015762 0.734988843880027 0.742840540107366 0.591037160307525
tree_height 0.311092160332544 0.0480924124552809 0.0570213814145193 0.0604866771571381 0.0337665285460728 1 1 0.36864929641966 0.288976772037225 0.404164293463703 0.605429349441251 0.0464070184484036 0.00230697907711351 0.000679385637930314 -0.000679385637930434 -0.0755238092747282 0.0513637113691156 0.243334699151783 0.105357990911476 0.589149873897986 -0.148604859157913 -0.0772604570163668 -0.0730671511154456 -0.0102846022451512 -0.056891798166062 -0.033367310024312 0.0276429931047464 0.0352290786443557 0.0184811713180642 -0.0609332800290312 0.0336775233530403 -0.0582644996209282 -0.00686193354471284 -0.0406867932364182 -0.0238789784854339 0.053828072253246 -0.0126481815894504 0.91033548965768 0.91033548965768 0.825447572271471 0.734988843880197 0.535488134003468 -0.0393015007374278 -0.00379764690397621 -0.0155786949285657 -0.449854308265225 -0.0207354412651661 -0.0639934307417327 0.821133228143466 0.728172020135253 0.800279177015762 0.734988843880027 0.742840540107366 0.591037160307525
pigot_rho 0.526935995292598 0.202574319862733 0.172782058273049 0.0744957194299945 0.0345958552286042 0.36864929641966 0.36864929641966 1 0.348561629130391 0.549349138473819 -0.0702660171589786 -0.0773172488845717 -0.145737124893539 0.0228002345996096 -0.0228002345996108 0.126094766804688 -0.0828526618285463 0.698750023938876 -0.0653586103660393 0.0524143753345486 -0.260985930159119 0.117599296947609 -0.0142417228602158 0.0142434908157641 -0.21426358552446 -0.23401492459182 -0.159980716199674 -0.089770396756873 -0.0528828737576004 -0.184049870730845 -0.131084926460929 -0.1673412634006 -0.00650845853840639 0.105474064807582 0.0220313030066529 -0.016625349402711 0.000789966131673701 0.0884048097153457 0.0884048097153454 0.480867434643352 -0.0594408660870346 0.237432179343997 -0.0234578184665788 0.043078912999478 0.0550066030281509 0.114481686253049 -0.166515687523819 -0.170879207904014 0.0728228147771877 0.174074220280268 0.21193819569869 -0.059440866086955 0.278124307391479 0.0846706122955219
number_of_lineages -0.00270750767114907 14.1832989752753 7.77681618143319 -0.00141641822273782 1.22933754701169 0.0340160121865905 0.0340160121865905 0.00149736184474305 1 0.000431847270904023 6.95523241277311 0.000417463454868517 0.00569845478745586 0.346013104653821 0.307973790692358 0.160852539991414 0.0000416567731138897 0.000932660441562554 0.00537846005980509 0.00664981630056165 -0.0739508454517553 0.970480279049529 -0.000262786037654585 0.540101707828509 0.00234993374294245 0.0231754019450339 0.0143073433735016 0.000042362441503489 -0.00000672186819924907 0.0367927006369647 0.0291658074378101 0.210983432918117 0.600734406918028 -0.0000392652794488171 1026.59722185184 0.0242763507355332 0.607985417792565 0.0360088795935192 0.0180044397967596 0.54236855268885 -0.00874485791954183 -0.00281086608197365 7193912.47518649 69859.0198142205 771.073291451365 -0.00000236631966947885 0.0520116674137628 0.0000673026137584196 -0.00402371183042774 -0.0375389137733712 -0.00358454365458876 -0.0043724289597732 -0.0346932308589421 -0.0394708040680768
nltt_base 0.398205439934444 -0.393379554551579 -0.279875782080225 -0.100614196869927 0.0830615929034157 0.404164293463703 0.404164293463703 0.549349138473819 0.590258257342952 1 0.051282180167886 0.182909542741773 0.170230600616321 -0.159481502196754 0.159481502196757 0.111232216602695 0.187880637732926 0.345831367522325 0.38515655699701 0.722664464979307 0.130684488402818 -0.399869490403999 -0.309197262942585 -0.125144001200708 0.315779600550706 0.490609607115887 0.510427871915259 0.10455435932973 0.0161879205448127 0.25533722711659 0.423721065277913 0.0637977799597806 0.150624404591295 -0.140244077359495 -0.435373064136555 0.286833837246441 0.152488987688545 0.249009930938363 0.249009930938362 0.34548337305711 -0.168252821075565 -0.260959406438798 -0.404620519290459 -0.444607589971661 -0.456068180336293 -0.582233827253628 0.380702244857685 -0.0285881902953762 -0.103447227383379 0.0408002340611428 -0.00232989815899189 -0.168252821075768 0.0836443679107822 0.00457323235277505
