gamma sackin colless beta blum crown_age tree_height pigot_rho number_of_lineages nltt_base phylogenetic_div avg_ladder max_ladder cherries il_number pitchforks stairs laplace_spectrum_a laplace_spectrum_p laplace_spectrum_e laplace_spectrum_g imbalance_steps j_one b1 b2 area_per_pair average_leaf_depth i_stat ew_colless max_del_width max_depth max_width rogers stairs2 tot_coph var_depth symmetry_nodes mpd psv vpd mntd j_stat rquartet wiener max_betweenness max_closeness diameter eigenvector mean_branch_length var_branch_length mean_branch_length_int mean_branch_length_ext var_branch_length_int var_branch_length_ext
gamma 1 0.0650877088706297 0.0656118604690483 0.34421184194464 -0.0180931565207086 0.28852473721264 0.36850214694633 0.556270080927331 -0.863666321921175 0.737767461879738 -0.205078071859626 -0.398340731464002 -0.366181365606507 0.0879110989796126 -0.0879110989796122 0.231618641448153 -0.221258660292755 0.652119287557497 0.183360513109197 0.0433335529632457 -0.48756173096612 0.151990703445344 0.0940481866568127 0.122320056646384 -0.187692043820833 -0.18597663176065 -0.125208461294274 -0.282394508073506 0.0628169677826971 0.0771537921442779 -0.151990703445345 -0.0872120684244581 -0.166271850382968 0.172542017488403 0.0135462670213403 0.0283091458326076 -0.157885451710227 0.0152732137928439 0.015273213792844 0.407087201111488 -0.418871365922267 0.33101731993086 -0.0247902567720266 -0.00795623077356714 0.00598221348251035 0.108000279887484 -0.201736073419433 0.709554057312285 -0.174991756361906 0.239595820875721 0.500537623320576 -0.418871374227209 0.762547536172143 0.201451992894426
sackin 0.0650877088706297 1 0.993098756236998 0.303964555009185 0.884708945153522 0.15439246694903 0.0726398897003552 -0.444484189555123 0.994766239400029 -0.423471704235126 0.546236883355376 -0.394143173369519 -0.65798833473561 -0.487322042467715 0.487322042467713 -0.398931552948509 -0.245010745476844 0.222757755928873 -0.156193381085811 -0.661101786186667 0.442542949351829 0.68611221384975 0.493768618732481 -0.594446858910899 -0.672764172753297 -0.8000736404169 -0.771240047423555 -0.227192778322723 0.0553821259243669 -0.469714936569885 -0.68611221384975 -0.138845235512847 0.494077231951675 0.229606778863908 0.98634738967299 -0.325404965563002 0.47831478639971 0.0847458872339184 0.0847458872339176 0.278919857256136 0.273906257833564 0.727731756894092 0.973392914592279 0.971036293444136 0.977442092567859 0.522026613688592 -0.708459827126726 -0.300724327041933 0.407295819358293 0.382675101263825 0.559018668044531 0.27390631807794 0.522100879090047 0.271093485743629
colless 0.0656118604690483 0.993098756236998 1 0.274310302070894 0.889042634518499 0.158953509672056 0.0751948060885703 -0.44397710322248 0.991495924728569 -0.396786242181028 0.541806572099131 -0.362819018508051 -0.659623148379488 -0.491255529238871 0.491255529238869 -0.386735442456431 -0.218128701859346 0.220032552317231 -0.199990091075857 -0.624008107645975 0.41405628202792 0.605387899375814 0.411179673601222 -0.589456294066207 -0.607045189100484 -0.73353009279938 -0.698092652818181 -0.199508992871889 0.0731001932305897 -0.409625873510029 -0.605387899375813 -0.176407173781036 0.506551635540036 0.200058312089055 0.965554236360539 -0.214353053396019 0.498415346657017 0.091361294741954 0.0913612947419533 0.291617780393645 0.264036958350208 0.692295155260034 0.95623333300171 0.949587502931053 0.951620426667048 0.486549598338029 -0.637678002516127 -0.325873894472313 0.393753315264765 0.368982213850652 0.54198794914332 0.264037013911896 0.502032343703865 0.264363191116411
beta 0.34421184194464 0.303964555009185 0.274310302070894 1 0.0898329237097837 -0.444637712770376 -0.23153134413806 -0.0282231266046291 -0.302069695175541 -0.163198011713861 -0.118828483290061 -0.929761725776864 -0.688856307244249 0.105603256204281 -0.105603256204281 0.269013697490135 -0.799698093419793 -0.193586730645722 -0.135819026998971 -0.706730385417477 -0.209192543337106 0.603530461005446 0.73751090868261 0.0750890930339641 -0.261889520618025 -0.613499550870764 -0.608008973797209 -0.884882793340728 -0.428151026889854 -0.514367989522298 -0.603530461005447 -0.159706514266623 -0.160106638847795 0.84507436318996 0.270252386935721 -0.281583477153308 -0.154494535284087 -0.442550866609882 -0.442550866609882 -0.366374348263207 -0.493619911859643 0.433700524440649 0.22289984901572 0.246265949345608 0.270305205199312 0.845333043012693 -0.609358656992222 0.0958689845268957 -0.304512326479714 -0.378520552619998 0.318030347695987 -0.493619873932695 0.219579294081105 -0.502794272540753
blum -0.0180931565207086 0.884708945153522 0.889042634518499 0.0898329237097837 1 0.343460154138402 0.343837705130767 -0.572021005183435 0.999607886858019 -0.332224876136792 0.787883879881392 -0.205136312608281 -0.353961704389782 -0.777244917811077 0.777244917811075 -0.47112839535947 -0.0281172613459229 0.145260700370418 0.185370748775472 -0.403724310531431 0.393005390271192 0.47463743301883 0.28481575211031 -0.880188958248033 -0.673564465829078 -0.609151658358834 -0.573904792695109 0.0446975915626242 0.283946000257959 -0.225625159869069 -0.474637433018829 0.244474848187721 0.725872356833045 -0.0573315231141477 0.891249685668296 -0.235577309673714 0.746861646555945 0.310892238263551 0.310892238263549 0.381651440036652 0.416916471726353 0.62830372185551 0.919983854027689 0.921478813825348 0.889406516986942 0.311327812312574 -0.563536089796028 -0.233670165363746 0.517323112463398 0.499985322133764 0.543425611885861 0.416916503567529 0.477235842382738 0.431093761174481
crown_age 0.28852473721264 0.15439246694903 0.158953509672056 -0.444637712770376 0.343460154138402 1 0.917097187341484 0.13920624085087 -0.112503448794312 0.493428411203694 0.539644185190914 0.20045851533709 0.0602022233368733 -0.208688263907729 0.208688263907727 -0.585117801298792 0.226512332705631 0.634599687414081 0.340033825568823 0.550469816777794 0.103980029300862 -0.0787141904962373 -0.351545296712615 -0.32156220995444 -0.417071972838693 0.00718604082398101 0.0806771307178025 0.458152793824418 0.229921113169671 0.24633946649502 0.0787141904962386 0.287704868966165 0.145492530920081 -0.470241430128257 0.16860116362831 -0.0188507898688546 0.175930420398694 0.87751653869952 0.87751653869952 0.936009078490176 0.653341456633317 0.417326515707604 0.190981507114859 0.202883575470621 0.173607187360757 -0.511818885165025 0.0440514016816592 0.44753601676402 0.738859080054249 0.932899400937021 0.624114265700138 0.653341440965979 0.656588004956211 0.933955431875461
tree_height 0.36850214694633 0.0726398897003552 0.0751948060885703 -0.23153134413806 0.343837705130767 0.917097187341484 1 0.139323206654719 -0.409971421356925 0.562201495453027 0.569356180710169 0.0285799090981725 0.0965355492889394 -0.343867363321536 0.343867363321534 -0.395403205492247 0.158839768423597 0.481190722417125 0.555186534536451 0.530172823098373 -0.0740115483726651 -0.0706179095448875 -0.266710782259425 -0.426446254915498 -0.427778280541871 0.000443615665078523 0.0768503472965733 0.340955084375778 0.294812651411947 0.334365448888416 0.0706179095448893 0.503056773234693 0.244438475440616 -0.405107152020568 0.0939600598850586 -0.0365287361931475 0.292285714820693 0.813582472257526 0.813582472257526 0.81316303894511 0.491273384253123 0.402582917103858 0.130567394469235 0.150003095415455 0.10497944325485 -0.407695592215972 -0.00280097917828017 0.569671113904774 0.609282069754293 0.798184910554105 0.643497796380064 0.491273354818339 0.643413346234469 0.795441122747479
pigot_rho 0.556270080927331 -0.444484189555123 -0.44397710322248 -0.0282231266046291 -0.572021005183435 0.13920624085087 0.139323206654719 1 -0.359294972373771 0.74132440346647 -0.706881743710974 -0.0421204786812634 -0.0152492385190281 0.513203340061245 -0.513203340061243 0.258368262137507 0.0913095475849301 0.55018419584714 -0.0720409227056602 0.30422724280464 -0.65460260113927 -0.307225547685525 -0.320218024370498 0.569950652610813 0.100526610443476 0.264728637197108 0.311211160066914 0.173771534317581 0.209977551264291 0.291561523562642 0.307225547685524 -0.374413024233838 -0.462447942232806 -0.217899125497673 -0.487011234212317 0.162590957715947 -0.517237515365949 -0.168810323558152 -0.168810323558151 0.293579289533159 -0.42293810354404 -0.104909422458338 -0.541063383147164 -0.541753043956698 -0.49351246212995 -0.206885208577826 0.358171540918315 0.532039707685522 -0.372663856368681 0.042996675770341 -0.0959564208675298 -0.422938118719149 0.18063567487306 0.1287639795375
number_of_lineages -0.0199313537245401 16.5314319369382 10.1370864723835 -0.00269809518612201 1.35055434452937 0.0193251571145613 -0.0246801462441886 -0.00194836632934616 1 0.000111850875303581 17.3233356060151 0.00152894356147893 0.00625338741445837 0.316811300637128 0.366377398725743 0.153525809756536 0.0000839313990733877 -0.00423730828023813 0.00742422076120669 0.00621960181893103 0.00801732606112704 0.956116293452121 -0.000416626881389204 0.505755369795027 0.00246693267322196 0.0303367678501665 0.0181699140296915 0.00019814817655958 0.0000447228776980543 0.0326196460640743 0.0438837065478794 0.196544829264737 0.638809289031793 -0.000115687619837384 1038.977445636 0.0383501421663667 0.643660948907945 0.0749425055646324 0.0374712527823162 -0.774582271012729 0.0111443217484016 -0.00431323923774404 8744177.70899337 92050.0851861364 731.651270326609 -0.00000169241981787314 0.0714837647427677 -0.0000263691574671076 0.00077952481766138 -0.0257584133282897 -0.00389979917290356 0.00557216024678171 -0.0663694047553833 -0.0188408472350983
nltt_base 0.737767461879738 -0.423471704235126 -0.396786242181028 -0.163198011713861 -0.332224876136792 0.493428411203694 0.562201495453027 0.74132440346647 0.33584128875049 1 -0.261343367927339 0.0484905645463761 0.0949535406712167 0.203582219503659 -0.203582219503658 0.194695282998826 0.207469567296093 0.653754176145862 0.312863924053898 0.630159335074931 -0.670725009649596 -0.419079474148339 -0.500340417731114 0.260031498253021 0.109119891899819 0.375495235190806 0.471271251275496 0.213505523266833 0.238514230260669 0.467463008662745 0.419079474148339 0.047605551894361 -0.220703766424414 -0.320181481108883 -0.459898000170476 0.326642566328272 -0.197170336556599 0.210229354350009 0.21022935435001 0.507819227556299 -0.271488980329516 -0.127527433960635 -0.462702253053567 -0.455421532674495 -0.46465483305139 -0.432455177355382 0.334766774645083 0.664928094860523 -0.169860413570494 0.260051339386572 0.150337517711476 -0.271489023211047 0.434551389721794 0.323271675050192
