gamma sackin colless colless_corr colless_quad beta blum crown_age tree_height pigot_rho number_of_lineages nltt_base phylogenetic_div avg_ladder max_ladder cherries double_cherries four_prong il_number pitchforks stairs laplace_spectrum_a laplace_spectrum_p laplace_spectrum_e laplace_spectrum_g min_laplace max_laplace min_adj max_adj imbalance_steps j_one b1 b2 area_per_pair average_leaf_depth i_stat ew_colless max_del_width max_depth avg_vert_depth max_width mw_over_md tot_path tot_internal_path rogers stairs2 tot_coph var_depth symmetry_nodes mpd psv vpd mntd j_stat rquartet wiener max_betweenness max_closeness max_closenessW diameter eigen_centrality eigen_centralityW mean_branch_length var_branch_length mean_branch_length_int mean_branch_length_ext var_branch_length_int var_branch_length_ext treeness root_imbalance
gamma 1 0.322464980661037 0.0356545675235114 -0.167334236228294 0.363764305534833 0.230874791890985 -0.457615202355131 0.540502177709473 0.540502177709473 0.259901772687787 -0.128379204470448 0.917173311825779 0.00447928035796709 -0.233322339602825 -0.338752614172218 0.340678869690757 0.288363349461111 -0.0800102884217874 -0.340678869690757 0.150600500365633 -0.176618700264348 0.746151403354124 0.222952644913052 0.427800551813943 0.0738954688529508 0.0235822034128003 0.622663447532391 0.237353590532658 0.614673091491572 0.190191226695994 0.312142141753173 0.441306358410384 -0.0353509233217687 -0.418556975113374 -0.371995580739706 -0.301956422864853 -0.0977842427081856 0.102459498385693 -0.190191226695994 -0.365715990419873 0.330991706578904 0.223871688412242 0.322464980661036 0.322464980661036 -0.40986461929857 0.331146809721191 0.350046210525351 -0.147583308416392 -0.399699264345871 0.341491687775648 0.341491687775647 0.721975757292973 -0.476516338644993 0.34984444246254 0.157145890679637 0.603747683956774 0.210997271016937 0.411819316649645 -0.122165156425029 -0.437917641041785 -0.333908566060694 0.252595060898573 -0.030386312703885 0.320081604306861 0.387486072198744 -0.476516369608813 0.472471297310066 -0.0969772960299186 0.826972989290469 0.146734344857697
sackin 0.322464980661037 1 0.737348411977883 0.654625895324679 0.799712426930394 -0.230057713318103 -0.0681667887899758 0.532580192870326 0.532580192870326 -0.501753807221285 0.998669333242691 0.0749578961808584 0.487465837519395 0.35775413105688 0.254314858529757 0.120437823849251 0.598032257681845 0.20911071832222 -0.120437823849251 -0.527783982117421 0.0367095452541527 0.560308155760886 -0.139473594419706 0.341720399516638 0.368677093501449 -0.0998673976268117 0.552145377321982 0.25586607655542 0.544637715478781 0.0612693732888156 -0.30433492481612 0.174823132667231 -0.747298569671257 -0.539171072631046 -0.076642146335432 0.372676819629677 0.248216447110312 -0.719540664725932 -0.0612693732888155 -0.0371774191795768 -0.6253843998517 -0.388099863825368 1 1 -0.276372831945627 -0.160288165387446 0.731595540920061 0.211903854686591 -0.341408121592554 0.445667033232182 0.445667033232181 0.363440700549115 0.378684333429022 0.505014601007232 0.342954653426716 0.831027451705968 0.483612460818636 0.59049059204158 0.0797394901600014 -0.448004694807796 0.118967385206241 0.264375915629459 0.509923339857935 0.512579812835812 0.482810574621707 0.378684415803144 0.464029806095916 0.509625431072212 0.190776797080922 0.726387679985989
colless 0.0356545675235114 0.737348411977883 1 0.633016752600541 0.339987901258802 -0.432762258687298 0.39868787626037 0.509113782906512 0.509113782906512 -0.638543596575148 0.983846388590794 -0.0715061002694131 0.760484807909128 0.416546193273705 0.411121404867245 -0.168450583341934 0.181543993721016 0.162860877799364 0.168450583341934 -0.356225433051484 0.234718935664728 0.17085288883146 -0.562746399318962 0.474163484338797 -0.139615927605757 -0.286020092684899 0.384716691923758 0.104686849341036 0.385430988443179 -0.566595673711468 -0.720222338672564 -0.226417830288391 -0.37329711104192 0.0822728799790563 0.581466241572992 0.597355692534576 0.353512728297731 -0.57104348426771 0.566595673711468 0.607181988103204 -0.699901412144353 -0.741576410450785 0.737348411977883 0.737348411977883 0.146983982933939 -0.439301111045993 0.179709169620029 0.774648732906331 0.0681676563336684 0.486716515662566 0.486716515662564 0.436876035819555 0.593732595381071 0.208169168968879 -0.324855778237326 0.548842248970391 -0.17441140326 -0.0339336187303209 -0.146064375958352 0.143988873708234 -0.0283871982951908 -0.0261091238294019 0.465517401727967 0.409299646865768 0.212838393445255 0.593732823930737 0.230610882790648 0.681856496344942 -0.273691647840477 0.528966413920635
colless_corr -0.167334236228294 0.654625895324679 0.633016752600541 1 0.293857521238449 -0.755506485116176 0.366008882519927 0.230668895200478 0.230668895200478 -0.716230060533575 -0.696268920953736 -0.27732071157773 0.390955503798829 0.490959589387211 0.449949323778631 -0.193244242317488 -0.0143320951633728 0.218367843071304 0.193244242317488 -0.266735812096244 0.331153208420905 0.164551332947674 -0.153762704888849 0.165908968430289 0.1732167226371 -0.544624622865756 0.231683607121004 0.26166639708606 0.228879850136301 -0.327486842941087 -0.780289417300301 -0.251097624828905 -0.781792929888315 -0.100841063200799 0.36486690949361 0.820875362659185 0.489455918624983 -0.565726531794365 0.327486842941087 0.404838902584609 -0.797902958268719 -0.797151429365062 0.65462589532468 0.654625895324679 0.170324638937191 -0.57364603653222 0.253162353018051 0.48741600284656 0.133137557812375 0.254331561035547 0.254331561035547 -0.0308307532421849 0.659916964633335 0.303091665448688 0.101526160733447 0.223441333560985 0.14648701501924 0.164311756624382 -0.00524410341861198 0.0340376969685838 -0.0291919943637954 0.357505944272661 0.506798038375606 0.396694695995875 0.215170747466305 0.659916870380525 0.269634590327525 0.696645834071138 -0.34645176443135 0.468631602346735
colless_quad 0.363764305534833 0.799712426930394 0.339987901258802 0.293857521238449 1 0.133336095691494 -0.54039753561256 0.354464764191046 0.354464764191046 -0.266174582155306 0.936661401253382 0.10922774181133 0.180021135898246 -0.0194241690187804 -0.160429763126871 0.464089010985728 0.914140037632777 -0.149950375090473 -0.464089010985728 -0.651079657727802 -0.28306781623366 0.562360942831841 -0.0138039260455295 0.137244510955384 0.709820329041326 0.115380477868604 0.422866662168912 0.142115970039753 0.407973958823692 0.517157962288889 0.170984168590701 0.588503519656657 -0.533170437056176 -0.832496663242547 -0.502816967247563 -0.127657946668324 -0.140160006276137 -0.653432222318025 -0.517157962288888 -0.476436172142495 -0.280667717842089 0.137954794210189 0.799712426930394 0.799712426930395 -0.666823533027202 0.271856578664404 0.981240249873123 -0.253566900585561 -0.729585801637988 0.254858121227208 0.25485812122721 0.1967906231649 0.0635271543512409 0.436316158034417 0.704812684801828 0.854149716037991 0.813843728364584 0.669654120129078 0.199157408811043 -0.817852437756624 0.1780612322396 0.0579991699862622 0.309205688411042 0.289034872704895 0.442977907059459 0.0635271674304946 0.346025992021462 0.0993220472987965 0.440211213629076 0.705610342001819
beta 0.230874791890985 -0.230057713318103 -0.432762258687298 -0.755506485116176 0.133336095691494 1 -0.586819570340435 0.206037226737542 0.206037226737542 0.346455438712276 -0.249820797418186 0.151314745528226 -0.0132277859008922 -0.437897531181034 -0.445151446584713 0.404306169853084 0.394397273070577 -0.147892194072696 -0.404306169853084 -0.0427752401671343 -0.425287636240184 -0.0661727388231975 0.0812228440778737 0.147058679959921 0.0799065183190379 0.443919643991866 0.232405663921434 -0.28860434546788 0.233146545394571 0.502062404900507 0.863323185658869 0.489167828138555 0.500214565574282 -0.334820186756041 -0.614372549707216 -0.808136994113791 -0.539700002695792 0.261065044551945 -0.502062404900507 -0.638171839056391 0.660848371753077 0.838328540031618 -0.230057713318103 -0.230057713318103 -0.413396953630004 0.665324749324693 0.177067147908006 -0.571075776407617 -0.39459639844264 0.222928190429359 0.22292819042936 0.241925991283629 -0.288398978672407 0.302026750095123 0.22242435860996 0.202236288425126 0.235277141903942 0.286434178537972 -0.194856354686395 -0.420439933254625 0.334334398369815 -0.0725423862662062 0.074024648339044 0.142090618338554 0.393667296978592 -0.288398916619478 0.250786519748542 -0.348722451197527 0.627142569590888 -0.064105858111228
blum -0.457615202355131 -0.0681667887899758 0.39868787626037 0.366008882519927 -0.54039753561256 -0.586819570340435 1 -0.0934814827107626 -0.0934814827107626 -0.218131563387767 0.993892417068331 -0.240930677551969 0.206718146830869 0.705633231661557 0.820274243634008 -0.910651515194999 -0.659097340670781 0.630530443743612 0.910651515194999 0.389524219877702 0.803287776632011 -0.220185541652558 -0.100650901977656 0.0258049108312163 -0.599041097831043 -0.427537783386855 -0.157973660167473 0.187411805098199 -0.137005546260555 -0.655483561189414 -0.703715345969246 -0.975735291207948 -0.121205391699297 0.820511695413774 0.754325487861206 0.818060230909249 0.797176521107699 -0.142266630127888 0.655483561189414 0.758842711436735 -0.604836952023507 -0.763551147279365 -0.0681667887899758 -0.0681667887899761 0.93719110032218 -0.913941939423285 -0.591793964601849 0.614397906083807 0.911321686913726 -0.0294031757428122 -0.0294031757428134 -0.0248848750350567 0.405701924933652 -0.217857035584203 -0.587603568117476 -0.445588447753306 -0.592196032390358 -0.544505012201661 -0.176207154357668 0.887290321056897 -0.142684515232147 0.195613475828842 0.0053695538312966 0.0517474536158206 -0.356757642932063 0.405702191841344 -0.094206814961701 0.275149647985988 -0.769021845395467 -0.374471248726659
crown_age 0.540502177709473 0.532580192870326 0.509113782906512 0.230668895200478 0.354464764191046 0.206037226737542 -0.0934814827107626 1 1 -0.271213139690166 0.0478574647977204 0.417544642464087 0.779571274147752 -0.0399512280485196 -0.0622265979654969 0.14124000306992 0.272461061385112 0.0699832400076268 -0.14124000306992 -0.0741215642785432 -0.00690921295998378 0.369351134272315 -0.251357787023768 0.947900453041125 -0.150610753981898 -0.287465505110058 0.966278302716242 0.140275719035745 0.965715158580975 -0.256304503773813 -0.0972126306406953 0.156453751735149 -0.0473558560631831 -0.239490748731831 0.0311997974866969 0.0979162550425507 0.0707787542112531 -0.0973906227733016 0.256304503773813 0.0465379205549834 -0.069505545556903 -0.190231709475431 0.532580192870326 0.532580192870326 -0.163939265162878 0.00699331685374262 0.274250173397767 0.340689926672127 -0.192853100175009 0.96523052502365 0.96523052502365 0.878393436490264 0.422559258534504 0.832007200819568 -0.071345661713567 0.696080953223714 0.0415976937257115 0.300976365196351 -0.699923049304488 -0.221124407645574 -0.154306486780043 0.426433160613101 0.756808884861921 0.874912011899305 0.849457028975947 0.422559318969726 0.844860697013944 0.571619525187306 0.514474169824719 0.394889654241414
tree_height 0.540502177709473 0.532580192870326 0.509113782906512 0.230668895200478 0.354464764191046 0.206037226737542 -0.0934814827107626 1 1 -0.271213139690166 0.0478574647977204 0.417544642464087 0.779571274147752 -0.0399512280485196 -0.0622265979654969 0.14124000306992 0.272461061385112 0.0699832400076268 -0.14124000306992 -0.0741215642785432 -0.00690921295998378 0.369351134272315 -0.251357787023768 0.947900453041125 -0.150610753981898 -0.287465505110058 0.966278302716242 0.140275719035745 0.965715158580975 -0.256304503773813 -0.0972126306406953 0.156453751735149 -0.0473558560631831 -0.239490748731831 0.0311997974866969 0.0979162550425507 0.0707787542112531 -0.0973906227733016 0.256304503773813 0.0465379205549834 -0.069505545556903 -0.190231709475431 0.532580192870326 0.532580192870326 -0.163939265162878 0.00699331685374262 0.274250173397767 0.340689926672127 -0.192853100175009 0.96523052502365 0.96523052502365 0.878393436490264 0.422559258534504 0.832007200819568 -0.071345661713567 0.696080953223714 0.0415976937257115 0.300976365196351 -0.699923049304488 -0.221124407645574 -0.154306486780043 0.426433160613101 0.756808884861921 0.874912011899305 0.849457028975947 0.422559318969726 0.844860697013944 0.571619525187306 0.514474169824719 0.394889654241414
pigot_rho 0.259901772687787 -0.501753807221285 -0.638543596575148 -0.716230060533575 -0.266174582155306 0.346455438712276 -0.218131563387767 -0.271213139690166 -0.271213139690166 1 -0.0764071114990121 0.429576064575469 -0.527405533972102 -0.406324110606077 -0.354556592060528 0.0101180036168 -0.085587412996003 0.0207500752585886 -0.0101180036168 0.389076968952551 -0.241469931964708 0.141878225269613 0.375895831378896 -0.165238296307374 -0.0763963938226619 0.587865496558691 -0.214267174784865 0.0170281550478225 -0.216474606872944 0.34916593356153 0.602956875633831 0.0975405552942481 0.461375554015067 0.0470081565972875 -0.39807818911166 -0.54577091654258 -0.208734741401057 0.584853016960853 -0.34916593356153 -0.42136287891082 0.532544532472749 0.533086279105312 -0.501753807221285 -0.501753807221285 -0.121855788950352 0.369857856016072 -0.185692584895074 -0.47267133471437 -0.0744075531722993 -0.371104999534802 -0.371104999534801 -0.0881620438285384 -0.637393070374274 -0.308158326340973 0.0590499361291917 -0.266894315167084 -0.00801165182768202 0.0449601971796595 0.0821535358338679 -0.0519212657881269 -0.214491805321236 -0.0152319004655332 -0.541309055348926 -0.454506347233449 -0.293548497348868 -0.637393091015318 -0.30063402130757 -0.681595173778653 0.304611488717519 -0.402540012327482
