gamma sackin colless colless_corr colless_quad beta blum crown_age tree_height pigot_rho number_of_lineages nltt_base phylogenetic_div avg_ladder max_ladder cherries double_cherries four_prong il_number pitchforks stairs laplace_spectrum_a laplace_spectrum_p laplace_spectrum_e laplace_spectrum_g min_laplace max_laplace min_adj max_adj imbalance_steps j_one b1 b2 area_per_pair average_leaf_depth i_stat ew_colless max_del_width max_depth avg_vert_depth max_width mw_over_md tot_path tot_internal_path rogers stairs2 tot_coph var_depth symmetry_nodes mpd psv vpd mntd j_stat rquartet wiener max_betweenness max_closeness max_closenessW diameter eigen_centrality eigen_centralityW mean_branch_length var_branch_length mean_branch_length_int mean_branch_length_ext var_branch_length_int var_branch_length_ext treeness root_imbalance
gamma 1 0.124158359312613 0.109135243573466 0.135490502002596 0.109105031158698 0.0017468631025779 0.119223270327411 0.193163235829481 0.193163235829481 0.6043501221097 -0.451444078668583 0.644522985197781 -0.267232843845589 -0.00214456718656934 -0.10742068719482 -0.111884957531915 0.142308711307621 -0.0192550005945357 0.111884957531915 -0.179453783458375 -0.0275506061190234 0.49087450048997 0.203934268500454 0.0342306158847378 -0.0303729440686528 0.0231363487338689 0.173816044545454 -0.203271441768906 0.17296513657337 0.0238999725010114 0.04900331736062 -0.137032697980358 -0.0290494926136578 -0.104334026354275 -0.100148509076026 0.0582868262862301 0.0614645743478978 -0.277585058385118 -0.0238999725010114 -0.0973434205208577 -0.133549514547038 -0.12490436736396 0.124158359312613 0.124158359312613 0.0476864668960669 -0.0493197415138105 0.119630360340222 0.00411015727452558 0.0473504096791434 -0.0326587940890901 -0.0326587940890897 0.317807565576272 -0.325607194969259 0.0404845568385316 0.139265932501702 0.178775594818308 0.152375777934411 0.133630014953485 0.132511492729171 -0.03414571771725 0.123418178661359 -0.206406313101982 -0.219641517706014 -0.0414950785430542 0.0174113799290104 -0.325607192729724 0.105218069223178 0.00533831761706647 0.686313045520827 -0.116302767449275
sackin 0.124158359312613 1 0.972741742344876 0.487498958693626 0.853830742650428 0.0850619027575715 0.22694174651857 0.0980908925956813 0.0980908925956813 0.128342781173661 0.986074795700655 -0.172377757644595 -0.171059738791486 -0.16542789914864 -0.264804804733864 0.0558347772577807 -0.0490125384056905 0.156397072738541 -0.0558347772577795 0.157555016601949 -0.0538805708237999 0.228076229622787 -0.511970662821223 -0.294947002633826 -0.225150070330219 0.141226488907081 0.172076968941773 0.133132372967239 0.187393464684755 0.0293641976510494 -0.243866090454252 0.0652932133478088 -0.666571930969419 -0.420440944288334 0.0988567606848591 -0.0268090283067695 0.0739474757800062 -0.503349876334495 -0.0293641976510494 0.114248753884431 -0.619927673452558 -0.506613857642441 1 1 0.0279237465922722 0.0303744470685978 0.836355688736197 0.245624663477094 0.0260143787227054 -0.032703854269855 -0.0327038542698539 0.0172397720931727 0.162906349730749 0.337189200954564 0.396006154920295 -0.0644726527288946 0.49058034504706 0.384026241065259 0.218597596144947 -0.354910906553327 0.342812427840779 -0.0428393551109192 0.199903664428723 0.179370717409706 0.2341264094103 0.162906367083102 0.176521424115612 0.17776349210447 0.00307800951877045 0.144897451068011
colless 0.109135243573466 0.972741742344876 1 0.401116664354966 0.763827281982199 0.0257430985318288 0.343500947128016 0.0874860789302169 0.0874860789302169 0.099593085070263 0.963812571412542 -0.106530021327697 -0.14678695033482 -0.0972880970059963 -0.168813520966086 -0.0171508270909664 -0.0935953653659852 0.165488377747994 0.0171508270909677 0.159359104867964 0.0160284327007947 0.23340682119131 -0.519413668137516 -0.166996248891096 -0.214889021719966 0.0951207913986245 0.153905922548323 0.0925621422920739 0.169749983225482 -0.177201576909055 -0.384721307818301 -0.0265842785083719 -0.620336644738583 -0.228705619302423 0.288320320309414 0.0540044407110092 0.123164008854995 -0.525716980204066 0.177201576909055 0.302821647905211 -0.713588696515348 -0.614705528269564 0.972741742344876 0.972741742344876 0.110209793445189 -0.0639683547605062 0.730880534447946 0.43851154213309 0.107654118509309 -0.0487540572014356 -0.0487540572014346 -0.0011131289913661 0.130528898146471 0.231303081235132 0.220905204733888 -0.186366974286751 0.303100260356858 0.257958666287474 0.13972645437177 -0.162629947194226 0.210021562720282 -0.0210109219598644 0.149239963953757 0.153840844801253 0.158371284242823 0.130528913109596 0.13846857478023 0.154750315624131 -0.0466250295641545 0.211468505692454
colless_corr 0.135490502002596 0.487498958693626 0.401116664354966 1 0.370527669919623 -0.306384283216562 0.185413220581135 0.0928482531909826 0.0928482531909826 0.135855607562913 -0.648672331937308 -0.244788918721702 -0.019437785818096 -0.0651036287452935 -0.20126304016171 -0.0473751914692593 -0.0757382305262891 -0.0117683023963692 0.0473751914692597 0.0432736940872317 0.151789074181123 0.210682757815712 -0.425502390621962 -0.446458848717216 -0.128500803588183 0.0904881110798453 0.182754290296081 0.116074155811646 0.202583092956846 0.231916676476196 -0.194421054521996 -0.068614321876208 -0.630301555681647 -0.575187158675611 -0.227015663058362 0.350725994598733 0.403098381905382 -0.370650184284677 -0.231916676476196 -0.208527067570756 -0.333054891382271 -0.419302430287333 0.487498958693626 0.487498958693626 0.0909792665806529 -0.274865722251567 0.400881700317848 -0.00637659435054108 0.076746851475391 0.00443569151888933 0.00443569151888969 0.100408163857713 0.219022723527007 0.432510195632969 0.388220215060386 0.297795178429384 0.50674008484913 0.619464622608541 0.394492925572623 -0.451360335201449 0.560051963876108 -0.0434933801467123 0.242613242426358 0.281066332212391 0.234344044024752 0.219022734861957 0.316703071384422 0.262676997446251 -0.0877426130386267 0.171766568817914
colless_quad 0.109105031158698 0.853830742650428 0.763827281982199 0.370527669919623 1 0.110963124524224 -0.140748073120592 0.024552054487527 0.024552054487527 0.107276215963155 0.806001602322105 -0.162160025576553 -0.314922198121418 -0.163517674807141 -0.293135735626044 0.205942244569051 0.0729127990616099 0.200657905333838 -0.20594224456905 0.13867240296877 -0.11400383234519 0.118933534269863 -0.39988563610794 -0.363602450527313 -0.199428297498944 0.126865481219717 0.0807995202442704 0.144256875096717 0.08899990682789 0.30062163142265 0.0190964086641966 0.281196884751275 -0.487382365954938 -0.55583482187344 -0.161156802255649 -0.118334732619634 -0.0282297143196561 -0.342765648940351 -0.30062163142265 -0.151680147039494 -0.314941824072308 -0.19286351475398 0.853830742650428 0.853830742650428 -0.161329530966173 0.143787294642325 0.996020407522344 -0.107505554294343 -0.161276251148463 -0.0793046768850114 -0.0793046768850106 -0.0134771991810741 0.0850804011236629 0.299401538742044 0.656977063267407 -0.0223629205357649 0.717392218112513 0.326110042233867 0.186047486171773 -0.540362525834952 0.336896325455096 -0.00543373892272524 0.134646673479538 0.089271304282416 0.201674337018222 0.0850804178506303 0.109176429103644 0.0873766976925732 0.113766709074599 0.0622068899946962
beta 0.0017468631025779 0.0850619027575715 0.0257430985318288 -0.306384283216562 0.110963124524224 1 -0.216035501883855 0.0245222857860954 0.0245222857860954 -0.032618237616861 -0.190294284792639 -0.222861804560647 -0.0302896962225655 -0.413469132682037 -0.344714379541651 0.160521415006958 0.0493343355516703 0.0316044813402474 -0.160521415006958 0.0917699846302191 -0.509444224400511 -0.169632084880218 0.0617514384464397 -0.24014265538543 -0.0019848281056663 0.404385198235217 -0.00880083194433993 0.0264545731245712 -0.0193030464448803 0.382694978845348 0.583796321295034 0.19775390544591 0.125527598592529 -0.312429108365759 -0.381482454492892 -0.73763016257847 -0.516259366711799 0.0755335827647308 -0.382694978845348 -0.382315163446744 0.114731487920737 0.375461003446962 0.0850619027575715 0.0850619027575716 -0.170868311354461 0.671548220321785 0.125352806365639 -0.290194433753026 -0.16773708293143 0.116882363328899 0.116882363328899 -0.00198584508771227 0.0975537815821064 0.396886397860773 0.13796541850417 0.108951212963401 0.191984926598453 0.378204425901771 0.10974274604439 -0.312058828335706 0.309148847910951 -0.176341642131724 0.197665944877618 -0.00304003431933907 0.363057639427615 0.0975537855297156 0.00469178480775139 0.00272419797056216 0.272129705065026 -0.481259005550124
blum 0.119223270327411 0.22694174651857 0.343500947128016 0.185413220581135 -0.140748073120592 -0.216035501883855 1 0.187146476538495 0.187146476538495 0.0381626025280329 0.998229018936209 0.0938297120112564 0.30195768189318 0.185572042702178 0.248060938353416 -0.664486011895563 -0.286993686548468 0.120123970224117 0.664486011895564 -0.165869603562436 0.36824389418081 0.173717265410226 -0.206580438036053 0.245590223387913 -0.0922556658281719 -0.0618367242060896 0.19487819175002 -0.0109613217041791 0.215825069789059 -0.614217800764232 -0.603299999193858 -0.82543141157065 -0.301610374720562 0.422225112078856 0.550317088698731 0.44836834704028 0.448451758665418 -0.304597762643587 0.614217800764232 0.558688073400341 -0.537616757792846 -0.662947882917215 0.22694174651857 0.226941746518569 0.631897432512316 -0.542169783485313 -0.162124297269357 0.671653644577311 0.643680394202167 0.126245031369209 0.12624503136921 0.145769111928213 0.119038280718458 -0.0637151441849717 -0.236518060780081 -0.00330423134454568 -0.256650768122033 -0.0741761508614221 -0.0405358867437575 0.532032697318013 -0.132528380421946 0.0142864419416326 0.0634927155341778 0.169137219706315 -0.0483265538355971 0.119038282323663 0.120467604549958 0.168035730708245 -0.285397162273544 0.156917969011921
crown_age 0.193163235829481 0.0980908925956813 0.0874860789302169 0.0928482531909826 0.024552054487527 0.0245222857860954 0.187146476538495 1 1 0.213987955453506 0.0992803907037823 0.16495698344557 0.570013427122191 -0.018143832591635 -0.00609792618956076 -0.103288202321696 0.112678664977247 -0.0271468692853731 0.103288202321696 -0.13974213427169 -0.0301042556808331 0.178574860057849 0.0472342376942746 0.602089355533116 -0.106455487007188 0.1555577497869 0.95839281893253 0.246431460828105 0.948401913877331 -0.028367792134504 -0.0732425651626513 -0.144096866520662 -0.0498602300506048 -0.0238910163006647 0.00819685058230829 0.0680127109866835 0.0144843537539658 -0.172548263373606 0.0283677921345038 0.0104516150259462 -0.139672950431977 -0.161247322271376 0.0980908925956814 0.0980908925956815 0.0455197644288693 -0.0531509022088043 0.0360362465712707 0.0827581141051819 0.0572777802709323 0.888750580692954 0.888750580692954 0.762686274680458 0.674821786072343 0.491448703780078 0.107681812034075 0.321013262947233 0.104274577186249 0.00204073414940643 -0.336545943680199 0.0203192908178527 0.0771730059735131 0.0271085986080145 0.729206443080492 0.684902261195364 0.739902307319458 0.674821781084327 0.685742847317082 0.654343258949881 0.0883331106344813 -0.0980264984298235
tree_height 0.193163235829481 0.0980908925956813 0.0874860789302169 0.0928482531909826 0.024552054487527 0.0245222857860954 0.187146476538495 1 1 0.213987955453506 0.0992803907037823 0.16495698344557 0.570013427122191 -0.018143832591635 -0.00609792618956076 -0.103288202321696 0.112678664977247 -0.0271468692853731 0.103288202321696 -0.13974213427169 -0.0301042556808331 0.178574860057849 0.0472342376942746 0.602089355533116 -0.106455487007188 0.1555577497869 0.95839281893253 0.246431460828105 0.948401913877331 -0.028367792134504 -0.0732425651626513 -0.144096866520662 -0.0498602300506048 -0.0238910163006647 0.00819685058230829 0.0680127109866835 0.0144843537539658 -0.172548263373606 0.0283677921345038 0.0104516150259462 -0.139672950431977 -0.161247322271376 0.0980908925956814 0.0980908925956815 0.0455197644288693 -0.0531509022088043 0.0360362465712707 0.0827581141051819 0.0572777802709323 0.888750580692954 0.888750580692954 0.762686274680458 0.674821786072343 0.491448703780078 0.107681812034075 0.321013262947233 0.104274577186249 0.00204073414940643 -0.336545943680199 0.0203192908178527 0.0771730059735131 0.0271085986080145 0.729206443080492 0.684902261195364 0.739902307319458 0.674821781084327 0.685742847317082 0.654343258949881 0.0883331106344813 -0.0980264984298235
pigot_rho 0.6043501221097 0.128342781173661 0.099593085070263 0.135855607562913 0.107276215963155 -0.032618237616861 0.0381626025280329 0.213987955453506 0.213987955453506 1 0.0193502885099673 0.731019959043336 -0.285442210998484 0.056574834697129 -0.0925478014154056 0.073868036014278 0.16945684167444 0.00293762024193339 -0.0738680360142779 -0.182790868829949 -0.0447088861692512 0.744530671123486 0.175181431772614 0.0907977872843271 -0.12584042632489 -0.00133984201073405 0.208878385650616 -0.166417820413111 0.200579085896281 0.0667193904244842 -0.0270832431835501 0.0399157886840055 -0.158876103168003 -0.10028495878138 -0.0193759573872231 0.0315918680766236 0.0107347620201349 -0.102505895219138 -0.0667193904244843 -0.0157206829743576 -0.0223298023865403 -0.0115540130955651 0.128342781173661 0.12834278117366 -0.0980753076324691 -0.00704875749475189 0.112732545604659 -0.00360852068977256 -0.0976961055501449 -0.132063120407895 -0.132063120407895 0.348314951993632 -0.364807023436221 -0.0120560881822747 0.111078195974608 0.0778047044342628 0.118299037916914 0.105589285739803 0.118581936696904 -0.0797877404819313 0.0529577879042978 -0.23427720232151 -0.265081472344593 -0.142124810001893 -0.0255684563582823 -0.364807021706421 0.147332073013927 -0.136026820852366 0.516401629772345 -0.0386890656106922
