gamma sackin colless colless_corr colless_quad beta blum crown_age tree_height pigot_rho number_of_lineages nltt_base phylogenetic_div avg_ladder max_ladder cherries double_cherries four_prong il_number pitchforks stairs laplace_spectrum_a laplace_spectrum_p laplace_spectrum_e laplace_spectrum_g min_laplace max_laplace min_adj max_adj imbalance_steps j_one b1 b2 area_per_pair average_leaf_depth i_stat ew_colless max_del_width max_depth avg_vert_depth max_width mw_over_md tot_path tot_internal_path rogers stairs2 tot_coph var_depth symmetry_nodes mpd psv vpd mntd j_stat rquartet wiener max_betweenness max_closeness max_closenessW diameter eigen_centrality eigen_centralityW mean_branch_length var_branch_length mean_branch_length_int mean_branch_length_ext var_branch_length_int var_branch_length_ext treeness root_imbalance
gamma 1 -0.205687131014494 -0.0501840426836177 0.926521341274781 -0.525803227008015 -0.659572819133632 0.951698855920532 0.631158541178022 0.631158541178022 0.47125460075966 -0.906953651851931 0.883674478384417 0.746725756118619 -0.447473083295976 -0.872288276244871 0.941146948097084 -0.872288276244871 -0.759686805757753 -0.941146948097085 -0.506814019661567 0.670000175436611 0.847927046163263 0.190522905676201 0.975036345900478 0.839889444211724 0.227911411086062 0.55783344808457 -0.103014302039164 0.45397518075274 -0.916735017925306 -0.927393853927782 -0.759160549595734 -0.219538539013977 0.442512450102028 0.817610465388181 0.739065614281263 0.273870174418855 -0.070778729347748 0.916735017925306 0.840464903671251 -0.395965970700495 -0.985426701750928 -0.205687131014494 -0.205687131014494 0.77156630884477 -0.962301830003117 -0.534036338529691 0.972695846270129 0.369630790590416 0.520186508650317 0.52018650865032 0.343326489040428 0.322765078272254 0.112242092441606 -0.640106546308414 -0.266968499327618 -0.48870162117637 -0.126781413082319 -0.95223756454287 0.292334364911572 0.407723469592214 0.512779953688427 0.31857543465701 0.278321171922321 0.301568704694116 0.322765055250335 0.228200431498718 0.631122187491386 0.433020481425412 0.955297993546344
sackin -0.205687131014494 1 0.986958620433022 0.15033940273468 0.93537239130084 0.476043578562836 -0.249656316087723 0.627965272948472 0.627965272948472 0.764254694679541 0.996717872000556 -0.0263893563587717 0.494293791600771 -0.675363486987897 0.0783119138889416 -0.503604662872847 0.078311913888941 0.765042908620118 0.503604662872846 0.945831671195664 0.578423235821198 0.341503075008301 0.540978935543381 -0.0678634191396769 -0.649432627456318 0.834911292658545 0.696689439156018 0.881990831286665 0.778293554860008 0.572605030663406 0.556066108582978 0.647622087864126 -0.90793260755656 -0.96455792310463 -0.731107136857194 -0.810949431655687 0.832148628965693 -0.704763852131645 -0.572605030663406 -0.702316411057411 -0.631807172625422 0.350692423428965 1 1 0.460397739495201 0.439742268973852 0.932410955648772 -0.385598864305666 0.368923033581533 0.726950413793312 0.726950413793309 0.848404302732911 0.743330065582781 0.93891115593193 0.875151617928178 0.9949331605575 0.953848264865847 0.985853326372225 -0.0259146352497017 -0.959321950073476 0.361154410724548 0.264606723141507 0.851090461037187 0.87012985852163 0.87102339146221 0.743330105071317 0.894587482626544 0.597868815458759 0.585760309774138 -0.468574664186499
colless -0.0501840426836177 0.986958620433022 1 0.306713635863281 0.873679402666302 0.35417434010824 -0.114533047946969 0.742862636419302 0.742862636419302 0.856887676816582 0.992362479600951 0.131304836825729 0.620724937163324 -0.743326881650054 -0.0406556527318551 -0.358781890317151 -0.0406556527318558 0.666353281710819 0.358781890317151 0.886006459923891 0.691921295931337 0.485738089166318 0.551507530806495 0.0932533253975109 -0.537611731697026 0.873376222420571 0.798065490572046 0.864852257506873 0.865229066351269 0.434724684400331 0.418129244790005 0.555471768677828 -0.963167302701062 -0.91638692779017 -0.61607256800187 -0.709845863382818 0.879909572029846 -0.756347587899366 -0.434724684400331 -0.583282688472828 -0.685663303849041 0.19734085176318 0.986958620433022 0.986958620433022 0.590012325901931 0.299326014854472 0.869197100297488 -0.243242485598611 0.403539413957683 0.822120629407335 0.822120629407332 0.919399755593234 0.791579640102974 0.969720754263404 0.794786273768222 0.975052637865116 0.895860804865823 0.979319262349251 -0.186374395131053 -0.921291011552611 0.464299318608778 0.321549256771894 0.913070849422034 0.925635367726831 0.936502588397283 0.791579678565449 0.942862882804521 0.701774861197783 0.689127744227826 -0.321476513848125
colless_corr 0.926521341274781 0.15033940273468 0.306713635863281 1 -0.1792105990245 -0.584650935410451 0.819648754373017 0.860938776124 0.860938776124 0.751613776455819 -0.275244410470246 0.936641113575342 0.913384391640005 -0.62665925414361 -0.776251075838483 0.778379722823656 -0.776251075838483 -0.460230110279082 -0.778379722823656 -0.161483772829104 0.858063925967811 0.977183703498797 0.271832999880157 0.97561883300579 0.574459743569575 0.472611795668749 0.800529008459139 0.14496895729245 0.727631281600808 -0.723293131746 -0.732665328996537 -0.469572641080088 -0.550840994679747 0.0868113336461641 0.553610739126183 0.447326045621396 0.524911859455423 -0.417481921114952 0.723293131745999 0.585917679771422 -0.541376208951899 -0.871400034513476 0.15033940273468 0.15033940273468 0.925752546654921 -0.789359381806838 -0.189035997232034 0.816152670239377 0.385684349442526 0.770764737753354 0.770764737753356 0.643167471729057 0.521964323416433 0.425803921231903 -0.312162494519304 0.0983277925071466 -0.144927584530079 0.203076753073848 -0.990304579782653 -0.0115552115819545 0.648723628689699 0.497289884172864 0.600759939688486 0.565736611366154 0.612017439550977 0.521964321246711 0.525368041072646 0.81239439856987 0.723932887279929 0.802539190741262
colless_quad -0.525803227008015 0.93537239130084 0.873679402666302 -0.1792105990245 1 0.577577435479845 -0.57563170018887 0.326960831956197 0.326960831956197 0.501701562142979 0.96558099880057 -0.288644796074136 0.160912303306165 -0.386771762661194 0.416677713825346 -0.751463468016701 0.416677713825345 0.943270101719341 0.751463468016701 0.9990980027388 0.254574361642308 0.00506472214400536 0.326694809398518 -0.381377755712008 -0.876076334122204 0.606805062174536 0.404126109193554 0.753623384015477 0.512028260772111 0.806650188035514 0.800863310064332 0.862981912130482 -0.713258775002621 -0.995372048261246 -0.918504787686209 -0.959683661758757 0.593317320986389 -0.648102946854948 -0.806650188035514 -0.902120526014897 -0.35487279460318 0.638591520855257 0.93537239130084 0.93537239130084 0.122719163113721 0.725634859506849 0.999947572192368 -0.684403564136584 0.113078860398673 0.441435069651594 0.44143506965159 0.61190876001955 0.486081176490882 0.758144420255639 0.989618675862876 0.959713070505794 0.996775581340232 0.881586841813022 0.289703534884871 -0.90524371589178 0.245152285414858 -0.0231043033344437 0.610414161067901 0.63983416347829 0.647683129775713 0.486081223147614 0.679098378308162 0.275742618959962 0.410298480108119 -0.727773217193026
beta -0.659572819133632 0.476043578562836 0.35417434010824 -0.584650935410451 0.577577435479845 1 -0.445608482761278 -0.176994492752808 -0.176994492752808 -0.0442559701734815 -0.677927504637887 -0.8210460891634 -0.219578116209144 -0.264081942639432 0.220931095437938 -0.809450047723438 0.220931095437938 0.591217304202961 0.809450047723439 0.593507493404722 -0.104538828596197 -0.412993159072589 0.60190589786434 -0.713114880585344 -0.563849743539853 0.408944097518814 -0.055337200504123 0.683332981209849 0.0257402452108947 0.79097258010868 0.757726718545536 0.399488701683337 -0.155687015560658 -0.545005863456874 -0.722786399987051 -0.70820043281975 0.346614778432855 0.240342552761331 -0.79097258010868 -0.722252310243491 -0.364525521074856 0.754441026330236 0.476043578562836 0.476043578562836 -0.244318912055045 0.644910704643509 0.583885951579529 -0.618301012251272 0.45429089635455 -0.00891191301193239 -0.00891191301193437 0.10993152497538 0.381128681677409 0.364618048815594 0.610276552611409 0.458345078965037 0.606385801165266 0.523712565560403 0.685616613540379 -0.689040617033736 -0.638363696237416 0.306882105751511 0.212687724372509 0.250361766225709 0.130528838885838 0.381128677385512 0.283606384094072 -0.0104904170546515 -0.432568916183272 -0.793777665017487
blum 0.951698855920532 -0.249656316087723 -0.114533047946969 0.819648754373017 -0.57563170018887 -0.445608482761278 1 0.544408650826385 0.544408650826385 0.382111295386356 0.999271577484812 0.699236759783228 0.693536077171421 -0.51252895965912 -0.968831473011765 0.877549529757729 -0.968831473011765 -0.814476741635726 -0.877549529757729 -0.547783783413197 0.634865907976195 0.76112163236679 0.385007806670856 0.867359512766188 0.898471533937992 0.278725365581188 0.496188473983502 -0.00621413522740911 0.389950742635146 -0.871485976914682 -0.895815409984969 -0.875227532271197 -0.137949142390498 0.496295112122094 0.817311958077514 0.746558474762981 0.306496514008888 0.176807011181273 0.871485976914682 0.83885686420672 -0.505413905817607 -0.922643029989019 -0.249656316087723 -0.249656316087723 0.719646828173528 -0.963765555654539 -0.58205709137357 0.976592223353284 0.57149653491406 0.465253617536932 0.465253617536935 0.279434109763835 0.400417017812342 0.0965283210272518 -0.685563775147474 -0.330481437370955 -0.521845628788092 -0.129813770897649 -0.831942820714248 0.248753530377446 0.123812645168628 0.699986977826447 0.295581457832325 0.259974761301915 0.233494929817133 0.400416979518201 0.20928353245734 0.626385740631461 0.198780097359568 0.894104306559811
crown_age 0.631158541178022 0.627965272948472 0.742862636419302 0.860938776124 0.326960831956197 -0.176994492752808 0.544408650826385 1 1 0.98153231659898 -0.462699891992257 0.700522570264737 0.981063895352046 -0.870268693668325 -0.60901516893501 0.354013141880551 -0.609015168935011 0.010762723047776 -0.354013141880551 0.348733455500676 0.984004252783166 0.945905442546829 0.544053375461128 0.728318594238402 0.142136015061235 0.824946955466059 0.992497654669354 0.595173703434418 0.975211267545663 -0.278094853252705 -0.297369949348176 -0.0716065619723402 -0.895294279182211 -0.415780496206579 0.0694921312157078 -0.0558319867593338 0.861574270270012 -0.644233400235046 0.278094853252705 0.110166979470689 -0.789114952184716 -0.508359988396326 0.627965272948472 0.627965272948472 0.973837628034929 -0.410908041857537 0.317909916370279 0.461091147483488 0.548851293640476 0.985634500018688 0.985634500018689 0.943222086152006 0.823705097362411 0.82549264918059 0.189438392183075 0.578809970634045 0.368059622369491 0.672721951450079 -0.785720160950973 -0.515041639432151 0.645147164139916 0.581741589439956 0.919794100848593 0.902407292773577 0.928774705384426 0.823705112483467 0.88229577315592 0.964173948888494 0.833430237628514 0.392186528468439
tree_height 0.631158541178022 0.627965272948472 0.742862636419302 0.860938776124 0.326960831956197 -0.176994492752808 0.544408650826385 1 1 0.98153231659898 -0.462699891992257 0.700522570264737 0.981063895352046 -0.870268693668325 -0.60901516893501 0.354013141880551 -0.609015168935011 0.010762723047776 -0.354013141880551 0.348733455500676 0.984004252783166 0.945905442546829 0.544053375461128 0.728318594238402 0.142136015061235 0.824946955466059 0.992497654669354 0.595173703434418 0.975211267545663 -0.278094853252705 -0.297369949348176 -0.0716065619723402 -0.895294279182211 -0.415780496206579 0.0694921312157078 -0.0558319867593338 0.861574270270012 -0.644233400235046 0.278094853252705 0.110166979470689 -0.789114952184716 -0.508359988396326 0.627965272948472 0.627965272948472 0.973837628034929 -0.410908041857537 0.317909916370279 0.461091147483488 0.548851293640476 0.985634500018688 0.985634500018689 0.943222086152006 0.823705097362411 0.82549264918059 0.189438392183075 0.578809970634045 0.368059622369491 0.672721951450079 -0.785720160950973 -0.515041639432151 0.645147164139916 0.581741589439956 0.919794100848593 0.902407292773577 0.928774705384426 0.823705112483467 0.88229577315592 0.964173948888494 0.833430237628514 0.392186528468439
pigot_rho 0.47125460075966 0.764254694679541 0.856887676816582 0.751613776455819 0.501701562142979 -0.0442559701734815 0.382111295386356 0.98153231659898 0.98153231659898 1 -0.655158222298918 0.582259141265298 0.930698682022789 -0.875453777769045 -0.473649487409129 0.171723986107493 -0.47364948740913 0.200663261972388 -0.171723986107493 0.521490177799723 0.952430053903579 0.866811711377958 0.5650954282085 0.589234048400639 -0.0470373262999702 0.878457849263296 0.990388712770171 0.697977519027826 0.996402441422357 -0.0911049462017683 -0.109980239501378 0.108739822998835 -0.963908085271612 -0.582077422165507 -0.12237905787615 -0.245441950333964 0.909192855299783 -0.720171785431633 0.0911049462017682 -0.0818218376728771 -0.794859646142195 -0.335914570668206 0.764254694679541 0.764254694679541 0.916352278728774 -0.229307689144526 0.493410507898135 0.283617854808233 0.52625781735883 0.99168641601569 0.99168641601569 0.987338817802257 0.852978450059272 0.909343260752578 0.373692555993031 0.7240973217212 0.538746940154055 0.794505844059698 -0.660309849232888 -0.655098875370954 0.639262470468171 0.528737492965599 0.965745390335775 0.9558012374052 0.981338196468661 0.852978473293375 0.945335169469285 0.938678981206102 0.845306064078933 0.211484921288615
