gamma sackin colless colless_corr colless_quad beta blum crown_age tree_height pigot_rho number_of_lineages nltt_base phylogenetic_div avg_ladder max_ladder cherries double_cherries four_prong il_number pitchforks stairs laplace_spectrum_a laplace_spectrum_p laplace_spectrum_e laplace_spectrum_g min_laplace max_laplace min_adj max_adj imbalance_steps j_one b1 b2 area_per_pair average_leaf_depth i_stat ew_colless max_del_width max_depth avg_vert_depth max_width mw_over_md tot_path tot_internal_path rogers stairs2 tot_coph var_depth symmetry_nodes mpd psv vpd mntd j_stat rquartet wiener max_betweenness max_closeness max_closenessW diameter eigen_centrality eigen_centralityW mean_branch_length var_branch_length mean_branch_length_int mean_branch_length_ext var_branch_length_int var_branch_length_ext treeness root_imbalance
gamma 1 -0.523270166404796 -0.520562872195694 -0.536855902111038 -0.504253661670331 -0.151630090744149 -0.484758335021724 0.543026394176007 0.543026394176007 0.759207776665782 0.849403446587295 0.934396336430278 0.151924969431133 -0.501592920622075 -0.385945352742756 -0.448373480504012 0.144322063507106 -0.114424864630253 0.448373480504012 0.552657458841889 0.386212128762666 -0.00383192439106642 0.762166757224178 0.83110308835398 0.352763263837743 0.255734050473682 0.534402182796634 0.288007453925802 0.523405763912094 0.410301532603083 0.411298254148012 0.0546548807273708 0.486009356582186 0.548546658098922 -0.425190480775643 -0.17166964975438 0.180850055366414 0.394885596094397 -0.410301532603083 -0.43243978477771 0.388712284737455 0.343287155420818 -0.523270166404796 -0.523270166404796 0.205355141803497 -0.142342033236151 -0.50732801917268 -0.493797185962636 0.205355141803497 0.615620401563306 0.615620401563305 0.654056363664202 -0.463760272491801 0.206006669136862 -0.559276126001016 -0.215372759028193 -0.558651143519271 -0.570464882467965 -0.96782300056922 0.466351141527772 -0.442739386795843 0.195712132489224 -0.00597196678892869 0.375152342727194 0.452719372451301 -0.463760272894431 0.628970704497739 0.299512216407978 0.934559722114254 -0.279089062987757
sackin -0.523270166404796 1 0.999718515969528 0.848792128343539 0.998364625080288 -0.290027271168159 0.958386633012676 -0.106666885330082 -0.106666885330082 0.00383209795601412 0.972551788791142 -0.507050468542508 -0.277508200020712 -0.186013501829485 0.19949845029683 0.0165903243996503 0.439541880094446 0.451514028558573 -0.0165903243996499 -0.951085848120349 0.173365122350251 0.695869567156597 -0.611936586913158 -0.647636500042076 -0.126115685934231 0.382085785675452 0.0224575958790517 0.352375516528696 0.0433116443786516 -0.853171582163718 -0.781638081696533 -0.550655905187444 -0.959266346210105 -0.88198788668604 0.907583816723696 0.314961511168429 0.269976397967353 -0.943199274276371 0.853171582163719 0.913865881348952 -0.924011599505424 -0.820383024409554 1 1 0.37979751603486 -0.218040030139498 0.998676625358159 0.901869910315723 0.37979751603486 -0.762439712380275 -0.762439712380276 -0.472990569894822 0.458500541266542 0.270960790249013 0.994815157030655 -0.219166697504462 0.99008156147645 0.751051139845648 0.684309278320471 -0.506828027512077 0.664976741108269 -0.217066589375144 0.282968912189101 0.206847798485163 0.0494330106234406 0.458500543022636 -0.0830415564489126 0.2855533027872 -0.563849295180122 0.881567830087003
colless -0.520562872195694 0.999718515969528 1 0.849822521212653 0.998262272631946 -0.293759987958598 0.959177488923989 -0.122399656087168 -0.122399656087168 0.00555107522487015 0.954653728118032 -0.501516968471234 -0.299438105966709 -0.199662370818958 0.179076049460954 0.0151972996308478 0.443327269712299 0.442525451468866 -0.0151972996308473 -0.946196808397768 0.176337306503627 0.684993573801302 -0.612654079746172 -0.6551945246505 -0.119416535958038 0.368948463348505 0.00750852772520506 0.338648046081755 0.0283197889989841 -0.863820930649101 -0.791247809500167 -0.551112849367768 -0.953258058903763 -0.872661542764748 0.916627060815445 0.317610644496615 0.272305352876574 -0.943812583876709 0.863820930649101 0.922497399980263 -0.929489384719713 -0.828390260804623 0.999718515969528 0.999718515969528 0.383730080859358 -0.22482619429041 0.998422914714822 0.909663355333655 0.383730080859358 -0.774634461903375 -0.774634461903375 -0.486390126402789 0.437861202588245 0.253005959118838 0.992510435931486 -0.235867763237176 0.986692194279724 0.735749132744878 0.682584839940024 -0.49114707784698 0.660333482511442 -0.233238320382327 0.261935793635776 0.191492946258146 0.0330339136605266 0.437861204362934 -0.096463823402299 0.270098426732573 -0.554903551964936 0.876590028343255
colless_corr -0.536855902111038 0.848792128343539 0.849822521212653 1 0.8223965175258 -0.664811917556009 0.957619004586144 -0.228399343086225 -0.228399343086225 -0.100243330756597 -0.61053257258653 -0.566854664520358 -0.247435774722684 -0.0353058193254286 0.347635147136415 -0.352097121144981 0.0589429707942175 0.729279952457857 0.352097121144981 -0.699757457876021 0.498097105565591 0.392439292470904 -0.77390318003786 -0.739155805529755 -0.128108181781337 0.410694403074337 -0.175875232750354 0.261199291730256 -0.132605479444332 -0.865819282139614 -0.927658541440874 -0.838766528577888 -0.865813058123463 -0.607008841482402 0.867244393747107 0.754804896737743 0.639134654341492 -0.708058885387456 0.865819282139614 0.875099020697631 -0.931665835043311 -0.937767094827758 0.848792128343539 0.848792128343539 0.674164789222169 -0.620807901309568 0.824631234180341 0.910854121344664 0.674164789222169 -0.667002788861893 -0.667002788861893 -0.446544152819953 0.352557038524444 0.172421791146921 0.861029156180422 0.0716562530831146 0.854988898050224 0.606886754666008 0.666153782245245 -0.217346199966311 0.196672316692865 -0.230544630008023 0.152715977038044 0.0958097904166267 -0.0728452758711271 0.352557039643977 -0.19639121733378 0.182221886717707 -0.614619952002845 0.579195499327061
colless_quad -0.504253661670331 0.998364625080288 0.998262272631946 0.8223965175258 1 -0.255933732655328 0.943956399581419 -0.104854463640041 -0.104854463640041 0.0105023454438323 0.922531700029117 -0.492274226055553 -0.291329403333679 -0.19743261283118 0.175104861860663 0.0361062796448501 0.488357326308181 0.411907860698474 -0.0361062796448497 -0.959723272430574 0.153621652591575 0.707040908775622 -0.5709999635252 -0.633604753234406 -0.0923787017102652 0.367335282071265 0.0328920974785435 0.344606722207869 0.050934688012745 -0.84194293536654 -0.760107172865738 -0.522902618241005 -0.95091505007949 -0.8906293372913 0.902776052762283 0.276527656893755 0.242687638769351 -0.958797121088074 0.84194293536654 0.90852005362726 -0.91476681448931 -0.801264444994219 0.998364625080288 0.998364625080287 0.35941807051562 -0.190145916283401 0.999965497264572 0.887948238235579 0.35941807051562 -0.76754967666554 -0.767549676665541 -0.479747558544966 0.445031529333018 0.263037381325899 0.989579612389733 -0.262097311110421 0.984745138313442 0.740074455451455 0.671405130355817 -0.52562612070438 0.69253389672663 -0.20041626794015 0.275401519683636 0.203132515959061 0.0492505908228071 0.44503153114251 -0.0791041064847987 0.279381169566259 -0.543258999485886 0.901823842028568
beta -0.151630090744149 -0.290027271168159 -0.293759987958598 -0.664811917556009 -0.255933732655328 1 -0.537850351500463 -0.0716677819620355 -0.0716677819620355 -0.347714026797078 -0.204698439833699 -0.0726645548708339 0.0805299681587506 0.265616564328436 -0.169111519767954 0.879803659101606 0.220576783546167 -0.818229314808204 -0.879803659101606 0.0457600338327982 -0.940355756327499 -0.106257185593501 0.371322456842831 0.179624035408246 -0.0306028615650046 -0.567082502772931 -0.0404532769184511 -0.369011254490205 -0.0917747987007131 0.52185723730661 0.682020389987651 0.934644542670156 0.375757551284744 -0.0509814869768318 -0.459783929863061 -0.908546970671866 -0.970931130043318 0.154765454384655 -0.52185723730661 -0.463605027310353 0.575870294808331 0.709997056478578 -0.290027271168159 -0.290027271168159 -0.954778304336976 0.957222959116259 -0.25775032200394 -0.506197259650389 -0.954778304336976 0.101769931655639 0.101769931655638 -0.0761626207014803 0.0606397721695093 -0.227806884825524 -0.294632688521496 -0.194711764421945 -0.287847299043241 -0.062750580199414 0.0555993198938927 -0.378464322382286 0.494719034719536 0.1494292181062 -0.0440197048605631 -0.259743491117019 -0.14871190577412 0.0606397719927305 -0.158533234340594 -0.29464877534168 -0.0238593152268321 -0.0609054429954566
blum -0.484758335021724 0.958386633012676 0.959177488923989 0.957619004586144 0.943956399581419 -0.537850351500463 1 -0.125285914261101 -0.125285914261101 0.032698256248908 0.997210374254296 -0.487131156981753 -0.270626517267138 -0.185022115295682 0.252431175346757 -0.216478035729476 0.266278669804928 0.637698809675142 0.216478035729476 -0.842415445377753 0.397015234417458 0.594924010317008 -0.700223380801417 -0.673229783017301 -0.134968881777901 0.459467879678282 -0.0303688536350087 0.369357549317842 0.0041707420553859 -0.904277976922039 -0.897205085547902 -0.748673866294745 -0.947358310107779 -0.754402828689808 0.929062676918311 0.563225470794738 0.507482324682375 -0.853754014061987 0.90427797692204 0.936082515581521 -0.974282838253887 -0.929484886623723 0.958386633012676 0.958386633012677 0.588635939687406 -0.466375881316175 0.945109215690881 0.947300663150969 0.588635939687406 -0.718466749476213 -0.718466749476213 -0.431345922212844 0.398623562334333 0.266380752091498 0.959361429657099 -0.092936242043243 0.953007947765998 0.687287282619697 0.64134172469943 -0.334701422526373 0.427515168176383 -0.252305336192792 0.239935417758526 0.206727728837913 0.0351321655452102 0.398623563856455 -0.0877013945952877 0.289852433131186 -0.548772435489364 0.760013453934541
crown_age 0.543026394176007 -0.106666885330082 -0.122399656087168 -0.228399343086225 -0.104854463640041 -0.0716677819620355 -0.125285914261101 1 1 0.687882454010923 0.50615710437618 0.51481177427746 0.7867201344084 -0.172336680926186 0.331315855480476 -0.184911306901017 -0.0358098013847857 0.360303316258599 0.184911306901016 0.0309766876504552 0.172568111669541 0.609331178239655 0.308120936774919 0.779303837664026 -0.268309298413237 0.78140694720527 0.979082581180042 0.87366409406719 0.981642241914087 0.383564900937907 0.398933641914146 -0.0364852297455414 -0.0824806349639741 -0.102158613870213 -0.362045213345494 -0.213231587374163 0.0573872366625255 0.1309087103258 -0.383564900937907 -0.352349580142496 0.235428223744984 0.284788029102171 -0.106666885330082 -0.106666885330082 0.0602615713526836 0.132875712081703 -0.101775157631731 -0.341561247287056 0.0602615713526836 0.697430026992579 0.697430026992578 0.911193983489861 0.46852642416981 0.904140551674758 -0.0653106168539918 0.375376911720244 -0.0348368845765159 0.297653229263471 -0.54726627173416 -0.173039534379495 0.0347671327448192 0.378463142207259 0.823917002832608 0.944621744558642 0.986096662268518 0.468526423715109 0.98831329874538 0.912119650843093 0.338135667496579 0.129616435494932
tree_height 0.543026394176007 -0.106666885330082 -0.122399656087168 -0.228399343086225 -0.104854463640041 -0.0716677819620355 -0.125285914261101 1 1 0.687882454010923 0.50615710437618 0.51481177427746 0.7867201344084 -0.172336680926186 0.331315855480476 -0.184911306901017 -0.0358098013847857 0.360303316258599 0.184911306901016 0.0309766876504552 0.172568111669541 0.609331178239655 0.308120936774919 0.779303837664026 -0.268309298413237 0.78140694720527 0.979082581180042 0.87366409406719 0.981642241914087 0.383564900937907 0.398933641914146 -0.0364852297455414 -0.0824806349639741 -0.102158613870213 -0.362045213345494 -0.213231587374163 0.0573872366625255 0.1309087103258 -0.383564900937907 -0.352349580142496 0.235428223744984 0.284788029102171 -0.106666885330082 -0.106666885330082 0.0602615713526836 0.132875712081703 -0.101775157631731 -0.341561247287056 0.0602615713526836 0.697430026992579 0.697430026992578 0.911193983489861 0.46852642416981 0.904140551674758 -0.0653106168539918 0.375376911720244 -0.0348368845765159 0.297653229263471 -0.54726627173416 -0.173039534379495 0.0347671327448192 0.378463142207259 0.823917002832608 0.944621744558642 0.986096662268518 0.468526423715109 0.98831329874538 0.912119650843093 0.338135667496579 0.129616435494932
pigot_rho 0.759207776665782 0.00383209795601412 0.00555107522487015 -0.100243330756597 0.0105023454438323 -0.347714026797078 0.032698256248908 0.687882454010923 0.687882454010923 1 -0.151758217201177 0.833799278654786 0.128618869315322 -0.812029661788197 -0.332789226856188 -0.351293216307431 0.141311503326323 0.236998164349663 0.351293216307431 0.102432986449899 0.428067293368642 0.475502563648811 0.264086975579106 0.628693283518451 -0.113317189412082 0.600927808072396 0.705722546816454 0.683267315733169 0.713825066479693 -0.0671730618343586 -0.00637949149675443 -0.201601541869164 -0.0267752908345453 0.11787599559098 0.0342478140816703 -0.0743452698771719 0.266521528217678 0.0122608151190545 0.0671730618343586 0.0318970427160983 -0.0696174842501851 -0.100297609910214 0.00383209795601416 0.00383209795601412 0.347265072424504 -0.184048058026163 0.00877277691695532 0.0155145875345564 0.347265072424504 0.327511680948729 0.327511680948728 0.614039354441496 -0.137894619966244 0.535764610942856 -0.021667284079231 -0.178357510779962 -0.0255465859342802 -0.104357303636097 -0.699274180690152 0.350723920804967 -0.0794550698117168 -0.186475072217111 0.297870023557033 0.685082231422967 0.66940642331373 -0.137894619583934 0.772169357407865 0.651491820371605 0.7234018607989 0.0954174245457987
