gamma sackin colless colless_corr colless_quad beta blum crown_age tree_height pigot_rho number_of_lineages nltt_base phylogenetic_div avg_ladder max_ladder cherries double_cherries four_prong il_number pitchforks stairs laplace_spectrum_a laplace_spectrum_p laplace_spectrum_e laplace_spectrum_g min_laplace max_laplace min_adj max_adj imbalance_steps j_one b1 b2 area_per_pair average_leaf_depth i_stat ew_colless max_del_width max_depth avg_vert_depth max_width mw_over_md tot_path tot_internal_path rogers stairs2 tot_coph var_depth symmetry_nodes mpd psv vpd mntd j_stat rquartet wiener max_betweenness max_closeness max_closenessW diameter eigen_centrality eigen_centralityW mean_branch_length var_branch_length mean_branch_length_int mean_branch_length_ext var_branch_length_int var_branch_length_ext treeness root_imbalance
gamma 1 0.208415762332101 0.194135140681274 0.453221590101824 0.0854258944583364 -0.203709470439244 0.314558747132383 0.427054715125719 0.427054715125719 0.153663156453837 -0.373103967247182 0.585662170982026 0.254257798896288 -0.182340474244284 -0.164567754018357 0.255080250391058 0.0142471259826373 -0.279797421531775 -0.255080250391058 0.0116633748536869 -0.17693517422542 0.625620325890473 -0.0968582276999913 0.233552430386392 0.356912329412127 0.100582261494851 0.504192340508886 0.0549478042307132 0.513441042681095 -0.235785528631038 -0.365199779033397 0.100475316600062 -0.321020679428264 -0.120808698150234 0.142277683849268 0.103263664739018 -0.0266012461168959 -0.215319857560883 0.235785528631038 0.155606353023159 -0.333963585666814 -0.38717463191468 0.208415762332101 0.208415762332101 -0.337565463392437 -0.0307848584657991 0.107819816208033 0.33641891566618 -0.327632886195226 0.143984863883061 0.143984863883061 0.533480306134374 -0.0209008636638408 0.208079850697521 0.314617239817099 0.164273804869247 0.336268351205995 0.161490369833303 -0.0282553373769445 -0.0402900585331666 -0.0640952611919105 -0.240059603649967 0.131202934384864 0.48258001660914 0.340445231871123 -0.0208887324427724 0.48001133087404 0.525086929646173 0.604476831813828 0.318517131751093
sackin 0.208415762332101 1 0.98900693889726 0.578418411632264 0.969901337105605 0.0136076203596639 0.439214954205812 0.118807480959676 0.118807480959676 -0.132070460649007 0.979111150811332 -0.302094879559561 0.640410713051933 -0.106496214680804 -0.0339869393276816 0.52508850041052 0.0361752314325223 -0.617590555136559 -0.525088500410521 0.0706312275110549 -0.132994531938854 0.357611970422752 -0.873422384698306 -0.279326432835566 -0.116821335191229 0.0751350554952294 0.223306511788194 0.112859326454784 0.227639394458326 -0.363625163727192 -0.484361778792629 0.292111433845232 -0.829322784702424 -0.54527062136789 0.271419164957113 0.0862363021166444 0.0108524902588015 -0.687360049665895 0.363625163727191 0.298589936071499 -0.838229662014482 -0.758073810322824 1 1 -0.243331940763456 -0.0076539410925511 0.97667241553289 0.705234648975599 -0.198048799143078 0.051647868490782 0.0516478684907828 0.0615118297756689 0.269865288480629 0.307294490346033 0.805730745993111 0.934753466518151 0.655223818945527 0.471591350372698 0.46828381947612 -0.18812377508078 0.424732953531585 0.0681058973414718 0.265590618581738 0.216467675253634 0.218960620824153 0.269868251261123 0.187063804949308 0.202734440306956 -0.046852346646682 0.400732604041424
colless 0.194135140681274 0.98900693889726 1 0.548990308123567 0.968372593629244 -0.0313733891736861 0.468614942080078 0.143835303531632 0.143835303531632 -0.0889088946462189 0.924460784375243 -0.239172521734376 0.627334593731178 -0.0716589554427855 0.0491671634690284 0.493009626062539 -0.0176488460778449 -0.619229950246221 -0.493009626062541 0.0983126404815524 -0.0766401790993669 0.372755444002221 -0.868371398761033 -0.194880702688766 -0.155827567338175 0.0537613409667426 0.243265222167603 0.115933826991625 0.249840039162692 -0.455683154294383 -0.554815533284296 0.24892304936827 -0.835998938204679 -0.435096615542536 0.387260924443382 0.135478759204318 0.0580292397823204 -0.708243701865869 0.455683154294382 0.411725656843292 -0.856569624079233 -0.787784970961117 0.98900693889726 0.98900693889726 -0.188775883383235 -0.0717142498509523 0.965654381334695 0.763769706753882 -0.143538231087731 0.0703244230093256 0.0703244230093263 0.073571706642183 0.256781938524785 0.230550907507602 0.717840175464323 0.900340623569408 0.548166689605141 0.352426309629164 0.384619548099386 -0.0822561030544079 0.357051110530268 0.105749093133745 0.247614588506892 0.220467799611959 0.199938142470941 0.256785200638537 0.177108362948684 0.214494195790098 -0.0627669484424533 0.467231465757228
colless_corr 0.453221590101824 0.578418411632264 0.548990308123567 1 0.443204413633507 -0.425594755950439 0.663188385688222 0.209706280742542 0.209706280742542 -0.0985336440076856 -0.702666176086484 0.0915994549919659 0.220481398809772 0.16853589148073 0.125122519909391 -0.0248911080065688 -0.161950897444401 -0.142035376690527 0.024891108006568 -0.0706647995301237 0.261292748012618 0.592462975071564 -0.54424813802199 -0.166702755009619 0.0301640568427724 0.108541736019699 0.382148407264154 -0.236345810773795 0.401838186361905 -0.515107323261436 -0.674522899605899 -0.226463209679153 -0.753906237956105 -0.341644586830263 0.30172116964055 0.596547377099062 0.513969316271053 -0.439062154240197 0.515107323261436 0.331052515823621 -0.64544790696656 -0.745857429227958 0.578418411632264 0.578418411632264 0.0249970521106272 -0.517909643646821 0.466953725912543 0.698963721005119 0.0652921678028894 -0.147676160030464 -0.147676160030463 0.292756220234961 0.110767048700697 0.246826467706101 0.574340973589913 0.455075328854882 0.554763985552662 0.330676518760462 0.388718376730107 0.00846763988227914 0.232230325893996 0.0300985331231996 0.114455406032124 0.430208133734608 0.0945489880723997 0.110778447622267 0.32484922848531 0.470940486900086 -0.0473654054925407 0.325181577107879
colless_quad 0.0854258944583364 0.969901337105605 0.968372593629244 0.443204413633507 1 0.04208367481139 0.276481102528478 0.163532882974076 0.163532882974076 -0.157274273784956 0.765318438121144 -0.30784742800543 0.703866216770201 -0.0699071810717139 -0.00217704807418615 0.570701106605978 -0.0158001987229907 -0.629151812224234 -0.570701106605979 0.166756995868694 -0.128084559996314 0.292207847643493 -0.82444427270607 -0.194457720568188 -0.254886993420949 0.0854923647837586 0.228582123759884 0.176539699470186 0.227229810074715 -0.28804105103929 -0.377348999390929 0.375065313519146 -0.709496513347257 -0.517147536645904 0.234115748970646 0.0253351676979567 -0.0257629767089165 -0.699501792541026 0.288041051039289 0.256613390629234 -0.735912167106455 -0.641109659747062 0.969901337105605 0.969901337105605 -0.197878629353487 0.0432922281880718 0.997476519534497 0.615099552386082 -0.158296029088173 0.151990063289929 0.151990063289929 0.0752619006563589 0.322089150562584 0.284290624855923 0.731209513705969 0.956245330809039 0.548616426126927 0.403820097318879 0.377380268028232 -0.215099629721994 0.369475450748852 0.144679880975458 0.315421059660795 0.2006202393032 0.263802354728539 0.322090889971398 0.181859729783875 0.177823460639874 -0.0377259684575999 0.347051403307451
beta -0.203709470439244 0.0136076203596639 -0.0313733891736861 -0.425594755950439 0.04208367481139 1 -0.328137204788057 -0.00584934688589801 -0.00584934688589801 0.342456893390259 -0.1857066698514 -0.379833314877591 0.114174265942183 -0.295651369520671 -0.357417822682569 0.272392742438712 0.298569646374303 -0.192706087488623 -0.272392742438711 0.00725973667762428 -0.47715337673836 -0.218019425891398 -0.0512258226307767 -0.111784014190474 0.160844732504159 -0.131062114958571 -0.053718884080978 0.287068698576204 -0.0771719596575863 0.481505600956962 0.480857358051585 0.361719391875181 0.156915478754843 -0.327763871347315 -0.413059273704708 -0.585129332726955 -0.56361806015828 0.052760914352864 -0.481505600956962 -0.41291050683809 0.114329476535927 0.293146671134477 0.0136076203596638 0.0136076203596637 -0.29320891494786 0.62401410834338 0.0553479410313364 -0.345140265954143 -0.303370547960427 0.17303455530188 0.173034555301881 -0.0865093057706153 0.321891254093817 0.318249991770033 0.131293308456614 0.115160669817169 0.167732222824577 0.389651950811377 0.0691469475375802 -0.411890870798308 0.197584471203687 -0.361300738714983 0.263685763454097 -0.0644214022016799 0.124937461816747 0.321886337574245 -0.0847806358977927 -0.133694508033749 -0.129727996714744 -0.26427637431026
blum 0.314558747132383 0.439214954205812 0.468614942080078 0.663188385688222 0.276481102528478 -0.328137204788057 1 -0.125870073837552 -0.125870073837552 0.146121281478531 0.998394493583149 0.0961251228226167 -0.128558261521355 0.108216395226365 0.355977330273811 -0.27070443891368 -0.185311251009873 -0.106075353672928 0.270704438913679 -0.430729185182035 0.28614577648436 0.396960679742937 -0.470678683142346 -0.210388068435954 -0.00268421505679469 -0.0892674930220714 0.0482415881648604 -0.15741858538717 0.0891090241912008 -0.772370021067044 -0.848915262208717 -0.620082957320366 -0.776684712840361 0.187048229420653 0.68083790570781 0.619238952407497 0.456346423110572 -0.424425303217881 0.772370021067044 0.699294225604481 -0.689893745272752 -0.781391762491405 0.439214954205812 0.439214954205812 0.26098306011347 -0.601768505747683 0.272534561890829 0.821476660627024 0.294412337312477 -0.390656461417731 -0.39065646141773 -0.0532996611539498 -0.187513210926605 -0.127503249585399 0.210716198844989 0.133244628270416 0.162950963581428 -0.0478876448681093 0.269888220555793 0.500569669332927 -0.0384256025350504 0.00228918744048786 -0.23320332153889 0.123015794560131 -0.280765169700105 -0.187506566303685 0.00734170046631646 0.182033565038639 -0.291742477624588 0.396312557504892
crown_age 0.427054715125719 0.118807480959676 0.143835303531632 0.209706280742542 0.163532882974076 -0.00584934688589801 -0.125870073837552 1 1 0.198294697550142 0.120439041355446 0.515305018585864 0.532944718528732 0.154744571104812 0.0461728504824024 0.22371788874556 -0.0898317597363304 -0.113486554510086 -0.22371788874556 0.23092463340578 -0.109346314742606 0.560983178293566 -0.0909015121361467 0.814368145231488 -0.114672322759013 0.437104729701503 0.967094567336 0.373117122803067 0.955199150276098 -0.157757815426369 -0.169470257406016 0.22342231489622 -0.0903086051484096 -0.0947379531340554 0.154378031868771 0.104980719772986 0.00732376398745788 -0.177870088455429 0.157757815426369 0.156983211884061 -0.0304379493146664 -0.0781391722412657 0.118807480959676 0.118807480959676 -0.176640182005598 -0.00158034939739765 0.153717507758505 0.197167923412801 -0.181456933759701 0.778017216960726 0.778017216960727 0.956631008750282 0.68427797764985 0.435472476754574 0.0305928008484594 0.210300154953547 -0.0310045685776317 -0.0398777170198069 -0.549549194368356 -0.1194723577738 -0.178307742077726 0.106359222716247 0.759485737746121 0.904276384571446 0.790177444646897 0.684288612059857 0.849643368543996 0.881274120869523 0.344352914368103 0.302784776243426
tree_height 0.427054715125719 0.118807480959676 0.143835303531632 0.209706280742542 0.163532882974076 -0.00584934688589801 -0.125870073837552 1 1 0.198294697550142 0.120439041355446 0.515305018585864 0.532944718528732 0.154744571104812 0.0461728504824024 0.22371788874556 -0.0898317597363304 -0.113486554510086 -0.22371788874556 0.23092463340578 -0.109346314742606 0.560983178293566 -0.0909015121361467 0.814368145231488 -0.114672322759013 0.437104729701503 0.967094567336 0.373117122803067 0.955199150276098 -0.157757815426369 -0.169470257406016 0.22342231489622 -0.0903086051484096 -0.0947379531340554 0.154378031868771 0.104980719772986 0.00732376398745788 -0.177870088455429 0.157757815426369 0.156983211884061 -0.0304379493146664 -0.0781391722412657 0.118807480959676 0.118807480959676 -0.176640182005598 -0.00158034939739765 0.153717507758505 0.197167923412801 -0.181456933759701 0.778017216960726 0.778017216960727 0.956631008750282 0.68427797764985 0.435472476754574 0.0305928008484594 0.210300154953547 -0.0310045685776317 -0.0398777170198069 -0.549549194368356 -0.1194723577738 -0.178307742077726 0.106359222716247 0.759485737746121 0.904276384571446 0.790177444646897 0.684288612059857 0.849643368543996 0.881274120869523 0.344352914368103 0.302784776243426
pigot_rho 0.153663156453837 -0.132070460649007 -0.0889088946462189 -0.0985336440076856 -0.157274273784956 0.342456893390259 0.146121281478531 0.198294697550142 0.198294697550142 1 -0.187432020969737 0.357143964130664 -0.328524535940343 -0.236342978311964 0.0173497488095313 -0.135151173500813 -0.175679659846503 -0.0731749804337763 0.135151173500813 0.0105858396766612 -0.0281820900887491 0.231219570865674 0.103453524751966 0.336111759842754 -0.0714798848228027 -0.175585302712421 0.219189119902244 -0.136727761720721 0.221101401994994 -0.148241811971019 -0.172201782222887 -0.196528762823771 -0.0825674352266324 0.218239130627071 0.267391072401102 -0.118837955250437 -0.0976458406025171 -0.111814630396561 0.148241811971019 0.264571404393693 -0.00910044923844287 0.00877883576086012 -0.132070460649007 -0.132070460649007 0.187937423958902 0.0394282813285245 -0.179123983381243 0.0961158853652957 0.176146756919491 0.0309915040532 0.0309915040532006 0.163006815198529 0.0323294479567536 -0.0480082938570306 -0.353645840478282 -0.242257490219309 -0.330353368351838 -0.0859502608743082 -0.248548150529112 0.119281873206916 -0.256970493581171 -0.132005526172013 0.0186979330139597 0.161417522556217 -0.00399682579317164 0.032334779768969 0.0477127158639546 0.179897851174986 0.0992728767610708 0.168702400302733
