gamma sackin colless colless_corr colless_quad beta blum crown_age tree_height pigot_rho number_of_lineages nltt_base phylogenetic_div avg_ladder max_ladder cherries double_cherries four_prong il_number pitchforks stairs laplace_spectrum_a laplace_spectrum_p laplace_spectrum_e laplace_spectrum_g min_laplace max_laplace min_adj max_adj imbalance_steps j_one b1 b2 area_per_pair average_leaf_depth i_stat ew_colless max_del_width max_depth avg_vert_depth max_width mw_over_md tot_path tot_internal_path rogers stairs2 tot_coph var_depth symmetry_nodes mpd psv vpd mntd j_stat rquartet wiener max_betweenness max_closeness max_closenessW diameter eigen_centrality eigen_centralityW mean_branch_length var_branch_length mean_branch_length_int mean_branch_length_ext var_branch_length_int var_branch_length_ext treeness root_imbalance
gamma 1 0.134678019480439 0.181430012583516 0.128851776021425 0.00407834957582668 -0.215588122027283 0.24267990348693 0.235332859684388 0.235332859684388 0.477088123775786 -0.250225961000007 0.75724073030327 -0.415442788759772 0.139594287182245 0.140312221261909 -0.407008104567014 -0.223710846088543 0.170469627766935 0.407008104567014 -0.0544591653635461 0.274676405371911 0.638139380312725 0.305648840286706 0.182130257522302 -0.198973975041722 0.0444901391083652 0.242025517638057 -0.249728214548097 0.249709448949731 -0.0860539635233958 -0.079185886449163 -0.385629776423262 -0.19330743498983 0.00408186097490958 0.0229613653206164 0.236802965975814 0.319975659041127 -0.108949255331031 0.0860539635233961 0.0286112231477589 -0.065096633018359 -0.181888403764582 0.134678019480439 0.134678019480439 0.312298926633084 -0.276433636926126 -0.0206276431526715 0.00482713623354538 0.313581052195205 -0.110551833356024 -0.110551833356025 0.405579741271007 -0.334033515774186 0.0508863690768354 -0.166508358890695 -0.160729872167431 -0.0823432989446713 0.126367878336001 0.0014032937244994 0.0854143468900595 0.0289734167605228 0.0315223588924383 -0.201238581056456 0.0690953044186581 0.137805566098659 -0.334033505207431 0.351432301150544 -0.0447712182597695 0.575560683623417 0.128461147126749
sackin 0.134678019480439 1 0.938096764586421 0.55217307102602 0.690746584464549 -0.0395188645812251 0.573774585227922 0.035138275015521 0.035138275015521 0.310604490464499 0.993784821084526 -0.143551143266768 -0.0203248538874726 0.0243974812042351 0.153709121307994 -0.476645215732191 -0.342877744501488 0.331749263061672 0.476645215732192 -0.177165436168677 0.309220105219407 0.336078631453509 -0.500792268149827 -0.348279434192385 -0.330051156432128 0.266102336272028 0.033898197614466 -0.0455112035049262 0.0407969557402492 -0.0978294777973213 -0.18098201513922 -0.615883632885936 -0.437930773584136 -0.405292066783772 -0.139817220430995 0.33662479655887 0.446594764217389 -0.566056808277725 0.0978294777973209 -0.112938431988516 -0.529594756148051 -0.512826068289117 1 1 0.489145843777483 -0.371136866690503 0.633592359515827 0.422133653728435 0.52841802703118 -0.109297038178163 -0.109297038178163 0.143950229419653 0.0803630977731507 0.287975043471637 0.243490906999898 0.435234394823765 0.475159551442469 0.608106488760021 0.390031384793464 -0.14400346600675 0.50288640498825 -0.201026192251217 0.0653835111850824 0.111162700285721 0.00377439006231429 0.0803631096052818 0.0718244642240301 0.106864628959308 -0.195962688210209 0.124469038142729
colless 0.181430012583516 0.938096764586421 1 0.450593259548727 0.427702145687442 -0.11912609868321 0.777051198388343 0.094807730658981 0.094807730658981 0.301837532855576 0.978727419147089 0.00298329476535737 -0.0213378982241492 0.100503098793695 0.18954062764526 -0.524649922692555 -0.221903413941218 0.305502895521308 0.524649922692555 -0.381213804108448 0.315081344264631 0.364486849620321 -0.584122542474243 -0.152781291930251 -0.269126815486874 0.167079744187873 0.0818672353021843 -0.0525244716415449 0.0868967862657412 -0.389300985410157 -0.361013330389553 -0.725679298627893 -0.369123182457083 -0.0908556043018234 0.168174996641865 0.396335541311761 0.431807115889672 -0.613358351644049 0.389300985410156 0.192124488498383 -0.608811687333497 -0.61549756261902 0.938096764586421 0.938096764586421 0.468381869029329 -0.419571799698189 0.350841165778204 0.654916127561441 0.522229511704716 -0.0675650902368279 -0.067565090236828 0.156267554307308 0.0760256159223926 0.174893001986329 -0.0753600251439232 0.144280669468839 0.155998421438359 0.390046358568204 0.26148507273463 0.149077014778082 0.285678087717746 -0.229495174848441 0.0439937675619934 0.0933515680548362 -0.0431368138447611 0.0760256319752627 0.0355405441990476 0.100009762228922 -0.213221289625181 0.156848950377081
colless_corr 0.128851776021425 0.55217307102602 0.450593259548727 1 0.453941799579982 -0.490965510799034 0.319293409671068 0.0125529167997367 0.0125529167997367 0.391711034068006 -0.541319302953632 -0.099168297146945 -0.0470032974447938 0.358341115482323 0.427716928226341 -0.421344649834671 -0.283295503414172 0.279065715696185 0.421344649834671 -0.00557676815586187 0.639189399439696 0.448939574664392 -0.36194489819401 -0.295060965772113 -0.266747679100043 0.39771614150107 0.048893093901155 -0.184732493721459 0.0601420816114302 -0.0857249860351473 -0.529376467779026 -0.429330850338148 -0.716119655727963 -0.479180489981001 -0.0624986842975884 0.717031568552855 0.814258360232341 -0.456152225227865 0.0857249860351472 -0.0271780117364218 -0.521652072608978 -0.636063847295638 0.55217307102602 0.55217307102602 0.431232723477455 -0.772540222437255 0.446098945824254 0.235671461039774 0.444419611566101 -0.132077243648307 -0.132077243648307 0.0561370368388792 0.150091543227105 0.257671759072613 0.302108743121379 0.352588061743296 0.409156078202573 0.632210065063144 0.471404496257681 -0.24274367104202 0.488302878017795 0.0825551916017676 0.0891228311659786 0.152160941301457 -0.0925415146112309 0.150091551100502 -0.0899114561875211 0.279106602616987 -0.362301720045133 0.398824673348657
colless_quad 0.00407834957582668 0.690746584464549 0.427702145687442 0.453941799579982 1 0.113915799694659 -0.100959117743484 -0.082446073612554 -0.082446073612554 0.176454762080844 0.93071156621776 -0.354519575282874 -0.0293976912696624 -0.0668501124842456 0.0952865628738587 -0.263461047112058 -0.538015629116072 0.368937490587505 0.263461047112058 0.287079644774934 0.17043120762322 0.14458607390652 -0.0675669448606382 -0.543823210040868 -0.317871561742253 0.280238206790288 -0.0466837459655952 0.0371238294445532 -0.041501254304268 0.523016403450968 0.243914220274199 -0.182963044486182 -0.372499178628583 -0.835546957069466 -0.653857691710742 0.0976434752850223 0.268514556758324 -0.144282480667507 -0.523016403450969 -0.635814978086566 -0.0754799650418176 -0.0387455997814193 0.690746584464549 0.690746584464548 0.41440951164161 -0.125587417250994 0.994777949002486 -0.256011412752017 0.400029176299402 -0.133456144459452 -0.133456144459451 0.0474751248643294 0.0693009890133247 0.364432535967753 0.835981594419393 0.81559439499542 0.923330375950821 0.656214545985745 0.401011855113315 -0.668434199224482 0.610280630316491 -0.012380663227509 0.0932620081299601 0.119649744409045 0.103682653128177 0.0693009897792397 0.124456919679682 0.0881950175283126 -0.072878947111781 0.0283530890504492
beta -0.215588122027283 -0.0395188645812251 -0.11912609868321 -0.490965510799034 0.113915799694659 1 -0.336810810307712 -0.120216950431709 -0.120216950431709 -0.112327369336137 -0.130483237745761 -0.268830361187219 -0.0383856285631183 -0.622578554371274 -0.512478277641266 0.266311035895724 -0.0244218749986282 -0.172013102425099 -0.266311035895724 0.274107820600714 -0.35894981700752 -0.329660922356549 0.0980560807648264 -0.149836671070901 0.0402443107940736 -0.140428248819811 -0.156690959736303 0.0953446970932255 -0.163388447037486 0.439639425342967 0.701701005407185 0.324145791681796 0.425122038661348 -0.178194416119415 -0.427313705104184 -0.786772003455762 -0.521299943873539 0.254864003077524 -0.439639425342967 -0.441191628844637 0.273426597993654 0.523006110633266 -0.0395188645812252 -0.0395188645812252 -0.151557283723811 0.630354541234495 0.123812011561733 -0.335650632596372 -0.157597629954931 -0.00374281254356657 -0.00374281254356724 -0.0481874184516557 -0.0480666781134718 0.0869644400482057 0.123771001328405 0.115216286286963 0.143795357469049 0.127381788255484 -0.0857682913870961 -0.260785552411525 0.165531316762778 0.0114131377056654 -0.0131936605112653 -0.109263284808234 0.0660814877058507 -0.0480666936413697 0.0492816494485031 -0.195318204113749 0.0889372330464905 -0.490374493838726
blum 0.24267990348693 0.573774585227922 0.777051198388343 0.319293409671068 -0.100959117743484 -0.336810810307712 1 0.185755985317559 0.185755985317559 0.21923231994238 0.996731641550747 0.237178730390655 0.0522654172976714 0.274375415767234 0.256509336946915 -0.562923421340862 -0.0962571232816797 0.122568213027586 0.562923421340862 -0.635936680856069 0.435247086132255 0.318936500916157 -0.457031238814954 0.182581972061255 -0.0970304331904664 0.0551678824305807 0.152540120173802 -0.10917516229095 0.161135687265799 -0.752304184347263 -0.631525187699565 -0.86335203647777 -0.311877602968891 0.427959281779454 0.584252076485172 0.551059132942955 0.476867081284414 -0.579396837200052 0.752304184347263 0.601422530971645 -0.605444717362478 -0.695887554649283 0.573774585227923 0.573774585227923 0.467746226701138 -0.581806431823573 -0.165209565482433 0.83247533266767 0.514550541847986 0.0344561598421446 0.0344561598421443 0.144325632513853 0.061176246033531 -0.0361348060735821 -0.454158302391172 -0.204588736576548 -0.293020351364447 -0.00111053753274759 0.0373736281512286 0.648832957973653 -0.0391514490601016 -0.17794684450107 0.00198330297901182 0.0478386678891475 -0.124768536174988 0.0611762662371533 -0.0582331535291473 0.107350190696401 -0.249404050372264 0.205920929158454
crown_age 0.235332859684388 0.035138275015521 0.094807730658981 0.0125529167997367 -0.082446073612554 -0.120216950431709 0.185755985317559 1 1 0.212737583901053 0.128205038516451 0.31492913376996 0.626951033911541 0.220813597378131 0.173569626058633 -0.0678779421269962 -0.13338360323509 0.0340495811168322 0.0678779421269962 -0.121310072880214 0.210689031222069 0.287001165810464 -0.0154606567189033 0.810530478454252 0.0247855156954348 0.0923319446089072 0.972957116264234 0.375297262865242 0.975554534471791 -0.243153829484349 -0.140031091989824 -0.177384911982927 -0.00252173694118825 0.188947620288627 0.166150417955759 0.222441648480926 0.208822816778465 -0.0917351316202933 0.243153829484349 0.165836670684592 -0.125219299723434 -0.205755569700858 0.035138275015521 0.0351382750155211 0.106047609418413 -0.226426925956649 -0.0892812781784157 0.192319870296509 0.101836882399405 0.864094596259873 0.864094596259873 0.823587577876187 0.674833677703663 0.709672157397071 -0.0966684942804102 0.0200249543537647 -0.0949661448186507 -0.141225266837097 -0.56046611850918 0.271762171239847 -0.136332508835524 0.207611273730789 0.803945506012783 0.835499563923625 0.847750536281445 0.67483368078362 0.676439286795673 0.677919706022397 0.152559022118296 0.173135720412197
tree_height 0.235332859684388 0.035138275015521 0.094807730658981 0.0125529167997367 -0.082446073612554 -0.120216950431709 0.185755985317559 1 1 0.212737583901053 0.128205038516451 0.31492913376996 0.626951033911541 0.220813597378131 0.173569626058633 -0.0678779421269962 -0.13338360323509 0.0340495811168322 0.0678779421269962 -0.121310072880214 0.210689031222069 0.287001165810464 -0.0154606567189033 0.810530478454252 0.0247855156954348 0.0923319446089072 0.972957116264234 0.375297262865242 0.975554534471791 -0.243153829484349 -0.140031091989824 -0.177384911982927 -0.00252173694118825 0.188947620288627 0.166150417955759 0.222441648480926 0.208822816778465 -0.0917351316202933 0.243153829484349 0.165836670684592 -0.125219299723434 -0.205755569700858 0.035138275015521 0.0351382750155211 0.106047609418413 -0.226426925956649 -0.0892812781784157 0.192319870296509 0.101836882399405 0.864094596259873 0.864094596259873 0.823587577876187 0.674833677703663 0.709672157397071 -0.0966684942804102 0.0200249543537647 -0.0949661448186507 -0.141225266837097 -0.56046611850918 0.271762171239847 -0.136332508835524 0.207611273730789 0.803945506012783 0.835499563923625 0.847750536281445 0.67483368078362 0.676439286795673 0.677919706022397 0.152559022118296 0.173135720412197
pigot_rho 0.477088123775786 0.310604490464499 0.301837532855576 0.391711034068006 0.176454762080844 -0.112327369336137 0.21923231994238 0.212737583901053 0.212737583901053 1 -0.0433446809308467 0.424838491579672 -0.298730404134304 0.121383273812941 0.167765801790864 -0.377083379769659 -0.247090230652942 0.292255934850124 0.377083379769659 0.036244555597104 0.410604489728031 0.584501213870716 -0.171339574069872 0.0362721831814846 -0.396268929283583 -0.105678845958291 0.196629288269376 -0.326810967906749 0.207991747556739 -0.0568829658519702 -0.12689420676077 -0.348666523013322 -0.314429489773409 -0.21488132052583 -0.0885677277980981 0.334007601597708 0.455517464787274 -0.271346835064172 0.0568829658519702 -0.0733530624891704 -0.278198693157513 -0.328258393610961 0.310604490464499 0.310604490464499 0.381138567304175 -0.405812763939788 0.159335048314862 0.0783222014743946 0.383035648805053 -0.114505472901974 -0.114505472901975 0.301772597152351 -0.165182636715439 0.217535357864572 0.00635718091734603 0.0286495000010822 0.103565390547459 0.374409151963644 0.0987940472323313 -0.0271277942493199 0.321386522092448 0.132059287953083 -0.0754049155924998 0.0355747565223209 0.126831579877514 -0.165182636693859 0.26235056790164 -0.0429969828354376 0.22552117862298 0.211636263891466
