gamma sackin colless colless_corr colless_quad beta blum crown_age tree_height pigot_rho number_of_lineages nltt_base phylogenetic_div avg_ladder max_ladder cherries double_cherries four_prong il_number pitchforks stairs laplace_spectrum_a laplace_spectrum_p laplace_spectrum_e laplace_spectrum_g min_laplace max_laplace min_adj max_adj imbalance_steps j_one b1 b2 area_per_pair average_leaf_depth i_stat ew_colless max_del_width max_depth avg_vert_depth max_width mw_over_md tot_path tot_internal_path rogers stairs2 tot_coph var_depth symmetry_nodes mpd psv vpd mntd j_stat rquartet wiener max_betweenness max_closeness max_closenessW diameter eigen_centrality eigen_centralityW mean_branch_length var_branch_length mean_branch_length_int mean_branch_length_ext var_branch_length_int var_branch_length_ext treeness root_imbalance
gamma 1 -0.748640049295048 -0.729643609854113 -0.193832681910414 -0.778706942494 -0.283192691122928 -0.0608019910744584 0.205747463134401 0.205747463134401 0.296092695090915 0.63985229417825 0.814969506486565 -0.0418382564435986 0.266905857455016 0.107280162692051 -0.202537232847023 0.047467876865779 -0.0707896873672875 0.202537232847023 -0.289340054051019 0.0994998505173269 0.709290358326228 0.750199607268198 0.447199193246344 0.546334848837401 0.040892957133955 0.167345342878692 -0.231760663483811 0.149484147986322 -0.253949237916047 -0.355435507804531 -0.170272847348209 0.351570039346454 0.471758730182386 0.430921624765995 0.237542350333012 0.0728510579932841 0.180020752467041 0.253949237916048 0.423597935748138 0.336674828166073 0.06042090483394 -0.748640049295048 -0.748640049295048 0.0266870944739952 -0.179993380829256 -0.77399966853606 0.221165846301335 -0.0467316201472602 -0.0550574794689296 -0.0550574794689295 0.100337419039962 -0.111635299211111 -0.198961113769189 -0.756080880530931 -0.58424768704469 -0.728963954245371 -0.294402051020215 -0.272790313641296 0.404140236588133 -0.789596030284959 -0.655132317184084 -0.10771559996769 -0.0269661785984451 -0.0842764547650229 -0.111635313486951 0.177583975159297 -0.0511339391616948 0.448580793643723 0.463817072374608
sackin -0.748640049295048 1 0.97789312795014 0.726726016789941 0.929208645228735 -0.150647261896927 0.258495493608798 -0.473389469005051 -0.473389469005051 0.0893610074454968 0.991945737747032 -0.888750191662389 -0.285249375168065 0.00584686199237594 -0.187691455039358 0.0347928604561763 -0.209581243907687 -0.0865392004638458 -0.0347928604561765 0.316722361500605 0.227748541435119 -0.320835111812732 -0.743356361539301 -0.764160170256866 -0.483041057665224 0.447275454338672 -0.429623902841364 0.0458707619634561 -0.41410446996957 0.359082337747968 0.247501849152814 0.020467892137132 -0.781678866879353 -0.721451493854419 -0.562663171092198 0.241016267360867 0.349146608358915 -0.627103940550262 -0.359082337747968 -0.536051453056925 -0.54387102519039 -0.285758941493316 1 1 0.215812148807153 -0.150439006489463 0.928144527901491 -0.268011246336943 0.29985994964334 -0.28145333029626 -0.28145333029626 -0.352959541924258 -0.18646796388212 -0.0508790188337584 0.872561480274521 0.481887076195903 0.900999711180143 0.809444582977303 0.65477382519227 -0.511468960963145 0.583382083487399 0.470852180371383 -0.218458075004114 -0.248268306854375 -0.315421568684221 -0.186467959168467 -0.433262602425139 -0.228609932085732 -0.518403145210944 -0.268725803395618
colless -0.729643609854113 0.97789312795014 1 0.767751074416948 0.836079311596379 -0.217603108570209 0.383251775297692 -0.481233807534233 -0.481233807534233 0.179429536875382 0.986314879194441 -0.876717722075833 -0.269538677132245 0.00519205248369353 -0.176314611307507 -0.00294190427864432 -0.387789785900073 0.0556601974216939 0.00294190427864402 0.235366279430284 0.278075679205076 -0.360724791987601 -0.833750043251759 -0.759535726151173 -0.311795389639776 0.429868413655138 -0.436772942976448 0.0520901958010039 -0.424307404065025 0.173461948478461 0.100179078401366 -0.0721149790741272 -0.688233164151505 -0.591411427759668 -0.393743730476583 0.311095831238727 0.386017059163663 -0.618215292631982 -0.173461948478461 -0.364523129720835 -0.695345977693545 -0.434406905923572 0.97789312795014 0.97789312795014 0.322587252087863 -0.223709336639312 0.833961215907628 -0.0632027546661663 0.395500103700012 -0.268086595801383 -0.268086595801383 -0.338636065241181 -0.170682336053179 -0.0556972048205657 0.75732385156308 0.415804635027449 0.792022626093032 0.761586652714033 0.632996925670306 -0.361220041891527 0.670134880791528 0.559491329569606 -0.211000224159672 -0.229221443517776 -0.333435306138664 -0.170682335463317 -0.434136303060727 -0.207729976410676 -0.589635126436839 -0.325826767579979
colless_corr -0.193832681910414 0.726726016789941 0.767751074416948 1 0.522605678199859 -0.748709871786155 0.648229084457189 -0.305411877617343 -0.305411877617343 0.555822464051045 -0.662334616232297 -0.471101000582794 -0.225930876857293 0.382581928882316 0.0646644038117874 -0.357423470848815 -0.436786651227621 -0.0916264413175658 0.357423470848815 -0.0598393162573551 0.647680964000033 0.209938098226249 -0.438679150122085 -0.561021893324007 -0.0699624383634858 0.465100113355077 -0.275337936381009 0.119676510173774 -0.27070435308524 -0.0468633362792683 -0.341881203306346 -0.429902855732874 -0.76678291790222 -0.327559422039081 -0.0941681208681567 0.782225787435354 0.731660232231684 -0.744077731933634 0.046863336279268 -0.0576800472630395 -0.745743896400197 -0.722020710239962 0.726726016789941 0.726726016789941 0.636553287027315 -0.662735022944002 0.523207801599518 0.0888391150501803 0.680800124534445 -0.239845083763116 -0.239845083763117 -0.176183757442585 -0.133433823460009 -0.0757101571743321 0.451805635212147 0.264567620722417 0.506445318839119 0.698307239767509 0.582156838439832 -0.0282039299721666 0.198834438816215 0.188182530561021 -0.206390570578779 -0.133857507283308 -0.433070519050441 -0.133433837467446 -0.257554399970542 -0.126099443529273 -0.672666858269702 -0.20900013188874
colless_quad -0.778706942494 0.929208645228735 0.836079311596379 0.522605678199859 1 0.0331039040913188 -0.00311313423291481 -0.386741826947277 -0.386741826947277 -0.140700341235397 0.938271659613382 -0.823604437071542 -0.239308061903009 -0.0610716470876922 -0.191324009002899 0.144329573920488 0.123359220195052 -0.315427892837958 -0.144329573920488 0.435399017941742 0.0603047458289991 -0.284063076439926 -0.551611100358877 -0.671896002230621 -0.748810652252451 0.358694946753437 -0.346881007806157 0.0559963059719538 -0.326923416945881 0.624359593916212 0.47803918780077 0.211556152416305 -0.819173776720378 -0.848711909408907 -0.773115276619292 0.0169003598489113 0.175118707511224 -0.536777533211046 -0.624359593916212 -0.755841774235176 -0.222682719772809 0.0113707812969208 0.929208645228735 0.929208645228735 -0.0255169802097904 0.048900427802756 0.999964149323021 -0.583974219462568 0.070053479997302 -0.231332937123413 -0.231332937123413 -0.310168334420902 -0.153454067969863 -0.00631910750178366 0.990311489499797 0.577636687917234 0.995378400332418 0.738251928152283 0.589084609533324 -0.710416505892737 0.441047873539673 0.33553982839019 -0.166149750022472 -0.216456257184285 -0.205519436000052 -0.153454054634966 -0.360691050575301 -0.200278570324669 -0.35323406763329 -0.175921154149181
beta -0.283192691122928 -0.150647261896927 -0.217603108570209 -0.748709871786155 0.0331039040913188 1 -0.722061075354735 -0.104467037096256 -0.104467037096256 -0.515939259353068 -0.173443879995226 -0.170163939335908 -0.0698170062719109 -0.466061060529678 -0.330738477079196 0.476882141982525 0.290020916148928 0.232613700718709 -0.476882141982525 0.497242631019273 -0.60899359807597 -0.621752402589947 -0.053910289783792 0.0910427350253545 -0.195189028676609 -0.164042314054182 -0.115218171350858 -0.228847847041925 -0.110210060480326 0.403307492203964 0.792931313626667 0.621747183031281 0.448850057613455 -0.207780573168827 -0.413247083100709 -0.8373851565746 -0.59909651137837 0.395788316975518 -0.403307492203964 -0.439669007101836 0.539705735103943 0.80811480903878 -0.150647261896927 -0.150647261896927 -0.652497286722638 0.756077663226153 0.0325470287649408 -0.314055477650861 -0.648117513531802 -0.0377023784006249 -0.0377023784006241 -0.217737822371419 -0.10482392744049 -0.0209266870592008 0.062346617236809 -0.107545914197329 0.0331533886184841 -0.15525491443352 -0.307712418701194 -0.447643729605524 0.154179836725548 0.109187499306805 -0.0167344408399253 -0.190188404682297 0.263323577097246 -0.104823909118569 -0.159277379788714 -0.184953446767216 0.602191254128183 0.0791678388309669
blum -0.0608019910744584 0.258495493608798 0.383251775297692 0.648229084457189 -0.00311313423291481 -0.722061075354735 1 0.356051001973765 0.356051001973765 0.410933733267914 0.998503740172641 -0.207318831136487 0.467421366006621 0.654027446398301 0.643171569630325 -0.742184636550161 -0.506224705434301 0.350048553723677 0.742184636550161 -0.611737401623929 0.73719102881724 -0.0419304601058872 -0.234552742891413 0.0948593610455103 0.197309331992406 0.150749760637062 0.379100017600567 0.633571969486444 0.376592104193179 -0.697833709179224 -0.685341411777655 -0.911751253896953 -0.155406716178502 0.425030717458365 0.472653729965322 0.848546487358415 0.714587640410403 -0.203429335019286 0.697833709179224 0.498280708419643 -0.771074757038958 -0.912096295466424 0.258495493608798 0.258495493608798 0.924071074423188 -0.862250522968997 -0.00541147394762822 0.619052935143292 0.920894945173829 0.452279495707558 0.452279495707558 0.495858538652764 0.527818528852845 0.500547725221849 -0.0592928402754229 0.413090575925917 -0.042326961261902 0.124949999356207 0.0268711952400583 0.673804669853993 0.315140030554775 0.382357216830289 0.458860370068092 0.534023830704229 0.208833089981624 0.52781850979671 0.40533970354314 0.541299324445304 -0.852336560610123 -0.680695022732967
crown_age 0.205747463134401 -0.473389469005051 -0.481233807534233 -0.305411877617343 -0.386741826947277 -0.104467037096256 0.356051001973765 1 1 -0.281400954013991 0.0961782428976009 0.363256432943239 0.958389914781028 0.593607983853688 0.908107493754675 -0.611680741481378 0.306880572728305 0.048523241016765 0.611680741481378 -0.54504738342657 0.246923574820214 -0.000580922018616562 0.571211784061559 0.889565461595194 -0.162803761687102 -0.240727203348905 0.998094118895955 0.806822686612391 0.997237630475594 -0.421485085641992 -0.261005309129964 -0.601546279099281 0.341436909890646 0.656758962377203 0.346639488972881 0.185836908620943 0.125633742734879 0.422972263074325 0.421485085641992 0.33420226029943 0.24548215622119 -0.0789346638948542 -0.473389469005051 -0.473389469005051 0.347784331485238 -0.336045220726895 -0.387118783528824 0.158706092431583 0.321946269957335 0.955748854155301 0.955748854155301 0.976730130044738 0.933292002299324 0.874244874285343 -0.30467152469968 0.515289520768853 -0.367801441439463 -0.520337301141941 -0.650365985897542 0.615865563415038 -0.176139636366527 0.0451443730308516 0.938416567332887 0.95083599841765 0.898199288485345 0.933292002152689 0.994290242655706 0.942946575627459 -0.220834338449687 -0.537189971508424
tree_height 0.205747463134401 -0.473389469005051 -0.481233807534233 -0.305411877617343 -0.386741826947277 -0.104467037096256 0.356051001973765 1 1 -0.281400954013991 0.0961782428976009 0.363256432943239 0.958389914781028 0.593607983853688 0.908107493754675 -0.611680741481378 0.306880572728305 0.048523241016765 0.611680741481378 -0.54504738342657 0.246923574820214 -0.000580922018616562 0.571211784061559 0.889565461595194 -0.162803761687102 -0.240727203348905 0.998094118895955 0.806822686612391 0.997237630475594 -0.421485085641992 -0.261005309129964 -0.601546279099281 0.341436909890646 0.656758962377203 0.346639488972881 0.185836908620943 0.125633742734879 0.422972263074325 0.421485085641992 0.33420226029943 0.24548215622119 -0.0789346638948542 -0.473389469005051 -0.473389469005051 0.347784331485238 -0.336045220726895 -0.387118783528824 0.158706092431583 0.321946269957335 0.955748854155301 0.955748854155301 0.976730130044738 0.933292002299324 0.874244874285343 -0.30467152469968 0.515289520768853 -0.367801441439463 -0.520337301141941 -0.650365985897542 0.615865563415038 -0.176139636366527 0.0451443730308516 0.938416567332887 0.95083599841765 0.898199288485345 0.933292002152689 0.994290242655706 0.942946575627459 -0.220834338449687 -0.537189971508424
pigot_rho 0.296092695090915 0.0893610074454968 0.179429536875382 0.555822464051045 -0.140700341235397 -0.515939259353068 0.410933733267914 -0.281400954013991 -0.281400954013991 1 0.0849775266063756 -0.0194061133388921 -0.327695348387501 0.358022810293775 -0.00491475284121027 -0.458090988193984 -0.625431447530394 0.350053158916743 0.458090988193984 0.0128035451404232 0.752092189756735 0.270361216220303 -0.122266646817734 -0.148559532821414 0.518080114316821 -0.0795095734349159 -0.301195243747795 -0.0255262948478505 -0.307524383187424 -0.276935334690082 -0.437626341977018 -0.41785941787548 -0.151754215303656 0.118102064674395 0.276614205922247 0.653281886804752 0.734006435063427 -0.537572633133849 0.276935334690082 0.297371312581484 -0.598467476959845 -0.577826526437423 0.0893610074454968 0.0893610074454968 0.621122070199046 -0.681322744293028 -0.139224242030214 0.382448342371438 0.600267743574147 -0.323269265553139 -0.323269265553139 -0.285400989210801 -0.262940030057322 -0.239390747545081 -0.216565070041315 -0.371183837116023 -0.152633923373419 0.167404278255093 -0.0520586186554366 0.26890201774156 -0.286781131716209 -0.212416736932251 -0.303667768027782 -0.30487948515371 -0.42510529798144 -0.26294006170257 -0.310044129963801 -0.309584601235941 -0.315930673414397 -0.0958855100470261
