gamma sackin colless beta blum crown_age tree_height pigot_rho number_of_lineages nltt_base phylogenetic_div avg_ladder max_ladder cherries il_number pitchforks stairs laplace_spectrum_a laplace_spectrum_p laplace_spectrum_e laplace_spectrum_g imbalance_steps j_one b1 b2 area_per_pair average_leaf_depth i_stat ew_colless max_del_width max_depth max_width rogers stairs2 tot_coph var_depth symmetry_nodes mpd psv vpd mntd j_stat rquartet wiener max_betweenness max_closeness diameter eigenvector mean_branch_length var_branch_length mean_branch_length_int mean_branch_length_ext var_branch_length_int var_branch_length_ext
gamma 1 0.0824127651464358 0.0628870341390498 0.0279975761471985 -0.00522115956396976 0.170932139114738 0.102322714144401 0.620341594395623 -0.346763372063962 0.573780641632496 -0.373342181350486 -0.077748241639876 -0.0797357080716334 0.0770766065005752 -0.0770766065005736 -0.0345866558971093 -0.0543127653349378 0.598330108613742 0.216310082994834 0.0390818083414634 0.0463330181400321 0.109248909973095 -0.0671833924861838 0.060680095824227 -0.257512647185271 -0.16416331172214 -0.0262745621737563 -0.00293131204937836 -0.00726557374139839 -0.029637816480588 -0.0776018381078665 -0.0504355879897073 -0.0357720772330795 0.0295339314476646 0.107651272655765 0.0331350257642716 -0.0490841651928533 -0.160632665826062 -0.160632665826062 0.143094608279972 -0.323209404690638 0.0728012042171011 0.0338635570455859 -0.0287676770591194 0.105061779618251 0.114846656387823 -0.148082089578818 0.0093359212472321 -0.204630678772476 0.0371577683932521 0.0211160282778892 -0.323209866256962 0.129383431930509 0.0280849083725681
sackin 0.0824127651464358 1 0.960423096225618 0.0837924518452236 0.46911935930447 0.0443607498806935 0.0363201904649227 0.146949296645376 0.990247435582971 -0.237800053621605 0.0782468855308723 -0.147866846285495 -0.161772205064874 -0.0345917040231422 0.0345917040231448 -0.265907395145118 -0.144299717818165 0.214953136036474 -0.407390412566368 -0.385979304652273 -0.346676936532418 0.0563483434238662 -0.0699840346909295 -0.158903713034618 -0.633222340237767 -0.469036148876714 -0.171217962789227 0.0274225491421676 0.0597432234967459 -0.451099012217944 -0.106544394016846 -0.463413417788726 -0.0449816427729446 0.0433294532602373 0.724745046075112 0.171798848724208 -0.0176794681982541 -0.0322487340159978 -0.0322487340159978 0.0780930495924847 0.12225664154583 0.320505837654591 0.399699569822421 0.387495057438386 0.455112415676902 0.371511660136499 -0.273992627103144 -0.0981401523552673 0.149520743950494 0.118833460962841 0.161143353763163 0.12225703972794 0.110777741578153 0.0985061335090378
colless 0.0628870341390498 0.960423096225618 1 0.0146572435745069 0.61702238511898 0.0737184513124118 0.0617342143074622 0.127905430923523 0.973762127873651 -0.12607738961203 0.105266452212336 -0.0942720728539495 -0.0544169570006728 -0.174387116313866 0.174387116313869 -0.263127734252596 -0.0649715350234226 0.235897659480779 -0.393090952101785 -0.21746076349776 -0.35450813097472 -0.186410152593577 -0.241303380631564 -0.306888171834574 -0.588228729411462 -0.23556981402119 0.0714270992091882 0.109819244272849 0.101874972391451 -0.453047477493715 0.144061409841315 -0.56066630089112 0.0938420417901528 -0.0542874569673192 0.551264798792634 0.387521149396181 0.119438591113889 -0.0235348506477755 -0.0235348506477756 0.0604735089180028 0.108707968643307 0.216488302099825 0.191736201238759 0.203636590471199 0.222210176693031 0.255777735445154 -0.0391758343652026 -0.0713628494541785 0.115586649435254 0.100553465246769 0.103407288710173 0.108708211649455 0.0796701178695468 0.0931353604604121
beta 0.0279975761471985 0.0837924518452236 0.0146572435745069 1 -0.193958519109262 -0.106151490982916 -0.0962468744375172 -0.0587163255716367 -0.162851800638071 -0.154273378378334 -0.0322052859080804 -0.316672181437889 -0.297156317820763 0.183197944685017 -0.183197944685017 0.037091733707682 -0.448953973317131 -0.186169738292716 0.0127133329869636 -0.258090912921947 -0.0010521759762637 0.348002717834003 0.604820795654352 0.203276602935826 0.179265033710285 -0.266793076875701 -0.386337008088438 -0.69189907762225 -0.48617283507399 0.0480510516541461 -0.377144171617789 0.115431203999113 -0.207792372357803 0.647583547028157 0.149530079569478 -0.291866479518893 -0.190284265701203 -0.0229592481804115 -0.0229592481804117 -0.0504415341409243 -0.103643755195456 0.130871809777724 0.133018916614442 0.134848401987726 0.172095891645205 0.1211531293665 -0.285470615589787 -0.222546742461509 -0.0269644586474394 -0.0825493029554352 0.101437344210217 -0.103643712713393 -0.0000189909285936218 -0.123784369039244
blum -0.00522115956396976 0.46911935930447 0.61702238511898 -0.193958519109262 1 0.127973215971377 0.112834601890561 0.0410043365592567 0.998125590908698 0.0911560272448421 0.267089496352851 0.140522852378128 0.371768275758916 -0.762366626033652 0.762366626033653 -0.174430343323964 0.226966060739747 0.105561297950202 -0.0960778879772442 0.168050041947038 -0.0952642517386217 -0.52880976504026 -0.48094674404228 -0.890193584057423 -0.319744545239485 0.361599750699872 0.455865475971376 0.395850208976394 0.30411255356298 -0.338921737251522 0.578616137005423 -0.528791500230656 0.680117742528139 -0.395356409273799 -0.112996478710276 0.595292415599917 0.700391470177027 0.0762061204986021 0.0762061204986021 0.040878000433537 0.101391734877943 -0.0387558562640551 -0.270602717962613 -0.113819632364429 -0.323508685894139 -0.0254761990726378 0.545624010540905 0.0112087724118236 0.0507147970706869 0.0756835159337293 -0.0351170065551354 0.10139133339248 0.0086486914072038 0.109901922323189
crown_age 0.170932139114738 0.0443607498806935 0.0737184513124118 -0.106151490982916 0.127973215971377 1 0.955324949204069 0.375837186984161 0.148046892063112 0.267316765447521 0.471208096426523 0.101660011123536 0.06670908366158 -0.0766243358030704 0.0766243358030705 -0.0108554651574356 0.13354130173163 0.354138761866397 0.109960597943354 0.660262906289737 -0.106545792797996 -0.114711610183655 -0.183372332788222 -0.0940957767072092 -0.151803890356347 0.0463415898603957 0.136401222638185 0.165348786334417 0.158507835231814 -0.0966661969665092 0.105592556096403 -0.0147270136048886 0.0789678536291995 -0.168932170847419 -0.0217270430805603 0.0937575820663799 0.0676290539717773 0.831908949371136 0.831908949371137 0.722102124662662 0.721468772846977 0.519543104742475 -0.0451831097560753 0.0972311813524983 -0.0472159426550008 -0.388046677995362 0.03408194740624 0.0499362980747247 0.780638199660007 0.8240402438665 0.740605761377161 0.721467941356724 0.614333979530523 0.793394695553557
tree_height 0.102322714144401 0.0363201904649227 0.0617342143074622 -0.0962468744375172 0.112834601890561 0.955324949204069 1 0.351370097755219 0.10338067441391 0.213180056591855 0.471392302672336 0.0749493904912776 0.0457133929235003 -0.0833183781251629 0.0833183781251628 0.015401360430268 0.122926631252768 0.288919638528388 0.0894362007382236 0.595906814887049 -0.0982763357615489 -0.0864614404760976 -0.141374403305343 -0.0955337111853195 -0.119271641930384 0.027631401916361 0.0981005883423785 0.16435959469304 0.182127880693338 -0.104847197793591 0.0818456333446452 -0.0311370622650138 0.0816046333229911 -0.159065426332684 -0.0240974168440814 0.086014259721821 0.0701709163243866 0.814829586701113 0.814829586701113 0.757967692958164 0.719087913093641 0.551686585137137 -0.0393493885276782 0.102381034705249 -0.0417816251140198 -0.350078884252804 0.022984004535576 0.0267624573662651 0.781974810426971 0.837659863082512 0.750811225641347 0.71908698798164 0.650110117760645 0.784231028423394
pigot_rho 0.620341594395623 0.146949296645376 0.127905430923523 -0.0587163255716367 0.0410043365592567 0.375837186984161 0.351370097755219 1 0.116775670629039 0.635700771421494 -0.132056720007361 0.00875329024186884 -0.0347490493713592 0.0659726577727567 -0.0659726577727553 -0.0307343300962039 0.00519877528687171 0.709867162871321 0.0550797877066314 0.130237343705009 -0.126898126008822 0.0587120901452984 -0.178725155533598 0.0374645043154953 -0.358560822014639 -0.174790632656212 0.00950485429831037 0.13511333304993 0.0929319934167139 -0.195200731906125 -0.0481182996031159 -0.117985743687843 -0.0422228106499753 -0.0833211945235219 0.107219520936143 0.0453529242668195 -0.0477571893203945 0.0149436550251426 0.0149436550251427 0.366523198206528 -0.0894048230467165 0.136352064629612 0.0282605605303497 0.0401296487592298 0.0965450244552932 0.148935885687687 -0.147060887618015 -0.00869716025315119 -0.00897337844161092 0.234047904541348 0.12740129571331 -0.0894062344732158 0.239325056591923 0.216950623365311
number_of_lineages -0.00517154690070917 14.2950136884497 8.11542283907733 -0.00257711517316214 1.25342682863469 0.0334498889190151 0.0272486109384157 0.00092909945823692 1 0.000566212425154681 8.31923744549327 0.00111361383889807 0.00690836103360808 0.338948491800499 0.322103016399003 0.157537634477076 0.0000516549236401798 -0.0000268217265581633 0.00624299605961066 0.00867347968731082 -0.0238463731222815 0.959113103662503 -0.000439777243553318 0.53229339104043 0.00303390236345017 0.0306920827057119 0.0206220709959388 0.0000590482907865935 -0.0000705606547028919 0.0400329223188886 0.0408024759936142 0.205187597844031 0.608188681873635 -0.0000560822930823313 920.343116013271 0.0349465262132726 0.615579415017643 0.0397444524805672 0.0198722262402835 -0.539301934441953 -0.0157802040449645 -0.00625878303423397 5187227.28212467 57705.3852513256 636.63435283399 -0.00000485210138681441 0.0680002783720647 0.0000470931056043591 -0.00746336555810759 -0.103952678707808 -0.00674416667779926 -0.00789011788851584 -0.10972179131418 -0.0802738842279501
nltt_base 0.573780641632496 -0.237800053621605 -0.12607738961203 -0.154273378378334 0.0911560272448421 0.267316765447521 0.213180056591855 0.635700771421494 0.518805761574761 1 -0.175449428332069 0.149885217640638 0.211269145033241 -0.0946717906818823 0.094671790681882 -0.0167718657819892 0.137864073524762 0.61053995060245 0.36889115270369 0.577510221520581 -0.0277032613465914 -0.387425398909073 -0.42649164447272 -0.0965261015230189 -0.00243956951548673 0.451319429569796 0.526843892968192 0.165588625891643 0.00806916413788676 0.154271220101809 0.426499529762781 0.0943294283150297 0.12024663088339 -0.183774122417712 -0.315626299664981 0.276196407533146 0.11545119480999 -0.0883276901042031 -0.0883276901042032 0.134065415456483 -0.332955202065407 -0.315705811128973 -0.321624455334086 -0.360628035979558 -0.369499134128614 -0.349731185826229 0.369696172650702 -0.0111008095326898 -0.288427968987892 -0.0215407846299644 -0.150927460379637 -0.332956154850411 0.0305482300362459 -0.000780768700799059
phylogenetic_div -0.373342181350486 0.0782468855308723 0.105266452212336 -0.0322052859080804 0.267089496352851 0.471208096426523 0.471392302672336 -0.132056720007361 0.784412506604459 -0.175449428332069 1 0.0302253335801449 0.0339151191995532 -0.2206446255405 0.220644625540499 0.0333568930711816 0.0472951218166636 -0.184232892845281 -0.0369584945167187 0.292926239880725 -0.105573390196218 -0.139604606382946 -0.0435267171637165 -0.254492491033423 0.049990056616835 0.0711170349542094 0.031606655650196 0.084165165998187 0.0643541881706579 -0.12597999565997 0.114355127304571 -0.0301827643337355 0.192052683503913 -0.0770383350431172 -0.0558205579758645 0.0612870132275145 0.183344112855082 0.669424168204279 0.669424168204279 0.216069477223158 0.588610787169066 0.162607306863323 0.0404936152431936 0.421077476930402 -0.0341879749928441 -0.116281388857695 0.0889742984471362 0.0521515466948975 0.551639686936434 0.390425364013794 0.401328669394934 0.588609774008729 0.18308607430288 0.423787166239992
avg_ladder -0.077748241639876 -0.147866846285495 -0.0942720728539495 -0.316672181437889 0.140522852378128 0.101660011123536 0.0749493904912776 0.00875329024186884 0.137964869332716 0.149885217640638 0.0302253335801449 1 0.827013799529202 -0.265433093044071 0.265433093044072 -0.0639350115989083 0.405187066750463 0.0159517596995974 0.167800196998365 0.272336493110989 0.0342201234427649 -0.225827418698724 -0.21986229629461 -0.244922571134886 0.0953621769772745 0.3146079982646 0.25966709498339 0.502287815534581 0.412630706331655 0.0363074350516375 0.252205162606503 0.00956521754361797 0.227384328306132 -0.476048179276085 -0.158796140387525 0.134816117882118 0.23344046574575 0.078030970510288 0.0780309705102882 0.0769313101672758 0.060817290467915 -0.109381856135895 -0.118099009266519 -0.118767430527948 -0.163715761222115 -0.284111547311127 0.320867735590569 0.0541885276940108 0.0215651620870207 0.0592545045455643 -0.0411323179267897 0.060816980874917 0.0308593969639985 0.0662981012986752
max_ladder -0.0797357080716334 -0.161772205064874 -0.0544169570006728 -0.297156317820763 0.371768275758916 0.06670908366158 0.0457133929235003 -0.0347490493713592 0.432352435163895 0.211269145033241 0.0339151191995532 0.827013799529202 1 -0.529391034513483 0.529391034513484 -0.0227106545183343 0.47426026125307 -0.00158791361478946 0.220956068940688 0.343074807054976 0.0102074919049676 -0.410143550628116 -0.29986662982496 -0.521381183994005 0.0819536252848101 0.486367620716095 0.403908120773499 0.530419233456564 0.447300443829303 0.0532959955830394 0.435850587247885 -0.0159290538430123 0.478590552602301 -0.547821524572709 -0.276134176159582 0.248513827552224 0.492336232151167 0.0490171654977486 0.0490171654977484 0.00478298099770333 0.0111635557829824 -0.206452059794235 -0.250949633418489 -0.228852098743684 -0.325138834743635 -0.31264775081914 0.532145547002965 0.0231002268919685 -0.0471449421738724 -0.00347512500436656 -0.126312885618716 0.0111632075746467 -0.034978006033735 0.0141707600704434
cherries 0.0770766065005752 -0.0345917040231422 -0.174387116313866 0.183197944685017 -0.762366626033652 -0.0766243358030704 -0.0833183781251629 0.0659726577727567 0.997082566322527 -0.0946717906818823 -0.2206446255405 -0.265433093044071 -0.529391034513483 1 -0.999999999999999 -0.219261840953586 -0.462599807757083 0.0522247566385674 -0.0781289106066353 -0.243090774269359 -0.000979139278059318 0.425714143136601 0.263936282550966 0.955971141138256 -0.0481642046546076 -0.459435826826542 -0.363173529606467 -0.430873938966381 -0.477509571718812 0.142012874640515 -0.47238416214025 0.31849741510811 -0.910038376271295 0.499242254039003 0.382175985452873 -0.380141295820649 -0.938473726306581 -0.103515962854042 -0.103515962854042 -0.0265832409714221 -0.0678150099464677 0.107375851583795 0.398776780043192 0.241992500625034 0.459656076192285 0.14444800672872 -0.564842816225252 0.0273245123626606 -0.0135950592531012 -0.042833686071249 0.0701139023580376 -0.0678145954354637 0.00696071149304328 -0.0630369844133171
