gamma sackin colless colless_corr colless_quad beta blum crown_age tree_height pigot_rho number_of_lineages nltt_base phylogenetic_div avg_ladder max_ladder cherries double_cherries four_prong il_number pitchforks stairs laplace_spectrum_a laplace_spectrum_p laplace_spectrum_e laplace_spectrum_g min_laplace max_laplace min_adj max_adj imbalance_steps j_one b1 b2 area_per_pair average_leaf_depth i_stat ew_colless max_del_width max_depth avg_vert_depth max_width mw_over_md tot_path tot_internal_path rogers stairs2 tot_coph var_depth symmetry_nodes mpd psv vpd mntd j_stat rquartet wiener max_betweenness max_closeness max_closenessW diameter eigen_centrality eigen_centralityW mean_branch_length var_branch_length mean_branch_length_int mean_branch_length_ext var_branch_length_int var_branch_length_ext treeness root_imbalance
gamma 1 0.222729161422148 0.237240961188753 0.119208799747493 0.121167372785297 -0.0473619545673492 0.273446814863323 0.440484150941059 0.440484150941059 0.48728690075163 -0.388461972799855 0.686831716782495 0.0639011632656994 0.0406576290740759 0.0496274824816287 -0.190510372089617 -0.0378833307206251 0.00968084225934263 0.190510372089617 -0.106562110332788 0.102432607612136 0.514533503583877 0.289593149145364 0.324851753816427 -0.0172188671609988 0.0596543274890533 0.437299637432005 0.0431413154171781 0.443161441710048 -0.14613507208859 -0.0990413870230994 -0.237112099095616 -0.0865778854357338 0.0135918696086559 0.0943040040369481 0.13168197576177 0.153856093330875 -0.261457957203379 0.146135072088589 0.0987602647584988 -0.209754594472539 -0.207586531818162 0.222729161422148 0.222729161422148 0.171776288412154 -0.146016449813002 0.116536759343676 0.217989079554712 0.167385889746101 0.262320414100112 0.262320414100112 0.391400388530481 -0.0604559836193668 0.146109826560036 0.0513575678430712 0.221642140669668 0.0558887908561499 0.0757430947095037 -0.0140195893148884 0.0722956608732486 0.0300293539471996 -0.0959140014204307 0.074638716962568 0.257732491156673 0.213684764339401 -0.0604559072264669 0.226362394330452 0.237467367324862 0.638274761693847 -0.0202427597836011
sackin 0.222729161422148 1 0.974300675325532 0.45900225752899 0.833325629046924 0.0839837881218835 0.395458661024942 0.203093075190364 0.203093075190364 0.171209392590514 0.983352067169202 -0.145345358767509 -0.00436305924541709 -0.104641038173114 -0.132013212289856 -0.0455769828564213 -0.10283909941073 0.143138035620041 0.0455769828564216 0.0596627009111908 0.0155004708208089 0.252902213870226 -0.43703188497523 -0.166778792384084 -0.229476671481294 0.137396370145527 0.231248177157656 0.0496543202273119 0.24060809706968 -0.0384933983213117 -0.192400252860918 -0.095656328187845 -0.676169329157825 -0.408965403985434 0.0842628907699312 0.048831001360829 0.13348090159263 -0.530803784914982 0.0384933983213085 0.101088526848875 -0.634456320264783 -0.510067317108455 1 1 0.140263351863188 -0.0403498792354162 0.814326957759471 0.292747767845215 0.132148756592994 0.099077858089504 0.0990778580895039 0.139936811284112 0.187097063364818 0.261302436708327 0.393859090926453 0.0900027729277726 0.494365917412802 0.414179290192272 0.184248909964593 -0.301438196409619 0.392722660096496 -0.0215150791785825 0.212461392935321 0.178399683346179 0.205762422985611 0.187097081698894 0.153831353356243 0.151327747338775 0.0493572586129529 0.0834762846972494
colless 0.237240961188753 0.974300675325532 1 0.388195606566017 0.741559211043966 0.028030732122494 0.500899727619922 0.197631942734512 0.197631942734512 0.142576503201546 0.957109407289866 -0.0705093546203907 0.0315288898298355 -0.0553706666355509 -0.0464073348116252 -0.110608074513141 -0.144914429344271 0.146936730603751 0.110608074513141 0.0516964068183956 0.0619223820014345 0.272344907638041 -0.43809420750187 -0.0684000275450693 -0.212090718414496 0.0967922152268935 0.220784446297371 0.0364996668811367 0.231803646280038 -0.235119070869561 -0.334267016569905 -0.180906830521827 -0.632912056247597 -0.222590123435185 0.275010217551554 0.108625628428139 0.158869060401935 -0.554830417413467 0.235119070869558 0.290981781555392 -0.715993050024762 -0.60286047184423 0.974300675325532 0.974300675325532 0.212211722637554 -0.110615772604789 0.706881338784396 0.470198986902997 0.206371787120606 0.0800799177233034 0.0800799177233033 0.126489027998653 0.150833065382662 0.187074944787322 0.221967588445023 -0.0129486749676995 0.309583271686168 0.290420519148424 0.125880764164421 -0.114952350539404 0.260880396977947 -0.00744058467942915 0.164127126775584 0.153699232821521 0.152361439387447 0.150833050795555 0.121539059352495 0.140192774147505 0.00963877359774375 0.154580662370302
colless_corr 0.119208799747493 0.45900225752899 0.388195606566017 1 0.353088953850494 -0.327964046698196 0.240264017788122 0.059530023633474 0.059530023633474 0.184827961981722 -0.598882487989099 -0.19839028418955 -0.0373838244618276 0.0813089062263681 -0.033239204697012 -0.120699239876477 -0.122077151833923 0.0594767587533087 0.120699239876477 0.0170261695842907 0.314621730040756 0.302775430972969 -0.413907150772659 -0.32451131364817 -0.144457027088447 0.0635106864495237 0.106571086836224 0.0668506672242951 0.113490602070245 0.116845956681841 -0.270069283345942 -0.155831945528619 -0.657174911028897 -0.521020191984458 -0.173256837341068 0.497703625734722 0.542507080971505 -0.385879381093934 -0.116845956681842 -0.152960124104635 -0.382310695582527 -0.502908658268196 0.459002257528991 0.459002257528991 0.16615031920896 -0.454063898676133 0.378933400777589 0.063654306227299 0.151897569070963 -0.00649301364450745 -0.00649301364450738 0.0336615650277141 0.190237301655448 0.2289424256467 0.344598399657472 0.265982373748217 0.455217502865409 0.597466241355409 0.387486503425508 -0.371912385816315 0.511095883574572 0.0422132834403973 0.163971889038079 0.141326917691316 0.101106079742188 0.190237461955625 0.0766479463599297 0.15690776011907 -0.140346729892396 0.21004387528995
colless_quad 0.121167372785297 0.833325629046924 0.741559211043966 0.353088953850494 1 0.113236524094666 -0.0226131124303434 0.124472402258939 0.124472402258939 0.144022965047251 0.797777889470469 -0.170046001434499 -0.165408180248956 -0.115391585336664 -0.219572074838269 0.148740533096266 0.0411037301807254 0.184021860068605 -0.148740533096266 0.092228822652115 -0.0592609965020468 0.118426764142359 -0.339265805915232 -0.239616120036692 -0.211483719382417 0.122221952055915 0.148385250708048 0.0407046154623944 0.150829626370858 0.277502470818129 0.0656200739401554 0.185254205995101 -0.500486007085259 -0.563037906844839 -0.202178175377244 -0.0587903338901782 0.0286164121179849 -0.352257878144301 -0.277502470818132 -0.191675597153805 -0.339056932293297 -0.207942549060563 0.833325629046924 0.833325629046924 -0.0904088606568566 0.0837161481814403 0.995732743566612 -0.0854075130109751 -0.0992461863177153 0.0759925509291992 0.0759925509291992 0.100774543003956 0.151421323788495 0.243630557139623 0.6794166921529 0.06784488037039 0.736506612751747 0.363637455387617 0.150032116459408 -0.520771030639622 0.391616685711815 0.00653511442709364 0.185418568804688 0.133587748112619 0.191684300586843 0.151421395187781 0.125471027501986 0.103126645827262 0.121668834362324 -0.00427935994980989
beta -0.0473619545673492 0.0839837881218835 0.028030732122494 -0.327964046698196 0.113236524094666 1 -0.197731735493561 0.0996892833649329 0.0996892833649329 0.0598303032300162 -0.190117425909298 -0.219373716721367 -0.00483994282216898 -0.396171571875608 -0.336988536342068 0.167174218239554 0.0699327030112015 0.0180524269603936 -0.167174218239554 0.102056014470813 -0.419805075135946 -0.192149966509896 0.0522302408298315 -0.110558417946477 -0.0214174836240754 0.370221891068366 0.0854438500423558 -0.0475389684391054 0.0784214351338279 0.378463970128442 0.583871424762802 0.206905365333158 0.13088733141653 -0.298976809014437 -0.369725022211187 -0.664914739378132 -0.438168538828613 0.0806019511185292 -0.378463970128442 -0.371308281745237 0.116837874325002 0.378606934207647 0.0839837881218833 0.0839837881218834 -0.171918487898456 0.60775676794279 0.126922312707833 -0.275916176272534 -0.167436309785267 0.173973470251199 0.173973470251199 0.142693467465028 0.133014246508746 0.360173094908257 0.132615939378975 0.0969369850888384 0.184300417730997 0.348421009749258 0.00237659607341759 -0.315226587587301 0.299634147657592 -0.145812289782508 0.232985678913321 0.126849309901547 0.31301241009445 0.133014081877061 0.263659438594708 -0.0300413981376802 0.235234529845107 -0.424268849912895
blum 0.273446814863323 0.395458661024942 0.500899727619922 0.240264017788122 -0.0226131124303434 -0.197731735493561 1 0.155086441614603 0.155086441614603 0.0696002975626136 0.997660770801775 0.125159386723336 0.232597530313745 0.170410722578255 0.307136346644616 -0.668313801158733 -0.300714984519087 0.118424466580842 0.668313801158733 -0.224831032395891 0.350520544853246 0.237209226637956 -0.199940026097004 0.16230597360168 -0.086633043957726 -0.027969009535851 0.161682570435111 0.0100467645043492 0.177208001190522 -0.645731768585147 -0.59616297655254 -0.839782360332842 -0.375005842108706 0.370204792706145 0.574615521999104 0.429700562629305 0.400042004967319 -0.376304710811054 0.645731768585147 0.58548059436959 -0.567902198565649 -0.659677352290949 0.395458661024942 0.395458661024942 0.650132377354901 -0.496901697382999 -0.0493109824409168 0.717217116977218 0.65817109613894 0.0519010150202799 0.0519010150202797 0.100624194414467 0.062932198180596 -0.0230594086245384 -0.193584793245838 0.0653024647890262 -0.193950638509091 -0.0303657689351371 0.012801594186545 0.507526008620864 -0.0722110439021271 0.00823824552616467 0.0187473318186789 0.0931739275947904 -0.0318641757730754 0.0629322167429979 0.020565845097508 0.126684737881773 -0.206434629050352 0.160233737933067
crown_age 0.440484150941059 0.203093075190364 0.197631942734512 0.059530023633474 0.124472402258939 0.0996892833649329 0.155086441614603 1 1 0.312352318383277 -0.0985866596555226 0.316318908062477 0.655850920990588 0.085333480554209 0.156025515834728 -0.0638419063291133 -0.0441853849213171 0.0809659706931292 0.0638419063291136 -0.0645522769621022 0.106922987093479 0.217996389395593 0.205839256802686 0.7089641346053 -0.0922149382537311 0.292496509499429 0.98453236662639 0.153278276308571 0.983364680552024 -0.0541951743714368 0.000218154667608879 -0.106579744919922 -0.0731411551554394 -0.0419055628095787 0.0115031556683055 0.116480444563828 0.141938009093575 -0.135835777259689 0.0541951743714347 0.0146995650138391 -0.152582955283917 -0.143314963370056 0.203093075190363 0.203093075190364 0.0824870915045973 -0.0933764013849046 0.124719158496246 0.128650599089863 0.0786572600309434 0.936334867956275 0.936334867956275 0.888498911405183 0.713215854785707 0.715727359458619 0.0760570110489733 0.254706270563653 0.0967532059648814 0.088796654940945 -0.390078040248006 0.0108146427062016 0.0994613455437884 0.0573019129276063 0.826063763387683 0.849427816043727 0.83454866323201 0.713215849345534 0.710900527200964 0.72432260028137 0.441103839450306 -0.103237979642752
tree_height 0.440484150941059 0.203093075190364 0.197631942734512 0.059530023633474 0.124472402258939 0.0996892833649329 0.155086441614603 1 1 0.312352318383277 -0.0985866596555226 0.316318908062477 0.655850920990588 0.085333480554209 0.156025515834728 -0.0638419063291133 -0.0441853849213171 0.0809659706931292 0.0638419063291136 -0.0645522769621022 0.106922987093479 0.217996389395593 0.205839256802686 0.7089641346053 -0.0922149382537311 0.292496509499429 0.98453236662639 0.153278276308571 0.983364680552024 -0.0541951743714368 0.000218154667608879 -0.106579744919922 -0.0731411551554394 -0.0419055628095787 0.0115031556683055 0.116480444563828 0.141938009093575 -0.135835777259689 0.0541951743714347 0.0146995650138391 -0.152582955283917 -0.143314963370056 0.203093075190363 0.203093075190364 0.0824870915045973 -0.0933764013849046 0.124719158496246 0.128650599089863 0.0786572600309434 0.936334867956275 0.936334867956275 0.888498911405183 0.713215854785707 0.715727359458619 0.0760570110489733 0.254706270563653 0.0967532059648814 0.088796654940945 -0.390078040248006 0.0108146427062016 0.0994613455437884 0.0573019129276063 0.826063763387683 0.849427816043727 0.83454866323201 0.713215849345534 0.710900527200964 0.72432260028137 0.441103839450306 -0.103237979642752
pigot_rho 0.48728690075163 0.171209392590514 0.142576503201546 0.184827961981722 0.144022965047251 0.0598303032300162 0.0696002975626136 0.312352318383277 0.312352318383277 1 -0.106248496549139 0.52213120585563 -0.105690881218157 0.00797862376189412 -0.0329483240361756 -0.0178720646604396 0.00165523623332919 0.0769177216952744 0.0178720646604399 -0.0682550739150702 0.103261650079868 0.542889235695105 0.142738427934926 0.179063310860069 -0.134960164825516 0.282397866565798 0.308206292635412 0.107871114292286 0.305496433082003 0.0803889896106026 0.0297667967650077 -0.0406081888105504 -0.168302972550243 -0.154118450247594 -0.0871930157337989 0.0727756386138239 0.166946925140423 -0.153411725654864 -0.0803889896106039 -0.0816148826729272 -0.108097115505105 -0.0870706742006624 0.171209392590513 0.171209392590513 0.0320059488450623 -0.0960057712563653 0.15094911930938 0.0155298068278087 0.0267120551063756 0.1849390120565 0.1849390120565 0.28959127964769 -0.00358059158008184 0.282231960211762 0.13274002096566 0.0955703356618418 0.15732792478058 0.226141485246342 -0.0179425996545289 -0.0930331470041014 0.167195228350192 -0.149615258597608 0.138370671475131 0.194185908373972 0.278687793434048 -0.00358055010797812 0.25506309002568 0.105857492871553 0.442863162874053 -0.103114025525889
