species	family
tachyglossus_aculeatus	Tachyglossidae
zaglossus_bruijni	Tachyglossidae
ornithorhynchus_anatinus	Ornithorhynchidae
isoodon_obesulus_affinis	Peramelidae
isoodon_auratus_barrowensis	Peramelidae
isoodon_macrourus_moresbyensis	Peramelidae
perameles_bougainville_notina	Peramelidae
perameles_eremiana	Peramelidae
perameles_nasuta	Peramelidae
perameles_gunnii	Peramelidae
echymipera_kalubu	Peroryctidae
echymipera_rufescens_australis	Peroryctidae
rhynchomeles_prattorum	Peroryctidae
echymipera_clara	Peroryctidae
microperoryctes_longicauda_magnus	Peroryctidae
microperoryctes_papuensis	Peroryctidae
microperoryctes_aplini	Peroryctidae
peroryctes_broadbenti	Peroryctidae
peroryctes_raffrayana	Peroryctidae
macrotis_lagotis	Peramelidae
myoictis_melas	Dasyuridae
myoictis_wavicus	Dasyuridae
myoictis_leucura	Dasyuridae
myoictis_wallacei	Dasyuridae
parantechinus_apicalis	Dasyuridae
dasykaluta_rosamondae	Dasyuridae
dasycercus_cristicauda	Dasyuridae
dasyuroides_byrnei	Dasyuridae
pseudantechinus_macdonnellensis	Dasyuridae
pseudantechinus_roryi	Dasyuridae
pseudantechinus_mimulus	Dasyuridae
pseudantechinus_ningbing	Dasyuridae
pseudantechinus_woolleyae	Dasyuridae
pseudantechinus_bilarni	Dasyuridae
dasyurus_spartacus	Dasyuridae
dasyurus_geoffroii	Dasyuridae
dasyurus_albopunctatus	Dasyuridae
dasyurus_viverrinus	Dasyuridae
dasyurus_maculatus	Dasyuridae
dasyurus_hallucatus	Dasyuridae
dasyuridae_sp_jmz_2005	Dasyuridae
sarcophilus_harrisii	Dasyuridae
phascolosorex_dorsalis	Dasyuridae
neophascogale_lorentzii	Dasyuridae
antechinus_flavipes	Dasyuridae
antechinus_bellus	Dasyuridae
antechinus_leo	Dasyuridae
antechinus_agilis	Dasyuridae
antechinus_stuartii	Dasyuridae
antechinus_godmani	Dasyuridae
antechinus_swainsonii	Dasyuridae
antechinus_minimus	Dasyuridae
murexia_longicaudata_aspera	Dasyuridae
murexia_naso	Dasyuridae
murexchinus_melanurus	Dasyuridae
micromurexia_habbema	Dasyuridae
paramurexia_rothschildi	Dasyuridae
phascogale_tapoatafa	Dasyuridae
phascogale_calura	Dasyuridae
sminthopsis_murina_tatei	Dasyuridae
sminthopsis_gilberti	Dasyuridae
sminthopsis_butleri	Dasyuridae
sminthopsis_dolichura	Dasyuridae
sminthopsis_leucopus_leucopus	Dasyuridae
sminthopsis_archeri	Dasyuridae
sminthopsis_hirtipes	Dasyuridae
sminthopsis_psammophila	Dasyuridae
sminthopsis_youngsoni	Dasyuridae
sminthopsis_ooldea	Dasyuridae
sminthopsis_granulipes	Dasyuridae
sminthopsis_aitkeni	Dasyuridae
sminthopsis_griseoventer	Dasyuridae
sminthopsis_longicaudata	Dasyuridae
antechinomys_laniger	Dasyuridae
ningaui_ridei	Dasyuridae
ningaui_yvonnae	Dasyuridae
ningaui_timealeyi	Dasyuridae
sminthopsis_virginiae	Dasyuridae
sminthopsis_douglasi	Dasyuridae
sminthopsis_stalkeri	Dasyuridae
sminthopsis_froggatti	Dasyuridae
sminthopsis_macroura	Dasyuridae
sminthopsis_bindi	Dasyuridae
sminthopsis_crassicaudata	Dasyuridae
planigale_maculata	Dasyuridae
planigale_novaeguineae	Dasyuridae
planigale_ingrami	Dasyuridae
planigale_tenuirostris	Dasyuridae
planigale_gilesi	Dasyuridae
myrmecobius_fasciatus	Myrmecobiidae
notoryctes_typhlops	Notoryctidae
notoryctes_caurinus	Notoryctidae
petrogale_inornata	Macropodidae
petrogale_mareeba	Macropodidae
petrogale_assimilis	Macropodidae
petrogale_herberti	Macropodidae
petrogale_penicillata	Macropodidae
petrogale_purpureicollis	Macropodidae
petrogale_lateralis	Macropodidae
petrogale_rothschildi	Macropodidae
petrogale_xanthopus	Macropodidae
petrogale_brachyotis_victoriae	Macropodidae
petrogale_concinna	Macropodidae
petrogale_burbidgei	Macropodidae
petrogale_persephone	Macropodidae
dendrolagus_goodfellowi	Macropodidae
dendrolagus_dorianus	Macropodidae
dendrolagus_matschiei	Macropodidae
dendrolagus_lumholtzi	Macropodidae
thylogale_stigmatica_wilcoxi	Macropodidae
thylogale_brunii	Macropodidae
thylogale_browni	Macropodidae
thylogale_calabyi	Macropodidae
thylogale_thetis	Macropodidae
thylogale_billardierii	Macropodidae
macropus_rufogriseus_banksianus	Macropodidae
macropus_parma	Macropodidae
macropus_parryi	Macropodidae
macropus_agilis	Macropodidae
macropus_dorsalis	Macropodidae
macropus_antilopinus	Macropodidae
macropus_robustus	Macropodidae
macropus_irma	Macropodidae
macropus_rufus	Macropodidae
macropus_giganteus	Macropodidae
macropus_fuliginosus	Macropodidae
macropus_eugenii	Macropodidae
wallabia_bicolor	Macropodidae
lagorchestes_conspicillatus	Macropodidae
lagorchestes_hirsutus	Macropodidae
onychogalea_fraenata	Macropodidae
onychogalea_unguifera	Macropodidae
setonix_brachyurus	Macropodidae
dorcopsulus_vanheurni	Macropodidae
dorcopsis_veterum	Macropodidae
dorcopsis_hageni	Macropodidae
lagostrophus_fasciatus	Macropodidae
bettongia_penicillata_ogilbyi	Potoroidae
bettongia_tropica	Potoroidae
bettongia_gaimardi	Potoroidae
bettongia_lesueur	Potoroidae
aepyprymnus_rufescens	Potoroidae
potorous_tridactylus	Potoroidae
potorous_gilbertii	Potoroidae
potorous_longipes	Potoroidae
hypsiprymnodon_moschatus	Potoroidae
pseudochirops_albertisii	Pseudocheiridae
pseudochirops_cupreus	Pseudocheiridae
pseudochirops_corinnae	Pseudocheiridae
pseudochirops_archeri	Pseudocheiridae
petropseudes_dahli	Pseudocheiridae
hemibelideus_lemuroides	Pseudocheiridae
petauroides_volans	Pseudocheiridae
pseudochirulus_forbesi	Pseudocheiridae
pseudochirulus_canescens	Pseudocheiridae
pseudochirulus_caroli	Pseudocheiridae
pseudochirulus_mayeri	Pseudocheiridae
pseudochirulus_herbertensis	Pseudocheiridae
pseudocheirus_peregrinus	Pseudocheiridae
petaurus_breviceps	Petauridae
petaurus_norfolcensis	Petauridae
petaurus_abidi	Petauridae
gymnobelideus_leadbeateri	Petauridae
dactylopsila_trivirgata	Petauridae
dactylopsila_palpator	Petauridae
tarsipes_rostratus	Tarsipedidae
distoechurus_pennatus	Acrobatidae
acrobates_pygmaeus	Acrobatidae
phalanger_orientalis	Phalangeridae
phalanger_carmelitae	Phalangeridae
phalanger_sericeus	Phalangeridae
phalanger_lullulae	Phalangeridae
phalanger_vestitus	Phalangeridae
phalanger_gymnotis	Phalangeridae
spilocuscus_rufoniger	Phalangeridae
spilocuscus_maculatus	Phalangeridae
strigocuscus_pelengensis	Phalangeridae
strigocuscus_celebensis	Phalangeridae
ailurops_ursinus	Phalangeridae
trichosurus_arnhemensis	Phalangeridae
trichosurus_vulpecula	Phalangeridae
trichosurus_caninus	Phalangeridae
trichosurus_johnstonii	Phalangeridae
wyulda_squamicaudata	Phalangeridae
cercartetus_concinnus	Burramyidae
cercartetus_nanus	Burramyidae
cercartetus_lepidus	Burramyidae
cercartetus_caudatus_macrurus	Burramyidae
burramys_parvus	Burramyidae
lasiorhinus_latifrons	Vombatidae
vombatus_ursinus	Vombatidae
lasiorhinus_krefftii	Vombatidae
phascolarctos_cinereus	Phascolarctidae
dromiciops_gliroides	Microbiotheriidae
monodelphis_osgoodi	Didelphidae
monodelphis_handleyi	Didelphidae
monodelphis_peruviana	Didelphidae
monodelphis_adusta	Didelphidae
monodelphis_reigi	Didelphidae
monodelphis_kunsi	Didelphidae
monodelphis_emiliae	Didelphidae
monodelphis_umbristriata	Didelphidae
monodelphis_americana	Didelphidae
monodelphis_iheringi	Didelphidae
monodelphis_gardneri	Didelphidae
monodelphis_scalops	Didelphidae
monodelphis_theresa	Didelphidae
monodelphis_dimidiata	Didelphidae
monodelphis_brevicaudata	Didelphidae
monodelphis_palliolata	Didelphidae
monodelphis_touan	Didelphidae
monodelphis_arlindoi	Didelphidae
monodelphis_glirina	Didelphidae
monodelphis_sanctaerosae	Didelphidae
monodelphis_domestica	Didelphidae
marmosa_micoureus_paraguayana	Didelphidae
marmosa_murina	Didelphidae
marmosa_macrotarsus	Didelphidae
marmosa_waterhousei	Didelphidae
marmosa_tyleriana	Didelphidae
marmosa_lepida	Didelphidae
marmosa_robinsoni	Didelphidae
marmosa_xerophila	Didelphidae
marmosa_isthmica	Didelphidae
marmosa_mexicana_zeledoni	Didelphidae
marmosa_simonsi	Didelphidae
marmosa_rubra	Didelphidae
tlacuatzin_canescens	Didelphidae
thylamys_elegans	Didelphidae
