species	family
Polypterus_weeksii	Polypteridae
Polypterus_ornatipinnis	Polypteridae
Polypterus_mokelembembe	Polypteridae
Polypterus_retropinnis	Polypteridae
Polypterus_congicus	Polypteridae
Polypterus_ansorgii	Polypteridae
Polypterus_endlicherii	Polypteridae
Polypterus_bichir	Polypteridae
Erpetoichthys_calabaricus	Polypteridae
Polypterus_teugelsi	Polypteridae
Polypterus_palmas	Polypteridae
Polypterus_senegalus	Polypteridae
Polypterus_delhezi	Polypteridae
Polypterus_polli	Polypteridae
Psephurus_gladius	Polyodontidae
Polyodon_spathula	Polyodontidae
Acipenser_sturio	Acipenseridae
Acipenser_oxyrinchus	Acipenseridae
Huso_dauricus	Acipenseridae
Acipenser_mikadoi	Acipenseridae
Acipenser_medirostris	Acipenseridae
Acipenser_sinensis	Acipenseridae
Acipenser_schrenckii	Acipenseridae
Acipenser_transmontanus	Acipenseridae
Scaphirhynchus_albus	Acipenseridae
Scaphirhynchus_platorynchus	Acipenseridae
Scaphirhynchus_suttkusi	Acipenseridae
Huso_huso	Acipenseridae
Acipenser_nudiventris	Acipenseridae
Acipenser_dabryanus	Acipenseridae
Acipenser_stellatus	Acipenseridae
Pseudoscaphirhynchus_kaufmanni	Acipenseridae
Pseudoscaphirhynchus_hermanni	Acipenseridae
Acipenser_gueldenstaedtii	Acipenseridae
Acipenser_ruthenus	Acipenseridae
Acipenser_naccarii	Acipenseridae
Acipenser_persicus	Acipenseridae
Acipenser_baerii	Acipenseridae
Acipenser_fulvescens	Acipenseridae
Acipenser_brevirostrum	Acipenseridae
Amia_calva	Amiidae
Atractosteus_tropicus	Lepisosteidae
Atractosteus_tristoechus	Lepisosteidae
Atractosteus_spatula	Lepisosteidae
Lepisosteus_platyrhincus	Lepisosteidae
Lepisosteus_oculatus	Lepisosteidae
Lepisosteus_platostomus	Lepisosteidae
Lepisosteus_osseus	Lepisosteidae
Megalops_cyprinoides	Megalopidae
Megalops_atlanticus	Megalopidae
Elops_hawaiensis	Elopidae
Elops_machnata	Elopidae
Elops_affinis	Elopidae
Elops_saurus	Elopidae
Pterothrissus_gissu	Albulidae
Albula_glossodonta	Albulidae
Albula_vulpes	Albulidae
Albula_esuncula	Albulidae
Albula_gilberti	Albulidae
Albula_koreana	Albulidae
Albula_nemoptera	Albulidae
Albula_argentea	Albulidae
