species	family
Salvia_aethiopis	Lamiaceae
Salvia_hispanica	Lamiaceae
Salvia_sclarea	Lamiaceae
Salvia_indica	Lamiaceae
Salvia_argentea	Lamiaceae
Salvia_candidissima	Lamiaceae
Salvia_verbascifolia	Lamiaceae
Salvia_staminea	Lamiaceae
Salvia_sylvestris	Lamiaceae
Salvia_deserta	Lamiaceae
Salvia_pratensis	Lamiaceae
Salvia_austriaca	Lamiaceae
Salvia_canariensis	Lamiaceae
Salvia_bucharica	Lamiaceae
Salvia_disermas	Lamiaceae
Salvia_verbenaca	Lamiaceae
Salvia_lavandulifolia	Lamiaceae
Salvia_nemorosa	Lamiaceae
Salvia_amplexicaulis	Lamiaceae
Salvia_rugosa	Lamiaceae
Salvia_aurita	Lamiaceae
Salvia_dentata	Lamiaceae
Salvia_africana-caerulea	Lamiaceae
Salvia_nilotica	Lamiaceae
Salvia_verticillata	Lamiaceae
Salvia_brachyantha	Lamiaceae
Salvia_taraxacifolia	Lamiaceae
Salvia_garipensis	Lamiaceae
Salvia_viridis	Lamiaceae
Salvia_hydrangea	Lamiaceae
Salvia_officinalis	Lamiaceae
Salvia_texana	Lamiaceae
Salvia_whitehousei	Lamiaceae
Salvia_pentstemonoides	Lamiaceae
Salvia_summa	Lamiaceae
Salvia_henryi	Lamiaceae
Salvia_roemeriana	Lamiaceae
Salvia_ringens	Lamiaceae
Salvia_palaestina	Lamiaceae
Salvia_candelabrum	Lamiaceae
Salvia_viscosa	Lamiaceae
Salvia_lyrata	Lamiaceae
Rosmarinus_officinalis	Lamiaceae
Perovskia_scrophulariifolia	Lamiaceae
Perovskia_atriplicifolia	Lamiaceae
Perovskia_abrotanoides	Lamiaceae
Melissa_officinalis	Lamiaceae
Salvia_dorrii	Lamiaceae
Salvia_brandegeei	Lamiaceae
Salvia_spathacea	Lamiaceae
Salvia_pachyphylla	Lamiaceae
Salvia_mohavensis	Lamiaceae
Salvia_sonomensis	Lamiaceae
Salvia_mellifera	Lamiaceae
Salvia_chionopeplica	Lamiaceae
Salvia_leucophylla	Lamiaceae
Salvia_clevelandii	Lamiaceae
Salvia_eremostachya	Lamiaceae
Salvia_apiana	Lamiaceae
Salvia_munzii	Lamiaceae
Salvia_columbariae	Lamiaceae
Lepechinia_chamaedryoides	Lamiaceae
Salvia_aegyptiaca	Lamiaceae
Lepechinia_calycina	Lamiaceae
Lepechinia_fragrans	Lamiaceae
Dracocephalum_moldavica	Lamiaceae
Dracocephalum_nutans	Lamiaceae
Dracocephalum_grandiflorum	Lamiaceae
Dracocephalum_ruyschiana	Lamiaceae
Schizonepeta_multifida	Lamiaceae
Nepeta_tenuifolia	Lamiaceae
Glechoma_hirsuta	Lamiaceae
Glechoma_hederacea	Lamiaceae
Agastache_foeniculum	Lamiaceae
