statistic	normalize	type
area_per_pair	TRUE	Yule
average_leaf_depth	TRUE	Yule
avg_ladder	FALSE	None
b1	TRUE	Tips
b2	TRUE	Yule
beta	FALSE	None
blum	FALSE	None
cherries	TRUE	Yule
colless	TRUE	Yule
combined	FALSE	None
crown_age	FALSE	None
diameter	FALSE	None
eigenvector	FALSE	None
ew_colless	FALSE	None
extinction	FALSE	None
gamma	FALSE	None
i_stat	FALSE	None
il_number	TRUE	Tips
imbalance_steps	TRUE	Tips
j_one	FALSE	None
j_stat	FALSE	None
laplace_spectrum_a	FALSE	None
laplace_spectrum_e	FALSE	None
laplace_spectrum_g	FALSE	None
laplace_spectrum_p	FALSE	None
max_betweenness	TRUE	Tips
max_closeness	TRUE	Tips
max_del_width	TRUE	Tips
max_depth	TRUE	Tips
max_ladder	FALSE	None
max_width	TRUE	Tips
mean_branch_length	FALSE	None
mean_branch_length_ext	FALSE	None
mean_branch_length_int	FALSE	None
mntd	FALSE	None
model	FALSE	None
mpd	TRUE	Tips
nltt_base	FALSE	None
number_of_lineages	FALSE	None
phylogenetic_div	FALSE	None
pigot_rho	FALSE	None
pitchforks	TRUE	Tips
psv	TRUE	Tips
rogers	TRUE	Tips
rquartet	TRUE	Yule
sackin	TRUE	Yule
stairs	FALSE	None
stairs2	FALSE	None
symmetry_nodes	TRUE	Tips
tot_coph	TRUE	Yule
tree_height	FALSE	None
var_branch_length	FALSE	None
var_branch_length_ext	FALSE	None
var_branch_length_int	FALSE	None
var_depth	TRUE	Yule
vpd	FALSE	None
wiener	FALSE	None
