species	family
Abeillia_abeillei	Trochilidae
Abroscopus_albogularis	Sylviidae
Abroscopus_schisticeps	Sylviidae
Abroscopus_superciliaris	Sylviidae
Aburria_aburri	Cracidae
Acanthagenys_rufogularis	Meliphagidae
Acanthidops_bairdi	Thraupidae
Acanthis_cabaret	Fringillidae
Acanthis_flammea	Fringillidae
Acanthis_hornemanni	Fringillidae
Acanthisitta_chloris	Acanthisittidae
Acanthiza_apicalis	Acanthizidae
Acanthiza_chrysorrhoa	Acanthizidae
Acanthiza_cinerea	Acanthizidae
Acanthiza_ewingii	Acanthizidae
Acanthiza_inornata	Acanthizidae
Acanthiza_iredalei	Acanthizidae
Acanthiza_katherina	Acanthizidae
Acanthiza_lineata	Acanthizidae
Acanthiza_murina	Acanthizidae
Acanthiza_nana	Acanthizidae
Acanthiza_pusilla	Acanthizidae
Acanthiza_reguloides	Acanthizidae
Acanthiza_robustirostris	Acanthizidae
Acanthiza_uropygialis	Acanthizidae
Acanthorhynchus_superciliosus	Meliphagidae
Acanthorhynchus_tenuirostris	Meliphagidae
Acanthornis_magna	Acanthizidae
Accipiter_albogularis	Accipitridae
Accipiter_atricapillus	Accipitridae
Accipiter_badius	Accipitridae
Accipiter_bicolor	Accipitridae
Accipiter_brachyurus	Accipitridae
Accipiter_brevipes	Accipitridae
Accipiter_butleri	Accipitridae
Accipiter_castanilius	Accipitridae
Accipiter_chilensis	Accipitridae
Accipiter_cirrocephalus	Accipitridae
Accipiter_cooperii	Accipitridae
Accipiter_erythrauchen	Accipitridae
Accipiter_erythropus	Accipitridae
Accipiter_fasciatus	Accipitridae
Accipiter_francesiae	Accipitridae
Accipiter_gentilis	Accipitridae
Accipiter_griseiceps	Accipitridae
Accipiter_gularis	Accipitridae
Accipiter_gundlachi	Accipitridae
Accipiter_haplochrous	Accipitridae
Accipiter_henicogrammus	Accipitridae
Accipiter_henstii	Accipitridae
Accipiter_hiogaster	Accipitridae
Accipiter_imitator	Accipitridae
Accipiter_luteoschistaceus	Accipitridae
Accipiter_madagascariensis	Accipitridae
Accipiter_melanochlamys	Accipitridae
Accipiter_melanoleucus	Accipitridae
Accipiter_meyerianus	Accipitridae
Accipiter_minullus	Accipitridae
Accipiter_nanus	Accipitridae
Accipiter_nisus	Accipitridae
Accipiter_novaehollandiae	Accipitridae
Accipiter_ovampensis	Accipitridae
Accipiter_poliocephalus	Accipitridae
Accipiter_poliogaster	Accipitridae
Accipiter_princeps	Accipitridae
Accipiter_rhodogaster	Accipitridae
Accipiter_rufitorques	Accipitridae
Accipiter_rufiventris	Accipitridae
Accipiter_soloensis	Accipitridae
Accipiter_striatus	Accipitridae
Accipiter_tachiro	Accipitridae
Accipiter_trinotatus	Accipitridae
