species	family
Abrodictyum_asae_grayi	Hymenophyllaceae
Abrodictyum_strictum	Hymenophyllaceae
Abrodictyum_caudatum	Hymenophyllaceae
Trichomanes_flavofuscum	Hymenophyllaceae
Trichomanes_milnei	Hymenophyllaceae
Abrodictyum_boninense	Hymenophyllaceae
Abrodictyum_meifolium	Hymenophyllaceae
Abrodictyum_schlechteri	Hymenophyllaceae
Abrodictyum_brassii	Hymenophyllaceae
Abrodictyum_pachyphlebium	Hymenophyllaceae
Abrodictyum_rigidum	Hymenophyllaceae
Abrodictyum_tamarisciforme	Hymenophyllaceae
Abrodictyum_dentatum	Hymenophyllaceae
Abrodictyum_laetum	Hymenophyllaceae
Abrodictyum_obscurum	Hymenophyllaceae
Abrodictyum_elongatum	Hymenophyllaceae
Cephalomanes_javanicum	Hymenophyllaceae
Trichomanes_atrovirens	Hymenophyllaceae
Cephalomanes_boryanum	Hymenophyllaceae
Trichomanes_hostmannianum	Hymenophyllaceae
Trichomanes_pinnatum	Hymenophyllaceae
Trichomanes_polypodioides	Hymenophyllaceae
Trichomanes_scandens	Hymenophyllaceae
Trichomanes_alatum	Hymenophyllaceae
Trichomanes_trigonum	Hymenophyllaceae
Trichomanes_arbuscula	Hymenophyllaceae
Trichomanes_holopterum	Hymenophyllaceae
Trichomanes_roraimense	Hymenophyllaceae
Trichomanes_lucens	Hymenophyllaceae
Trichomanes_crispum	Hymenophyllaceae
Trichomanes_egleri	Hymenophyllaceae
Trichomanes_robustum	Hymenophyllaceae
Trichomanes_pilosum	Hymenophyllaceae
Trichomanes_galeottii	Hymenophyllaceae
Trichomanes_crinitum	Hymenophyllaceae
Trichomanes_mougeotii	Hymenophyllaceae
Trichomanes_diversifrons	Hymenophyllaceae
Trichomanes_osmundoides	Hymenophyllaceae
Trichomanes_cupressoides	Hymenophyllaceae
Trichomanes_boivinii	Hymenophyllaceae
Trichomanes_madagascariense	Hymenophyllaceae
Trichomanes_guineense	Hymenophyllaceae
Trichomanes_ankersii	Hymenophyllaceae
Trichomanes_elegans	Hymenophyllaceae
Vandenboschia_speciosa	Hymenophyllaceae
Vandenboschia_cyrtotheca	Hymenophyllaceae
Vandenboschia_davallioides	Hymenophyllaceae
Vandenboschia_striata	Hymenophyllaceae
Vandenboschia_radicans	Hymenophyllaceae
Vandenboschia_collariata	Hymenophyllaceae
Vandenboschia_johnstonensis	Hymenophyllaceae
Vandenboschia_liukiuensis	Hymenophyllaceae
Vandenboschia_maxima	Hymenophyllaceae
Vandenboschia_gigantea	Hymenophyllaceae
Vandenboschia_rupestris	Hymenophyllaceae
Vandenboschia_auriculata	Hymenophyllaceae
Crepidomanes_aphlebioides	Hymenophyllaceae
Crepidomanes_grande	Hymenophyllaceae
Crepidomanes_intermedium	Hymenophyllaceae
Crepidomanes_thysanostomum	Hymenophyllaceae
Crepidomanes_acuto_obtusum	Hymenophyllaceae
Crepidomanes_kurzii	Hymenophyllaceae
Crepidomanes_makinoi	Hymenophyllaceae
Crepidomanes_latealatum	Hymenophyllaceae
Crepidomanes_intricatum	Hymenophyllaceae
Crepidomanes_schmidianum	Hymenophyllaceae
Crepidomanes_fallax	Hymenophyllaceae
Crepidomanes_chevalieri	Hymenophyllaceae
Crepidomanes_pyxidiferum	Hymenophyllaceae
Crepidomanes_inopinatum	Hymenophyllaceae
Crepidomanes_melanotrichum	Hymenophyllaceae
Crepidomanes_trinerve	Hymenophyllaceae
Crepidomanes_mettenii	Hymenophyllaceae
Crepidomanes_africanum	Hymenophyllaceae
Crepidomanes_clarenceanum	Hymenophyllaceae
Crepidomanes_bonapartei	Hymenophyllaceae
Crepidomanes_walleri	Hymenophyllaceae
Crepidomanes_latemarginale	Hymenophyllaceae
Crepidomanes_vitiense	Hymenophyllaceae
Crepidomanes_christii	Hymenophyllaceae
Crepidomanes_bipunctatum	Hymenophyllaceae
Crepidomanes_intramarginale	Hymenophyllaceae
Crepidomanes_humile	Hymenophyllaceae
