species	family
Carcharhinus_acronotus	Carcharhinidae
Nasolamia_velox	Carcharhinidae
Carcharhinus_isodon	Carcharhinidae
Triaenodon_obesus	Carcharhinidae
Carcharhinus_brachyurus	Carcharhinidae
Carcharhinus_brevipinna	Carcharhinidae
Carcharhinus_macloti	Carcharhinidae
Carcharhinus_borneensis	Carcharhinidae
Carcharhinus_sealei	Carcharhinidae
Carcharhinus_dussumieri	Carcharhinidae
Carcharhinus_leucas	Carcharhinidae
Carcharhinus_galapagensis	Carcharhinidae
Carcharhinus_obscurus	Carcharhinidae
Carcharhinus_longimanus	Carcharhinidae
Carcharhinus_perezii	Carcharhinidae
Carcharhinus_sorrah	Carcharhinidae
Carcharhinus_altimus	Carcharhinidae
Carcharhinus_plumbeus	Carcharhinidae
Prionace_glauca	Carcharhinidae
Carcharhinus_falciformis	Carcharhinidae
Carcharhinus_amblyrhynchos	Carcharhinidae
Carcharhinus_albimarginatus	Carcharhinidae
Carcharhinus_signatus	Carcharhinidae
Carcharhinus_amblyrhynchoides	Carcharhinidae
Carcharhinus_tilstoni	Carcharhinidae
Carcharhinus_limbatus	Carcharhinidae
Carcharhinus_leiodon	Carcharhinidae
Carcharhinus_cautus	Carcharhinidae
Carcharhinus_melanopterus	Carcharhinidae
Carcharhinus_fitzroyensis	Carcharhinidae
Negaprion_brevirostris	Carcharhinidae
Negaprion_acutidens	Carcharhinidae
Glyphis_fowlerae	Carcharhinidae
Glyphis_gangeticus	Carcharhinidae
Glyphis_glyphis	Carcharhinidae
Glyphis_garricki	Carcharhinidae
Lamiopsis_temminckii	Carcharhinidae
Rhizoprionodon_lalandii	Carcharhinidae
Rhizoprionodon_longurio	Carcharhinidae
Rhizoprionodon_terraenovae	Carcharhinidae
Rhizoprionodon_porosus	Carcharhinidae
Rhizoprionodon_taylori	Carcharhinidae
Rhizoprionodon_acutus	Carcharhinidae
Rhizoprionodon_oligolinx	Carcharhinidae
Scoliodon_laticaudus	Carcharhinidae
Scoliodon_macrorhynchos	Carcharhinidae
Loxodon_macrorhinus	Carcharhinidae
Sphyrna_media	Carcharhinidae
Sphyrna_tudes	Carcharhinidae
Sphyrna_tiburo	Carcharhinidae
Sphyrna_corona	Carcharhinidae
Sphyrna_lewini	Carcharhinidae
Sphyrna_zygaena	Carcharhinidae
Sphyrna_mokarran	Carcharhinidae
