"V1" "V2" "V3" "V4"
"1" "Polypteridae" "1.16666666666667" "14" "12"
"2" "Acipenseridae" "0.923076923076923" "24" "26"
"3" "Anguillidae" "1.11111111111111" "20" "18"
"4" "Congridae" "0.379310344827586" "33" "87"
"5" "Muraenidae" "0.441379310344828" "64" "145"
"6" "Ophichthidae" "0.336283185840708" "38" "113"
"7" "Mormyridae" "0.474285714285714" "83" "175"
"8" "Platytroctidae" "0.555555555555556" "10" "18"
"9" "Alepocephalidae" "0.260869565217391" "12" "46"
"10" "Clupeidae" "0.52317880794702" "79" "151"
"11" "Engraulidae" "0.543103448275862" "63" "116"
"12" "Apteronotidae" "0.161290322580645" "10" "62"
"13" "Gymnotidae" "0.526315789473684" "20" "38"
"14" "Distichodontidae" "0.402985074626866" "27" "67"
"15" "Alestidae" "0.779220779220779" "60" "77"
"16" "Characidae" "0.328290468986384" "217" "661"
"17" "Curimatidae" "0.240963855421687" "20" "83"
"18" "Serrasalmidae" "0.456521739130435" "42" "92"
"19" "Anostomidae" "0.244897959183673" "24" "98"
"20" "Prochilodontidae" "0.608695652173913" "14" "23"
"21" "Bryconidae" "0.388888888888889" "14" "36"
"22" "Acestrorhynchidae" "0.923076923076923" "12" "13"
"23" "Trichomycteridae" "0.165137614678899" "36" "218"
"24" "Callichthyidae" "0.933774834437086" "141" "151"
"25" "Loricariidae" "0.341389728096677" "226" "662"
"26" "Auchenipteridae" "0.263157894736842" "20" "76"
"27" "Doradidae" "0.914634146341463" "75" "82"
"28" "Bagridae" "0.449664429530201" "67" "149"
"29" "Clariidae" "0.553846153846154" "36" "65"
"30" "Siluridae" "0.530612244897959" "26" "49"
"31" "Schilbidae" "0.5" "12" "24"
"32" "Amblycipitidae" "0.6" "18" "30"
"33" "Sisoridae" "0.505882352941176" "86" "170"
"34" "Pangasiidae" "0.842105263157895" "16" "19"
"35" "Ictaluridae" "0.816326530612245" "40" "49"
"36" "Ariidae" "0.823076923076923" "107" "130"
"37" "Heptapteridae" "0.325581395348837" "28" "86"
"38" "Pimelodidae" "0.636363636363636" "63" "99"
"39" "Pseudopimelodidae" "0.428571428571429" "12" "28"
"40" "Mochokidae" "0.573529411764706" "78" "136"
"41" "Catostomidae" "0.85" "68" "80"
"42" "Botiidae" "0.69811320754717" "37" "53"
"43" "Cobitidae" "0.552631578947368" "105" "190"
"44" "Balitoridae" "0.362068965517241" "21" "58"
"45" "Gastromyzontidae" "0.480769230769231" "25" "52"
"46" "Nemacheilidae" "0.151187904967603" "70" "463"
"47" "Danionidae" "0.55241935483871" "137" "248"
"48" "Cyprinidae" "0.507978723404255" "573" "1128"
"49" "Acheilognathidae" "0.68421052631579" "39" "57"
"50" "Xenocyprididae" "0.576271186440678" "68" "118"
"51" "Gobionidae" "0.480769230769231" "100" "208"
