"V1" "V2" "V3" "V4"
"1" "Lamiaceae" "0.142515923566879" "537" "3768"
"2" "Gesneriaceae" "0.0596696856686201" "112" "1877"
"3" "Calceolariaceae" "0.430894308943089" "53" "123"
"4" "Scrophulariaceae" "Inf" "153" "0"
"5" "Plantaginaceae" "0.225288831835687" "351" "1558"
"6" "Bignoniaceae" "0.14332784184514" "87" "607"
"7" "Verbenaceae" "0.161016949152542" "57" "354"
"8" "Phrymaceae" "0.244274809160305" "32" "131"
"9" "Stilbaceae" "0.545454545454545" "12" "22"
"10" "Acanthaceae" "0.0448296473401076" "75" "1673"
"11" "Orobanchaceae" "0.191042047531993" "209" "1094"
"12" "Lentibulariaceae" "0.0771812080536913" "23" "298"
"13" "Linderniaceae" "0.121951219512195" "15" "123"
"14" "Oleaceae" "0.309178743961353" "128" "414"
"15" "Hydrangeaceae" "0.172248803827751" "36" "209"
"16" "Solanaceae" "0.218483174284279" "435" "1991"
"17" "Convolvulaceae" "0.172053231939163" "181" "1052"
"18" "Rubiaceae" "0.159859735973597" "775" "4848"
"19" "Apocynaceae" "0.15095652173913" "434" "2875"
"20" "Loganiaceae" "0.220720720720721" "49" "222"
"21" "Gentianaceae" "0.13946587537092" "141" "1011"
"22" "Hydrophyllaceae" "0.346666666666667" "52" "150"
"23" "Namaceae" "0.592592592592593" "16" "27"
"24" "Heliotropiaceae" "0.208530805687204" "44" "211"
"25" "Ehretiaceae" "0.184466019417476" "19" "103"
"26" "Cordiaceae" "0.201298701298701" "31" "154"
"27" "Boraginaceae" "0.101781170483461" "120" "1179"
"28" "Asteraceae" "0.156105540146505" "2195" "14061"
"29" "Goodeniaceae" "0.136871508379888" "49" "358"
"30" "Menyanthaceae" "0.267857142857143" "15" "56"
"31" "Stylidiaceae" "0.678571428571429" "19" "28"
"32" "Campanulaceae" "0.161103047895501" "222" "1378"
"33" "Apiaceae" "0.155890804597701" "434" "2784"
"34" "Myodocarpaceae" "0.866666666666667" "13" "15"
"35" "Pittosporaceae" "0.362204724409449" "46" "127"
"36" "Araliaceae" "0.251069900142653" "176" "701"
"37" "Caprifoliaceae" "0.28719723183391" "166" "578"
"38" "Adoxaceae" "0.300546448087432" "55" "183"
"39" "Bruniaceae" "0.893939393939394" "59" "66"
"40" "Escalloniaceae" "0.291666666666667" "14" "48"
"41" "Aquifoliaceae" "0.305343511450382" "80" "262"
"42" "Ericaceae" "0.2236646884273" "603" "2696"
